country_c,pm25,pol_log32_n,avg_life,lifeexpect_log32_n,sanitation_value,santitation_log32_n,water_pct,water_log32_n
Bahamas,5.498568,32.0,73.46,22.512484864,98.18852059,31.31103264,98.87983311,31.49557892325474
Finland,5.52591,31.985359088573546,81.49,28.741818176,99.99995635,31.999983392,99.80308142,31.911325818463755
Iceland,5.909562,31.779923679657507,82.32,29.38569696,99.99999983,31.999999936,99.64410018,31.83973515730513
Sweden,6.046158,31.70678016648334,82.59,29.59515152,99.6133199,31.852932384,99.69497971,31.862646660524884
Estonia,6.378954,31.528576788563708,78.06,26.080969696,99.76560013,31.910849728,98.42604717,31.29123509332181
Norway,6.42853,31.502030163412734,82.64,29.633939392,99.99999883,31.999999552,99.52012485,31.78390796761874
Niue,6.679448,31.36767026972159,69.12,19.14569696,97.81238421,31.167975136,95.77068011,30.095499776096798
Canada,6.768582,31.3199413911068,81.93,29.08315152,98.85063916,31.56285888,99.085957,31.588398337455345
Tuvalu,6.847392,31.277740739014085,65.92,16.663272736,94.22008996,29.801703168,65.24626661,16.350085889878788
Marshall Islands,7.175156,31.10223186282432,65.72,16.508121216,87.80922515,27.363432768,91.34705981,28.10350435580884
Australia,7.241084,31.066929177997924,83.06,29.959757568,99.99929409,31.99973152,99.96893926,31.98601307353826
Brunei Darussalam,7.262284,31.05557714368292,74.79,23.544242432,94.6142838,29.951628544,99.9000434,31.954988657270707
Tonga,7.405122,30.979091206065625,72.16,21.504,97.33972431,30.988206464,66.06326434,16.717987207391424
New Zealand,7.407988,30.977556539539837,81.82,28.997818176,99.99999937,31.999999744,98.50749992,31.327913988427216
Fiji,7.408918,30.977058549355263,66.69,17.260606048,98.93518211,31.595013472,73.14917031,19.90883345629554
Nauru,7.411014,30.975936197283364,61.28,13.063757568,96.78941337,30.778904448,97.01533889,30.655980654073865
Kiribati,7.572466,30.88948295934817,65.72,16.508121216,58.04431617,16.042823232,48.19246649,8.670608576343037
Cook Islands,7.647668,30.849214294982275,74.4,23.24169696,96.56941608,30.695232,99.96496607,31.98422391087348
"Micronesia, Fed. Sts.",7.684514,30.829484245153477,65.95,16.68654544,88.70196846,27.702973472,90.14041675,27.56014229341794
Palau,7.740366,30.799576989466605,68.96,19.021575744,98.01041781,31.24329408,92.52710244,28.634888008855317
United States,7.824882,30.75432092662854,78.38,26.329212128,99.70487957,31.887755648,98.2555394,31.214453933563696
Solomon Islands,7.83814,30.74722162139513,69.58,19.50254544,39.02845167,8.810441728,58.54928784,13.33437700555034
Dominican Republic,7.960802,30.681539393416497,73.13,22.256484864,95.73717742,30.378703264,63.87142197,15.730981165522708
Portugal,8.274288,30.51367600524322,81.49,28.741818176,99.85567734,31.945109184,97.03479952,30.664743948210106
Ireland,8.37472,30.45989734909584,81.91,29.067636352,96.15349736,30.537043936,95.8411995,30.12725528231
St. Kitts and Nevis,8.572086,30.354213122463047,71.09,20.673939392,96.30182,30.593456096,98.61185413,31.37490561390822
Vanuatu,8.626554,30.32504696184656,70.51,20.224,73.03935813,21.745948864,74.28583408,20.42068322428924
Dominica,8.778684,30.243585406170062,70.74,20.402424256,83.5409822,25.740074464,95.42065606,29.93788084470012
Antigua and Barbuda,8.855472,30.20246748112381,77.14,25.367272736,97.39523239,31.00931808,98.36514458,31.26381011736633
Papua New Guinea,8.866674,30.19646910902963,64.86,15.840969696,23.12368148,2.761315456,38.9501944,4.508731555312276
Russia,8.938796,30.15784970247931,71.84,21.255757568,88.48068363,27.618811296,86.60190715,25.966720064605724
Andorra,9.209896,30.01268288630961,83.67,30.432969696,99.99999854,31.999999456,95.31999908,29.89255411465052
Uruguay,9.243172,29.994864476221583,77.26,25.460363648,98.99758696,31.61874816,99.88129688,31.94654693319544
St. Lucia,9.537672,29.83716758444004,72.28,21.597090912,93.53988604,29.542998432,95.48677399,29.967654334472492
Luxembourg,9.726578,29.73601346206692,81.53,28.77284848,99.97258872,31.98957456,99.72740585,31.87724843870589
Monaco,9.732132,29.733039443265717,85.69,32.0,100.0,32.0,100.0,32.0
Switzerland,9.935088,29.62436192079232,83.34,30.176969696,99.99852088,31.99943744,98.34999917,31.25699000503472
St. Vincent and the Grenadines,10.000112,29.58954330384426,70.53,20.239515136,91.47101653,28.756136832,97.71667431,30.9717982084706
Denmark,10.029042,29.57405206079081,81.12,28.454787872,99.99999903,31.999999616,99.75142052,31.88806245740902
Spain,10.15503,29.50658884856068,82.9,29.835636352,99.9973845,31.999005248,99.74100159,31.883370720904352
United Kingdom,10.188522,29.48865477623624,81.02,28.377212128,99.82711893,31.934247424,99.92632742,31.96682458438832
Haiti,10.208018,29.47821518845297,63.6,14.863515136,62.8182597,17.858516704,49.11279314,9.08503982216424
Barbados,10.384326,29.38380695892421,76.2,24.638060608,99.22599501,31.70561952,96.19134016,30.28492672422299
Mauritius,10.552956,29.29351009352142,74.39,23.233939392,99.426977,31.782059808,99.91658429,31.962437166612137
San Marino,10.590852,29.273217796710032,84.62,31.169939392,100.0,32.0,100.0,32.0
Lithuania,10.627948,29.25335387855204,75.1,23.784727264,94.88126926,30.053172224,95.73115622,30.07770181819522
Grenada,10.628222,29.25320715886325,74.99,23.699393952,93.70684932,29.606500288,93.35390602,29.007204987515912
Trinidad and Tobago,10.829534,29.145409954522584,72.78,21.984969696,99.71655535,31.89219632,97.9895168,31.09466159946733
Belize,10.994232,29.05721857020124,71.95,21.341090912,96.85503049,30.803860896,94.24368722,29.407881346528534
France,11.28572,28.90113452404973,82.46,29.49430304,99.99999913,31.99999968,99.61847794,31.82819723558579
Netherlands,11.607704,28.72872068363075,81.67,28.88145456,99.99942649,31.999781888,99.9863085,31.993834596224985
Guyana,11.628016,28.717844149621016,68.04,18.307878784,97.00836871,30.86218064,88.69029243,26.90713846207912
Germany,11.701302,28.678601452130007,80.89,28.276363648,99.99999947,31.999999808,99.95299308,31.97883236737976
Japan,11.777876,28.63759811837354,84.17,30.82084848,99.949474,31.980783232,98.76609062,31.444359672097004
Namibia,11.890274,28.57741198851798,62.08,13.684363648,47.16770618,11.906077696,77.04421831,21.66280808603529
Brazil,12.199932,28.411598392201206,74.97,23.683878784,88.60122215,27.664656224,91.65935121,28.24413194054872
Belgium,12.278078,28.36975329439081,81.28,28.578909088,99.99989551,31.999960256,99.85309253,31.933846264462144
Latvia,12.373456,28.318680920386264,74.82,23.567515136,94.25976339,29.816792352,97.66907279,30.9503628222014
Austria,12.481904,28.260609910131848,81.58,28.811636352,99.97400051,31.99011152,99.45205888,31.75325725817212
Kenya,12.528406,28.23570932995655,62.46,13.97915152,58.20975254,16.10574432,53.00398875,10.83727968654966
Moldova,12.751932,28.116017121357697,70.3,20.061090912,87.55712172,27.267549216,83.39126654,24.52094014734869
Maldives,12.775734,28.10327178547252,79.14,26.918787872,97.44024656,31.026438496,97.68616335,30.958058852814645
Suriname,12.817692,28.080804396048517,71.33,20.860121216,95.1836386,30.168173568,75.0932259,20.78425891540765
Botswana,12.89058,28.04177481693757,65.34,16.213333344,83.39267019,25.683666368,97.02339059,30.65960640593271
Zimbabwe,13.140362,27.908023220934247,60.25,12.264727264,65.24479779,18.78141184,48.80059895,8.944456011948768
Argentina,13.198498,27.876892944191933,76.18,24.62254544,96.80236124,30.783828992,98.98230999,31.541725170401087
Panama,13.288772,27.82855362599605,77.89,25.949090912,85.47779403,26.476710016,95.62642217,30.03053914739632
Malta,13.289534,27.82814559532869,82.58,29.587393952,99.96452158,31.986506336,99.92147566,31.964639793867224
Paraguay,13.4093,27.76401409807535,72.85,22.039272736,93.99917032,29.717679904,80.67654456,23.298476783683626
Ukraine,13.736648,27.58872797878535,72.89,22.07030304,99.82473113,31.933339264,93.70842021,29.16684586874324
Cuba,14.198246,27.34155456672227,77.24,25.44484848,97.01007092,30.862828064,93.41611267,29.035217193245117
Comoros,14.354852,27.257696232480026,65.24,16.135757568,48.80652116,12.52937488,65.88940152,16.639695238888084
Somalia,14.369298,27.24996078494632,55.32,8.440242432,54.00808534,14.507707072,51.95002347,10.362669781422287
Singapore,14.466568,27.197875295426485,83.15,30.029575744,100.0,32.0,100.0,32.0
Cyprus,14.660054,27.094268705262667,81.28,28.578909088,99.42050104,31.7795968,99.61867072,31.82828404612808
Eswatini,14.840616,26.99758257224447,58.01,10.527030304,84.81170189,26.22337248,54.85730145,11.671842818191296
Romania,14.896364,26.967731005782543,74.81,23.559757568,85.86384682,26.623539072,90.97823524,27.937419383658387
Greece,15.424528,26.68491327691698,81.08,28.423757568,99.99313928,31.997390624,99.51864376,31.7832410196673
Tanzania,15.43374,26.67998049672312,65.25,16.143515136,43.98165342,10.694313216,36.07846411,3.215565958350392
