country_c,ccefmlpssuw_pts
Algeria,234.1708164
Argentina,231.4217955
Armenia,252.1919004
Australia,250.6927518
Austria,255.7375325
Azerbaijan,237.2498494
Bangladesh,183.713004
Belgium,255.101205
Belize,213.3942558
Benin,90.16913907
Bosnia and Herzegovina,237.686102
Botswana,166.4261277
Brazil,228.5246974
Burkina Faso,112.4417894
Cabo Verde,207.4212177
Cambodia,159.4973389
Cameroon,143.9610082
Canada,250.7194856
Chad,41.03828127
Chile,251.1277973
Colombia,231.1296559
Comoros,115.7453274
Congo Republic,123.4773311
Costa Rica,246.8070941
Cote d'Ivoire,135.9827184
Czechia,255.4106517
Denmark,253.3909961
Djibouti,137.1405635
Dominican Republic,209.7752307
DR Congo,78.83682527
Ecuador,215.0388413
Egypt,256.3441862
El Salvador,222.7093943
Estonia,248.0350887
Eswatini,157.4486997
Ethiopia,95.17501216
Fiji,204.7878127
Finland,250.1473183
France,254.9130274
Gambia,136.9103524
Georgia,225.7522126
Germany,255.0990687
Ghana,168.9399612
Greece,254.2562722
Guatemala,185.810728
Guinea-Bissau,87.81825908
Guyana,209.1846658
Haiti,99.88795154
Honduras,195.4002107
Hungary,248.0051996
Iceland,252.0308055
Indonesia,215.1346012
Iran,222.7365142
Ireland,248.429269
Israel,257.4149677
Italy,259.5676675
Jamaica,219.6670141
Japan,257.09996
Kazakhstan,252.0563733
Kenya,118.8673067
Kiribati,162.7414618
Kuwait,276.3077109
Kyrgyz Republic,245.2737655
Laos,168.9619904
Latvia,245.2508479
Liberia,85.49839524
Lithuania,244.7577573
Luxembourg,254.784838
Madagascar,87.35753244
Malawi,94.6292501
Malaysia,240.1331453
Mali,114.8647667
Malta,255.8005621
Mauritania,147.0079624
Mauritius,218.2026983
Mexico,229.2259101
Moldova,228.5720156
Mongolia,225.5410139
Montenegro,236.4115943
Myanmar,163.3490477
Namibia,134.8103939
Nepal,184.0578168
Netherlands,255.1043939
New Zealand,248.9457795
Niger,85.97749199
Nigeria,101.7962835
North Macedonia,244.89727
Norway,253.1841995
Pakistan,186.1987651
Papua New Guinea,107.9262005
Paraguay,218.7459944
Peru,207.9046365
Philippines,192.1885795
Poland,255.4579305
Portugal,250.1128949
Romania,239.3880232
Russia,233.9464336
Samoa,208.024597
Sao Tome and Principe,144.7173391
Senegal,165.0730827
Serbia,244.5289793
Seychelles,225.4146433
Sierra Leone,81.84043709
Slovakia,253.7584465
Slovenia,255.125807
Somalia,77.57069315
South Africa,204.2445922
South Korea,262.1344574
South Sudan,23.63496216
Spain,254.2114489
Sri Lanka,210.6462504
St. Vincent and the Grenadines,223.5028667
Suriname,215.9101284
Sweden,252.5378479
Switzerland,256.1475697
Tajikistan,240.591608
Tanzania,107.7545176
Thailand,246.3871494
Timor-Leste,152.0345732
Togo,118.1512753
Trinidad and Tobago,225.9971182
Tunisia,242.5940141
Uganda,103.4993577
Ukraine,239.1082742
United Arab Emirates,268.6619217
United Kingdom,253.4929415
United States,247.6526293
Uruguay,243.1162962
Vanuatu,174.2994166
Vietnam,233.2768844
Yemen,170.1743541
Zimbabwe,125.0406047
