country_c,hhugitv_pts
Albania,74.39721366
Algeria,67.39859942
Angola,46.35219375
Argentina,75.07435854
Armenia,79.2415949
Australia,86.60916839
Austria,89.70417913
Azerbaijan,76.15021207
Bahamas,61.89919727
Bahrain,75.77559134
Bangladesh,68.93594726
Barbados,68.68097091
Belarus,82.71970173
Belize,56.16935918
Bhutan,71.24657612
Bolivia,65.74741737
Bosnia and Herzegovina,72.78330472
Botswana,56.77671603
Brazil,61.35891743
Brunei Darussalam,84.23097094
Bulgaria,78.47526065
Burundi,72.05095504
Cambodia,71.27316191
Cameroon,60.33844614
Canada,84.32551723
Chile,70.2456052
China,74.14433482
Colombia,57.42201187
Costa Rica,68.22114737
Croatia,81.07590982
Cyprus,82.65411065
Czechia,90.1783296
Dominican Republic,64.18944566
Ecuador,66.45767624
Egypt,68.63867956
El Salvador,59.21833215
Estonia,79.66533648
Eswatini,49.13833984
Fiji,71.02830082
France,87.36528265
Georgia,71.57135444
Germany,90.10728923
Ghana,68.85265797
Greece,80.29407449
Guatemala,59.90653427
Guyana,61.92195503
Haiti,52.33327277
Honduras,53.17215574
India,57.6767653
Iran,69.9164125
Iraq,43.29227511
Ireland,89.07988215
Israel,78.59418714
Italy,81.70227826
Jamaica,57.18694344
Japan,86.48007814
Jordan,66.13535444
Kazakhstan,73.78885175
Kenya,66.87582923
Kuwait,80.74950998
Latvia,79.56378078
Lebanon,62.47264946
Lithuania,79.48983017
Luxembourg,87.52463363
Malawi,70.19415584
Malaysia,76.93316884
Maldives,81.45125561
Malta,88.2648508
Mauritania,64.15654264
Mauritius,73.71527527
Mexico,60.87937803
Moldova,77.31611037
Montenegro,67.75822825
Morocco,69.72011377
Mozambique,62.02987905
Myanmar,66.52293846
Namibia,55.70229937
Nepal,66.72387431
Netherlands,92.34208218
New Zealand,85.33416162
Nicaragua,68.82240747
North Macedonia,75.04122079
Norway,95.02516669
Pakistan,55.8994254
Panama,68.35041165
Papua New Guinea,51.66966675
Paraguay,65.0177558
Peru,63.74925376
Philippines,62.2209437
Poland,81.12606082
Portugal,84.82956431
Qatar,83.08859945
Romania,74.59814039
Russia,73.65165657
Rwanda,65.79169469
Saudi Arabia,74.73494647
Serbia,76.412073
Sierra Leone,76.96088558
Singapore,88.27932717
Slovakia,84.96990872
Slovenia,87.28229029
South Korea,84.81972164
Spain,83.63151911
Sri Lanka,69.55643245
St. Lucia,62.26269083
Suriname,61.3930636
Sweden,89.72656168
Switzerland,93.03528227
Syria,49.1871966
Türkiye,68.9014439
Tajikistan,73.74127358
Tanzania,66.58790116
Thailand,67.77626385
Timor-Leste,72.52437104
Trinidad and Tobago,64.20941183
Tunisia,66.21206159
Turkmenistan,72.28532476
Uganda,64.97946218
United Arab Emirates,78.75719474
United Kingdom,85.92398505
United States,90.23799854
Uruguay,74.53767074
Uzbekistan,72.68422419
Vanuatu,63.93031259
Vietnam,70.99128782
Zambia,62.34295622
Zimbabwe,64.84877106
