country,year,calorie,norm_calorie,calorie_log32_n
Albania,2021,3.4,0.9568527918781726,30.619289340101524
Algeria,2021,0.7,0.9911167512690355,31.715736040609137
Angola,2021,59.1,0.25,8.0
Armenia,2021,20.4,0.7411167512690355,23.715736040609137
Australia,2021,2.5,0.9682741116751269,30.98477157360406
Austria,2021,2.6,0.9670050761421319,30.944162436548222
Azerbaijan,2021,0.0,1.0,32.0
Bangladesh,2021,9.3,0.881979695431472,28.223350253807105
Belarus,2021,0.1,0.998730964467005,31.95939086294416
Belgium,2021,0.5,0.9936548223350253,31.79695431472081
Belize,2021,51.1,0.3515228426395939,11.248730964467004
Benin,2021,20.2,0.7436548223350254,23.796954314720814
Bhutan,2021,0.9,0.9885786802030457,31.634517766497463
Bolivia,2021,3.9,0.950507614213198,30.416243654822335
Bosnia and Herzegovina,2021,1.0,0.9873096446700508,31.593908629441625
Botswana,2021,43.1,0.45304568527918776,14.497461928934008
Brazil,2021,17.8,0.7741116751269035,24.77157360406091
Bulgaria,2021,2.6,0.9670050761421319,30.944162436548222
Burkina Faso,2021,11.1,0.8591370558375635,27.492385786802032
Burundi,2021,45.6,0.42131979695431465,13.482233502538069
Cameroon,2021,31.4,0.601522842639594,19.248730964467008
Canada,2021,2.2,0.9720812182741116,31.106598984771573
Cape Verde,2021,6.4,0.9187817258883249,29.401015228426395
Central African Republic,2021,54.1,0.3134517766497461,10.030456852791875
Chad,2021,19.6,0.751269035532995,24.04060913705584
Chile,2021,31.7,0.5977157360406091,19.126903553299492
China,2021,4.7,0.9403553299492385,30.091370558375633
Colombia,2021,24.4,0.6903553299492386,22.091370558375637
Comoros,2021,31.4,0.601522842639594,19.248730964467008
Congo,2021,57.3,0.27284263959390864,8.730964467005077
Costa Rica,2021,6.7,0.9149746192893401,29.279187817258883
Cote d'Ivoire,2021,23.4,0.7030456852791878,22.49746192893401
Croatia,2021,10.1,0.8718274111675127,27.898477157360407
Cyprus,2021,1.4,0.9822335025380711,31.431472081218274
Czechia,2021,2.8,0.9644670050761421,30.86294416243655
Democratic Republic of Congo,2021,62.1,0.21192893401015223,6.781725888324871
Denmark,2021,0.6,0.9923857868020305,31.756345177664976
Djibouti,2021,20.7,0.7373096446700508,23.593908629441625
Dominican Republic,2021,10.4,0.868020304568528,27.776649746192895
Ecuador,2021,15.4,0.8045685279187818,25.746192893401016
Egypt,2021,6.3,0.9200507614213198,29.441624365482234
Estonia,2021,3.3,0.9581218274111675,30.65989847715736
Eswatini,2021,41.3,0.4758883248730965,15.228426395939088
Ethiopia,2021,12.6,0.8401015228426396,26.883248730964468
Fiji,2021,36.5,0.5368020304568528,17.17766497461929
Finland,2021,0.4,0.9949238578680203,31.83756345177665
France,2021,1.9,0.9758883248730964,31.228426395939085
Gabon,2021,17.4,0.7791878172588833,24.934010152284266
Gambia,2021,14.6,0.8147208121827412,26.071065989847718
