country,year,under_5yo_deaths,norm_deaths_pct,norm_with_pts,norm_pts_log5
Singapore,2014,0.216363636,1,5,32
Andorra,2014,0.226363636,0.99929708,4.996485398,31.97750655
Iceland,2014,0.250909091,0.99757173,4.987858649,31.92229535
Finland,2014,0.257272727,0.997124417,4.985622084,31.90798134
Slovenia,2014,0.263636364,0.996677104,4.98338552,31.89366733
Luxembourg,2014,0.27,0.996229791,4.981148955,31.87935331
Japan,2014,0.284545455,0.995207361,4.976036807,31.84663557
Sweden,2014,0.290909091,0.994760049,4.973800243,31.83232155
Norway,2014,0.293636364,0.994568343,4.972841715,31.82618698
Monaco,2014,0.294545455,0.994504441,4.972522206,31.82414212
Czechia,2014,0.313636364,0.993162502,4.965812512,31.78120008
Cyprus,2014,0.345454545,0.990925938,4.954629689,31.70963001
Spain,2014,0.347272727,0.990798134,4.95399067,31.70554029
Italy,2014,0.352727273,0.990414723,4.952073615,31.69327114
Estonia,2014,0.355454545,0.990223017,4.951115087,31.68713656
Portugal,2014,0.357272727,0.990095214,4.950476069,31.68304684
South Korea,2014,0.357272727,0.990095214,4.950476069,31.68304684
Cook Islands,2014,0.363636364,0.989647901,4.948239504,31.66873283
Austria,2014,0.380909091,0.988433766,4.942168829,31.6298805
Ireland,2014,0.382727273,0.988305962,4.94152981,31.62579079
Germany,2014,0.385454545,0.988114257,4.940571283,31.61965621
Denmark,2014,0.391818182,0.987666944,4.938334718,31.60534219
San Marino,2014,0.392727273,0.987603042,4.938015209,31.60329734
France,2014,0.397272727,0.987283532,4.936417662,31.59307304
Belgium,2014,0.403636364,0.98683622,4.934181098,31.57875903
Israel,2014,0.406363636,0.986644514,4.93322257,31.57262445
Netherlands,2014,0.412727273,0.986197201,4.930986005,31.55831044
Switzerland,2014,0.420909091,0.985622084,4.928110422,31.5399067
Australia,2014,0.420909091,0.985622084,4.928110422,31.5399067
Greece,2014,0.423636364,0.985430379,4.927151895,31.53377213
United Kingdom,2014,0.462727273,0.9826826,4.913412998,31.44584318
Croatia,2014,0.472727273,0.981979679,4.909898396,31.42334973
Taiwan,2014,0.486363636,0.981021152,4.905105758,31.39267685
Poland,2014,0.495454545,0.980382133,4.901910665,31.37222826
Lithuania,2014,0.503636364,0.979807016,4.899035082,31.35382453
