country,year,clean_fuel_cooking,norm_clean_cooking,norm_with_points,norm_with_points_log5
Cyprus,2016,100.0,1.0,5.0,32.0
Qatar,2016,100.0,1.0,5.0,32.0
Italy,2016,100.0,1.0,5.0,32.0
New Zealand,2016,100.0,1.0,5.0,32.0
Japan,2016,100.0,1.0,5.0,32.0
Chile,2016,100.0,1.0,5.0,32.0
Brunei,2016,100.0,1.0,5.0,32.0
Andorra,2016,100.0,1.0,5.0,32.0
Romania,2016,100.0,1.0,5.0,32.0
Antigua and Barbuda,2016,100.0,1.0,5.0,32.0
Australia,2016,100.0,1.0,5.0,32.0
Austria,2016,100.0,1.0,5.0,32.0
Bahamas,2016,100.0,1.0,5.0,32.0
Bahrain,2016,100.0,1.0,5.0,32.0
Barbados,2016,100.0,1.0,5.0,32.0
Ireland,2016,100.0,1.0,5.0,32.0
Belgium,2016,100.0,1.0,5.0,32.0
Seychelles,2016,100.0,1.0,5.0,32.0
Poland,2016,100.0,1.0,5.0,32.0
Panama,2016,100.0,1.0,5.0,32.0
Norway,2016,100.0,1.0,5.0,32.0
Oman,2016,100.0,1.0,5.0,32.0
United Kingdom,2016,100.0,1.0,5.0,32.0
San Marino,2016,100.0,1.0,5.0,32.0
Canada,2016,100.0,1.0,5.0,32.0
United States,2016,100.0,1.0,5.0,32.0
United Arab Emirates,2016,100.0,1.0,5.0,32.0
Uruguay,2016,100.0,1.0,5.0,32.0
Israel,2016,100.0,1.0,5.0,32.0
Portugal,2016,100.0,1.0,5.0,32.0
Spain,2016,100.0,1.0,5.0,32.0
Nauru,2016,100.0,1.0,5.0,32.0
Slovakia,2016,100.0,1.0,5.0,32.0
France,2016,100.0,1.0,5.0,32.0
Finland,2016,100.0,1.0,5.0,32.0
Singapore,2016,100.0,1.0,5.0,32.0
Malta,2016,100.0,1.0,5.0,32.0
Estonia,2016,100.0,1.0,5.0,32.0
Trinidad and Tobago,2016,100.0,1.0,5.0,32.0
Saudi Arabia,2016,100.0,1.0,5.0,32.0
Monaco,2016,100.0,1.0,5.0,32.0
Denmark,2016,100.0,1.0,5.0,32.0
Czechia,2016,100.0,1.0,5.0,32.0
South Korea,2016,100.0,1.0,5.0,32.0
Croatia,2016,100.0,1.0,5.0,32.0
Netherlands,2016,100.0,1.0,5.0,32.0
Saint Kitts and Nevis,2016,100.0,1.0,5.0,32.0
Iceland,2016,100.0,1.0,5.0,32.0
Hungary,2016,100.0,1.0,5.0,32.0
Kuwait,2016,100.0,1.0,5.0,32.0
Latvia,2016,100.0,1.0,5.0,32.0
Germany,2016,100.0,1.0,5.0,32.0
Lithuania,2016,100.0,1.0,5.0,32.0
Sweden,2016,100.0,1.0,5.0,32.0
Luxembourg,2016,100.0,1.0,5.0,32.0
Slovenia,2016,100.0,1.0,5.0,32.0
Greece,2016,100.0,1.0,5.0,32.0
Switzerland,2016,100.0,1.0,5.0,32.0
Turkmenistan,2016,99.9,0.9990000000000001,4.995000000000001,31.968000000000004
Jordan,2016,99.9,0.9990000000000001,4.995000000000001,31.968000000000004
Egypt,2016,99.79090909,0.9979090909,4.9895454545,31.9330909088
Tunisia,2016,99.75454545,0.9975454545,4.9877272725,31.921454544
Argentina,2016,99.74545455,0.9974545455,4.9872727275,31.918545456
Algeria,2016,99.55454545,0.9955454545000001,4.9777272725,31.857454544000003
Belarus,2016,99.33636364,0.9933636364,4.966818182,31.7876363648
Mauritius,2016,98.40909091,0.9840909091000001,4.9204545455,31.490909091200002
Iraq,2016,98.12727273,0.9812727273,4.9063636365,31.4007272736
Maldives,2016,97.91818182,0.9791818182,4.895909091,31.3338181824
Morocco,2016,97.75454545,0.9775454545,4.887727272499999,31.281454544
Syria,2016,97.53636364,0.9753636364,4.876818182,31.2116363648
Armenia,2016,97.5,0.975,4.875,31.2
Niue,2016,96.95454545,0.9695454545,4.8477272725,31.025454544
Azerbaijan,2016,96.81818182,0.9681818182,4.840909091,30.9818181824
Iran,2016,96.73636364,0.9673636363999999,4.836818181999999,30.955636364799997
Venezuela,2016,96.30909091,0.9630909091,4.8154545455,30.8189090912
Malaysia,2016,95.80909091,0.9580909090999999,4.790454545499999,30.658909091199998
Moldova,2016,95.79090909,0.9579090909,4.7895454545,30.6530909088
Brazil,2016,95.62727273,0.9562727273,4.7813636365,30.6007272736
Saint Lucia,2016,95.12727273,0.9512727273,4.7563636365,30.4407272736
Ukraine,2016,95.02727273,0.9502727273000001,4.751363636500001,30.408727273600004
Turkey,2016,94.98181818,0.9498181818,4.7490909089999995,30.3941818176
Costa Rica,2016,94.50909091,0.9450909090999999,4.7254545455,30.242909091199998
Saint Vincent and the Grenadines,2016,94.36363636,0.9436363636,4.718181818,30.1963636352
Ecuador,2016,94.31818182,0.9431818182,4.715909091,30.1818181824
Kazakhstan,2016,93.15909091,0.9315909091000001,4.657954545500001,29.810909091200003
Cuba,2016,92.86363636,0.9286363636,4.643181818,29.7163636352
Suriname,2016,91.92272727,0.9192272726999999,4.596136363499999,29.415272726399998
Grenada,2016,90.51818182,0.9051818182,4.525909091,28.9658181824
Colombia,2016,90.17272727,0.9017272727,4.5086363635,28.8552727264
