country,year,maternal_mortality,norm_maternal_mortality,norm_with_pts,norm_withpts_log5
Belarus,2015.0,1.591842573,0.0,0.0,0.0
Hong Kong,2013.166667,1.764560967,0.000146358,0.00073179,0.004683456
Poland,2015.0,2.145171445,0.000468879,0.002344396,0.015004128
Norway,2015.0,2.648812045,0.000895654,0.004478268,0.028660928
Israel,2015.0,2.839775509,0.001057472,0.00528736,0.033839104
Iceland,2015.0,3.028399564,0.001217308,0.00608654,0.038953856
Czechia,2015.0,3.458190464,0.001581504,0.007907519,0.050608128
Spain,2015.0,3.865384418,0.001926551,0.009632757,0.061649632
North Macedonia,2015.0,4.132354455,0.002152776,0.010763881,0.068888832
Malta,2015.0,4.327891482,0.00231847,0.01159235,0.07419104
Sweden,2015.0,4.637072,0.002580463,0.012902316,0.082574816
Slovenia,2015.0,4.987587836,0.002877483,0.014387414,0.092079456
Japan,2015.0,5.019968364,0.002904921,0.014524607,0.092957472
Slovakia,2015.0,5.020881109,0.002905695,0.014528474,0.09298224
Germany,2015.0,5.056319282,0.002935724,0.014678622,0.093943168
Australia,2015.0,5.115907364,0.002986218,0.01493109,0.095558976
Greece,2015.0,5.152601518,0.003017312,0.01508656,0.096553984
Belgium,2015.0,5.191142573,0.003049971,0.015249854,0.097599072
Netherlands,2015.0,5.228522382,0.003081646,0.015408228,0.098612672
Seychelles,2015.0,5.335739609,0.003172499,0.015862496,0.101519968
Denmark,2015.0,5.453942791,0.003272662,0.016363311,0.104725184
Austria,2015.0,5.644910764,0.003434484,0.017172422,0.109903488
Croatia,2015.0,5.797891291,0.003564117,0.017820584,0.114051744
Italy,2015.0,6.089443936,0.003811172,0.019055862,0.121957504
Ireland,2015.0,6.098669664,0.00381899,0.01909495,0.12220768
Turkmenistan,2015.0,6.190614364,0.003896902,0.01948451,0.124700864
Montenegro,2015.0,6.2496058,0.00394689,0.019734451,0.12630048
Estonia,2015.0,6.371958255,0.004050569,0.020252845,0.129618208
Bosnia and Herzegovina,2015.0,6.785232945,0.004400769,0.022003847,0.140824608
Luxembourg,2015.0,7.070531555,0.004642525,0.023212627,0.1485608
Albania,2015.0,7.074423473,0.004645823,0.023229116,0.148666336
Kuwait,2015.0,7.129259473,0.00469229,0.023461451,0.15015328
South Korea,2015.0,7.245307973,0.004790627,0.023953136,0.153300064
Switzerland,2015.0,7.285692618,0.004824848,0.024124241,0.154395136
Singapore,2015.0,7.347188491,0.004876959,0.024384793,0.156062688
Finland,2015.0,7.478784955,0.004988471,0.024942353,0.159631072
Bulgaria,2015.0,7.602148745,0.005093007,0.025465033,0.162976224
Qatar,2015.0,7.855075909,0.005307332,0.026536658,0.169834624
France,2015.0,8.286672418,0.005673057,0.028365287,0.181537824
Lithuania,2015.0,8.306173191,0.005689582,0.02844791,0.182066624
New Zealand,2015.0,8.337075445,0.005715768,0.028578839,0.182904576
United Kingdom,2015.0,8.855726182,0.006155262,0.030776308,0.196968384
United Arab Emirates,2015.0,9.024212091,0.006298033,0.031490165,0.201537056
Portugal,2015.0,10.31922314,0.007395398,0.03697699,0.236652736
Russia,2015.0,11.09504724,0.008052815,0.040264075,0.25769008
Canada,2015.0,11.70236964,0.008567447,0.042837236,0.274158304
Serbia,2015.0,12.38478314,0.00914571,0.045728549,0.29266272
Ukraine,2015.0,13.29737164,0.009919018,0.049595091,0.317408576
Kazakhstan,2015.0,14.31835618,0.010784179,0.053920894,0.345093728
Hungary,2015.0,14.79108245,0.011184757,0.055923786,0.357912224
Romania,2015.0,15.128373,0.01147057,0.05735285,0.36705824
Reunion,2013.0,15.736252,0.011985674,0.059928369,0.383541568
Moldova,2015.0,15.821392,0.01205782,0.060289098,0.38585024
Saudi Arabia,2015.0,15.85439818,0.012085788,0.060428942,0.386745216
Oman,2015.0,16.12273264,0.012313169,0.061565847,0.394021408
Bahrain,2015.0,16.27599127,0.012443037,0.062215187,0.398177184
Chile,2015.0,17.02710073,0.013079512,0.065397559,0.418544384
Uruguay,2015.0,17.54796718,0.013520883,0.067604415,0.432668256
United States,2015.0,17.61066659,0.013574013,0.067870066,0.434368416
Mayotte,2014.0,18.5444288,0.014365264,0.071826318,0.459688448
Turkey,2015.0,19.30018136,0.015005672,0.075028361,0.480181504
Lebanon,2015.0,19.34009945,0.015039498,0.07519749,0.481263936
Puerto Rico,2015.0,20.15505145,0.015730071,0.078650356,0.503362272
Costa Rica,2015.0,21.65457682,0.017000737,0.085003686,0.544023584
Tajikistan,2015.0,21.95257873,0.017253258,0.086266289,0.552104256
Iran,2015.0,22.11404082,0.017390077,0.086950387,0.556482464
Latvia,2015.0,22.29838964,0.017546291,0.087731453,0.561481312
Malaysia,2015.0,22.619202,0.01781814,0.089090701,0.57018048
Grenada,2015.0,23.90102545,0.01890433,0.094521652,0.60493856
Antigua and Barbuda,2015.0,24.75694145,0.019629616,0.098148078,0.628147712
Egypt,2015.0,25.03522618,0.019865428,0.099327141,0.635693696
China,2015.0,25.72148609,0.02044695,0.102234752,0.6543024
Armenia,2015.0,27.27586209,0.021764096,0.108820478,0.696451072
Syria,2015.0,28.46918273,0.02277529,0.113876452,0.72880928
Palestine,2015.0,28.69966718,0.022970598,0.11485299,0.735059136
