country,year,pm_value,norm_pm_value,norm_with_pts,norm_with_pts_log5
Bahamas,2014.5,5.305895,1.0,5.0,32.0
Finland,2014.5,6.002784,0.9887065072936144,4.943532536468072,31.63860823339566
Iceland,2014.5,6.296681,0.9839437349928196,4.919718674964098,31.486199519770228
Sweden,2014.5,6.532031,0.9801297509746362,4.900648754873181,31.364152031188357
Niue,2014.5,6.553944,0.9797746380288513,4.898873190144257,31.352788416923243
Tuvalu,2014.5,6.841231,0.9751189846333473,4.875594923166736,31.203807508267115
Norway,2014.5,6.940662,0.9735076472850916,4.8675382364254585,31.152244713122933
Estonia,2014.5,7.087452,0.9711288297196395,4.855644148598198,31.076122551028465
Marshall Islands,2014.5,7.151778,0.9700863893714191,4.850431946857095,31.04276445988541
Canada,2014.5,7.18851,0.9694911258874339,4.847455629437169,31.023716028397885
Tonga,2014.5,7.26225,0.9682961261784863,4.841480630892431,30.98547603771156
Fiji,2014.5,7.272566,0.9681289493816663,4.840644746908332,30.98012638021332
Nauru,2014.5,7.409145,0.9659156070267928,4.829578035133964,30.90929942485737
Australia,2014.5,7.47963,0.9647733564913279,4.82386678245664,30.872747407722493
Cook Islands,2014.5,7.522742,0.9640747013861997,4.8203735069309985,30.85039044435839
Kiribati,2014.5,7.550977,0.9636171367431005,4.818085683715502,30.835748375779215
Micronesia (country),2014.5,7.580932,0.963131698496809,4.8156584924840455,30.82021435189789
Samoa,2014.5,7.623628,0.9624397849143133,4.812198924571566,30.798073117258024
Solomon Islands,2014.5,7.656394,0.9619087927735026,4.8095439638675135,30.781081368752083
Dominican Republic,2014.5,7.674254,0.9616193610566351,4.808096805283176,30.771819553812325
Brunei,2014.5,7.67785,0.9615610857792636,4.807805428896318,30.769954744936435
Palau,2014.5,7.684702,0.9614500451228261,4.80725022561413,30.766401443930434
New Zealand,2014.5,7.730511,0.9607076835596692,4.803538417798346,30.742645873909414
Saint Kitts and Nevis,2014.5,8.219371,0.9527854221314594,4.763927110657297,30.489133508206702
Oceania (exc. Australia and New Zealand) (UN),2014.5,8.360241,0.9505025416188548,4.752512708094274,30.416081331803355
Dominica,2014.5,8.382312,0.9501448681909163,4.750724340954581,30.40463578210932
United States,2014.5,8.422387,0.9494954294421222,4.747477147210611,30.38385374214791
Vanuatu,2014.5,8.430967,0.9493563855378263,4.746781927689131,30.379404337210442
