country,year,pct_slums,norm_pct_slums,norm_with_pts,norm_log5
Germany,2017,0,1,5,32
Denmark,2017,0,1,5,32
Finland,2017,0,1,5,32
France,2017,0,1,5,32
Belgium,2017,0,1,5,32
Belarus,2019,0,1,5,32
Gibraltar,2017,0,1,5,32
Iceland,2017,0,1,5,32
Israel,2017,0,1,5,32
Kuwait,2017,0,1,5,32
Aruba,2017,0,1,5,32
Macao,2022,0,1,5,32
Monaco,2017,0,1,5,32
Norway,2017,0,1,5,32
Netherlands,2017,0,1,5,32
New Zealand,2017,0,1,5,32
Andorra,2017,0,1,5,32
Switzerland,2017,0,1,5,32
Luxembourg,2017,0.016666667,0.999823071,4.999115357,31.99433829
Italy,2017,0.02,0.999787686,4.998938429,31.99320594
Malta,2017,0.04,0.999575372,4.997876858,31.98641189
Australia,2017,0.045,0.999522293,4.997611465,31.98471338
Czechia,2017,0.046666667,0.9995046,4.997523001,31.9841472
Spain,2017.333333,0.05,0.999469214,4.997346072,31.98301486
Greece,2012,0.05,0.999469214,4.997346072,31.98301486
Austria,2022,0.05,0.999469214,4.997346072,31.98301486
Slovakia,2017,0.053333333,0.999433829,4.997169144,31.98188252
Bermuda,2017,0.096666667,0.998973815,4.994869073,31.96716207
Portugal,2017,0.11,0.998832272,4.994161359,31.9626327
United Kingdom,2017,0.11,0.998832272,4.994161359,31.9626327
Estonia,2017,0.141666667,0.998496108,4.992480538,31.95187544
Sweden,2017,0.156666667,0.998336872,4.99168436,31.9467799
United States,2017,0.165,0.998248408,4.991242038,31.94394904
Bulgaria,2017,0.2,0.997876858,4.989384289,31.93205945
Northern Mariana Islands,2022,0.2,0.997876858,4.989384289,31.93205945
New Caledonia,2022,0.25,0.997346072,4.986730361,31.91507431
United Arab Emirates,2017,0.265,0.997186837,4.985934183,31.90997877
Cyprus,2017,0.278333333,0.997045294,4.985226469,31.9054494
Croatia,2017,0.313333333,0.996673744,4.983368719,31.8935598
Oman,2017,0.325,0.996549894,4.982749469,31.8895966
North Macedonia,2017,0.338333333,0.996408351,4.982041755,31.88506723
Martinique,2022,0.39,0.995859873,4.979299363,31.86751592
Palau,2017,0.52,0.99447983,4.972399151,31.82335456
Slovenia,2022,0.53,0.994373673,4.971868365,31.81995754
