country,year,water_pct,norm_water,norm_water_withpts,norm_water_withpts_log5
 Gibraltar,2018,100,1,5,32
 Monaco,2018,100,1,5,32
 Singapore,2018,100,1,5,32
 Liechtenstein,2018,100,1,5,32
 San Marino,2018,100,1,5,32
 Faroe Islands,2018,100,1,5,32
 Kuwait,2018,100,1,5,32
 Greenland,2018,100,1,5,32
Macao,2018,99.99949701,0.999992922,4.999964609,31.9997735
Hong Kong,2018,99.98674006,0.999813404,4.999067021,31.99402893
 The Netherlands ,2018,99.9863085,0.999807331,4.999036655,31.99383459
 United Arab Emirates,2018,99.97324095,0.999623443,4.998117213,31.98795016
 Australia,2018,99.96893926,0.999562909,4.997814543,31.98601307
 Saint Bartholemy,2018,99.96845941,0.999556156,4.99778078,31.98579699
 Cook Islands,2018,99.96496607,0.999506997,4.997534986,31.98422391
 Germany,2018,99.95299308,0.999338511,4.996692557,31.97883237
 United Kingdom,2018,99.92632742,0.998963268,4.994816341,31.96682458
 Malta,2018,99.92147566,0.998894994,4.994474968,31.96463979
 Mauritius,2018,99.91658429,0.998826162,4.994130808,31.96243717
 Bermuda,2018,99.90314002,0.998636972,4.993184858,31.95638309
 Brunei Darussalam,2018,99.9000434,0.998593396,4.992966978,31.95498866
 Uruguay,2018,99.88129688,0.998329592,4.991647959,31.94654694
 British Virgin Islands,2018,99.86438356,0.998091585,4.990457924,31.93893072
 Belgium,2018,99.85309253,0.997932696,4.989663478,31.93384626
 Finland,2018,99.80308142,0.997228932,4.986144659,31.91132582
 Israel,2018,99.76434859,0.996683878,4.983419388,31.89388408
 Denmark,2018,99.75142052,0.996501952,4.982509759,31.88806246
 Spain,2018,99.74100159,0.996355335,4.981776675,31.88337072
 Luxembourg,2018,99.72740585,0.996164014,4.980820069,31.87724844
 Sweden,2018,99.69497971,0.995707708,4.978538541,31.86264666
 Iceland,2018,99.64410018,0.994991724,4.974958618,31.83973516
 Cyprus,2018,99.61867072,0.994633876,4.973169382,31.82828404
 France,2018,99.61847794,0.994631164,4.973155818,31.82819723
 Tokelau,2018,99.61498011,0.994581942,4.972909708,31.82662213
 Bahrain,2018,99.61095803,0.994525342,4.972626711,31.82481095
 Slovakia,2018,99.52116377,0.993261744,4.966308719,31.7843758
 Norway,2018,99.52012485,0.993247124,4.96623562,31.78390797
 Greece,2018,99.51864376,0.993226282,4.966131409,31.78324102
 Curaco,2015.5,99.49775185,0.992932288,4.964661439,31.77383321
 Austria,2018,99.45205888,0.992289289,4.961446446,31.75325726
 Guam,2018,99.37749587,0.991240027,4.956200136,31.71968087
 Saudi Arabia,2018.5,99.32836333,0.990548627,4.952743134,31.69755606
 Martinique,2018,99.31970214,0.990426745,4.952133726,31.69365585
 Republic of Korea,2018,99.2891603,0.989996956,4.949984779,31.67990258
 Chile,2018,99.23101771,0.989178764,4.945893822,31.65372046
 Puerto Rico,2018,99.09721732,0.987295905,4.936479525,31.59346896
 Canada,2018,99.085957,0.987137448,4.93568724,31.58839834
 Argentina,2015,98.98230999,0.985678912,4.928394558,31.54172517
 Libya,2018,98.92489097,0.984870902,4.924354512,31.51586888
 Czechia,2018,98.88108501,0.984254458,4.921272291,31.49614267
 Bahamas,2016.5,98.87983311,0.984236841,4.921184207,31.49557892
 Isle of Man,2018,98.84600364,0.983760788,4.91880394,31.48034521
 Japan,2018,98.76609062,0.98263624,4.913181199,31.44435967
 Türkiye,2018,98.68838339,0.981542732,4.907713659,31.40936742
" Bonaire, Sint Eustatius and Saba",2018,98.66824483,0.981259339,4.906296695,31.40029885
 Saint Kitts and Nevis,2015.5,98.61185413,0.9804658,4.902329002,31.37490561
 New Zealand,2018,98.50749992,0.978997312,4.89498656,31.32791399
 Qatar,2018,98.43356106,0.977956833,4.889784166,31.29461866
 Estonia,2018,98.42604717,0.977851097,4.889255483,31.29123509
