country,year,homicide_rate,norm_homicide,homicide_norm_withpts,homicide_norm_withpts_log16
Afghanistan,2014.111111,6.172615978,0.903028074,4.515140368,14.44844918
Albania,2014,3.434787136,0.946039422,4.73019711,15.13663075
Algeria,2014,1.180476116,0.981454695,4.907273477,15.70327513
American Samoa,2014,7.804629591,0.877389106,4.386945528,14.03822569
Andorra,2012,0.202440414,0.996819657,4.984098284,15.94911451
Angola,2013.5,4.43524355,0.930322231,4.651611154,14.88515569
Anguilla,2011.5,13.41869667,0.789191994,3.945959971,12.62707191
Antigua and Barbuda,2014.166667,12.60628818,0.801954948,4.009774742,12.83127917
Argentina,2014,6.163076527,0.903177939,4.515889693,14.45084702
Armenia,2014,2.448780655,0.961529605,4.807648023,15.38447367
Aruba,2011.5,3.612110267,0.943253672,4.71626836,15.09205875
Australia,2014,1.007630617,0.984170102,4.920850509,15.74672163
Austria,2014,0.744807482,0.988299059,4.941495294,15.81278494
Azerbaijan,2014.5,2.05578054,0.967703645,4.838518223,15.48325831
Bahamas,2014,28.66663736,0.549646526,2.748232631,8.794344419
Bahrain,2014,0.551797734,0.991331246,4.95665623,15.86129994
Bangladesh,2013.5,2.5992249,0.959166122,4.795830612,15.34665796
Barbados,2014,10.0545034,0.842043541,4.210217704,13.47269665
Belarus,2014,3.3688255,0.947075681,4.735378404,15.15321089
Belize,2014,35.96412109,0.435002904,2.175014519,6.960046462
Bermuda,2014,8.3189811,0.869308633,4.346543163,13.90893812
Bhutan,2014,2.36734167,0.962809013,4.814045064,15.4049442
Bolivia,2017,5.25878328,0.917384404,4.586922022,14.67815047
Bosnia and Herzegovina,2014,1.416080145,0.977753351,4.888766756,15.64405362
Botswana,2009.5,14.295268,0.77542104,3.8771052,12.40673664
Brazil,2014,27.37837736,0.569885118,2.849425589,9.118161884
Brunei,2011,0.547929026,0.991392024,4.956960118,15.86227238
Bulgaria,2014,1.563414418,0.975438727,4.877193634,15.60701963
Burundi,2014,5.1446421,0.919177565,4.595887824,14.70684104
Cambodia,2010,2.1605423,0.966057835,4.830289176,15.45692536
Cameroon,2012.857143,4.439902371,0.930249041,4.651245203,14.88398465
Canada,2014,1.691427545,0.973427638,4.867138189,15.5748422
Cape Verde,2016,8.458658271,0.867114301,4.335571506,13.87382882
Cayman Islands,2014.285714,9.624000286,0.848806754,4.244033769,13.58090806
Chile,2014,3.460039345,0.945642709,4.728213547,15.13028335
China,2014,0.744981769,0.988296321,4.941481604,15.81274113
Colombia,2014,29.95652809,0.529382316,2.646911579,8.470117053
Cook Islands,2012,3.489514,0.945179662,4.72589831,15.12287459
Costa Rica,2014,10.71559545,0.831657771,4.158288854,13.30652433
Croatia,2014,1.01210078,0.984099876,4.920499378,15.74559801
Cuba,2014,4.977414045,0.921804721,4.609023605,14.74887554
Cyprus,2014,1.131694495,0.982221056,4.911105279,15.71553689
Czechia,2013.6,0.82746018,0.987000583,4.935002916,15.79200933
Denmark,2014.5,0.976282976,0.984662574,4.92331287,15.75460118
Dominica,2014.333333,17.96107478,0.717831139,3.589155694,11.48529822
Dominican Republic,2013.9,18.1105823,0.715482372,3.577411862,11.44771796
East Timor,2011.333333,3.5499251,0.944230602,4.721153011,15.10768964
Ecuador,2014,10.28108908,0.838483875,4.192419375,13.415742
Egypt,2013,2.033625038,0.968051708,4.84025854,15.48882733
El Salvador,2014,63.65363882,0,0,0
England and Wales,2014,1.037422567,0.98370207,4.918510349,15.73923312
Eritrea,2012,14.572975,0.771058257,3.855291287,12.33693212
Estonia,2014,3.585018927,0.943679278,4.718396388,15.09886844
Eswatini,2013,12.42553922,0.804794518,4.023972592,12.87671229
Ethiopia,2012,8.631964,0.864391665,4.321958323,13.83026663
Fiji,2011.5,2.348052817,0.963112041,4.815560205,15.40979266
Finland,2014,1.682086045,0.973574393,4.867871965,15.57719029
France,2014,1.257723145,0.980241143,4.901205715,15.68385829
French Guiana,2015.333333,13.240485,0.791991703,3.959958516,12.67186725
French Polynesia,2009,0.35425505,0.994434646,4.972173229,15.91095433
Georgia,2014.833333,3.028174367,0.952427317,4.762136586,15.23883708
Germany,2014,0.91562449,0.98561552,4.9280776,15.76984832
Ghana,2014,1.828208555,0.971278805,4.856394026,15.54046088
Gibraltar,2009.5,1.59938585,0.974873615,4.874368074,15.59797784
Greece,2014,1.150718671,0.981922186,4.909610928,15.71075497
Greenland,2012.5,10.67503404,0.832294992,4.161474958,13.31671986
Grenada,2014,8.131207145,0.872258565,4.361292827,13.95613705
Guadeloupe,2012.857143,7.545900529,0.881453745,4.407268723,14.10325991
Guam,2012.25,2.8558144,0.955135096,4.77567548,15.28216153
Guatemala,2013.666667,34.789301,0.453459352,2.267296761,7.255349634
Guinea-Bissau,2016.5,2.30285715,0.963822066,4.81911033,15.42115305
Guyana,2014,17.78947264,0.720527012,3.60263506,11.52843219
Haiti,2013.111111,8.715791656,0.86307473,4.315373652,13.80919569
Honduras,2014,60.602825,0.047928349,0.239641745,0.766853584
Hong Kong,2014,0.448865284,0.992948317,4.964741585,15.88717307
Hungary,2014,1.454134915,0.97715551,4.88577755,15.63448816
Iceland,2014,0.546471395,0.991414923,4.957074615,15.86263877
India,2014,3.435354327,0.946030512,4.730152558,15.13648818
Iran,2012,2.665890167,0.95811881,4.790594048,15.32990095
Iraq,2011,8.50977964,0.866311183,4.331555917,13.86097894
Ireland,2013.8,0.922686387,0.985504578,4.927522888,15.76807324
Isle of Man,2013.5,1.784328983,0.971968154,4.859840771,15.55149047
Israel,2014,1.629866636,0.974394761,4.871973805,15.59031618
Italy,2014,0.772937369,0.987857138,4.939285689,15.8057142
Jamaica,2014,47.18715282,0.25868884,1.293444201,4.139021443
Japan,2014,0.30622323,0.995189227,4.975946133,15.92302763
Jordan,2014,1.684444951,0.973537335,4.867686673,15.57659735
Kazakhstan,2012.625,7.04184305,0.889372498,4.44686249,14.22995997
Kenya,2014.1,4.61814277,0.92744888,4.637244401,14.83918208
Kiribati,2010.5,5.456608065,0.914276573,4.571382865,14.62842517
Kosovo,2014,3.189001745,0.949900716,4.749503579,15.19841145
Kuwait,2013.714286,1.399627964,0.978011815,4.890059077,15.64818905
Latvia,2015.5,3.473356988,0.945433489,4.727167445,15.12693582
Lebanon,2014,3.516197609,0.944760462,4.723802309,15.11616739
Liberia,2010.5,3.4723152,0.945449855,4.727249277,15.12719769
Liechtenstein,2014,1.212383273,0.980953433,4.904767167,15.69525493
Lithuania,2014,5.555304673,0.912726047,4.563630236,14.60361675
Luxembourg,2014,0.714643803,0.988772931,4.943864654,15.82036689
Macao,2014,0.385861122,0.993938114,4.969690568,15.90300982
Malawi,2010.5,2.456535175,0.961407781,4.807038905,15.38252449
Malaysia,2014,1.603427963,0.974810113,4.874050565,15.59696181
Maldives,2012.714286,1.288798537,0.979752948,4.89876474,15.67604717
Malta,2014,1.345782922,0.978857722,4.89428861,15.66172355
Martinique,2009,2.7903626,0.956163345,4.780816725,15.29861352
Mauritania,2018.5,1.1679696,0.981651173,4.908255866,15.70641877
Mauritius,2014,2.2834628,0.964126752,4.820633758,15.42602802
Mayotte,2009,5.8157005,0.908635223,4.543176116,14.53816357
Melanesia,2014,7.928348964,0.875445472,4.377227358,14.00712755
Mexico,2014,22.36371745,0.64866553,3.24332765,10.37864848
Micronesia,2014,3.517113664,0.944746071,4.723730353,15.11593713
Micronesia (country),2019,0.89783937,0.985894925,4.929474623,15.77431879
Moldova,2014,5.764069927,0.909446341,4.547231703,14.55114145
Mongolia,2014,7.320232145,0.884999,4.424994998,14.15998399
Montenegro,2014,2.889490355,0.954606046,4.77303023,15.27369674
Montserrat,2015.666667,6.700167333,0.894740231,4.473701154,14.31584369
Morocco,2014,1.526670709,0.976015971,4.880079856,15.61625554
Mozambique,2010,3.677821833,0.942221342,4.71110671,15.07554147
Myanmar,2014,2.421657955,0.961955703,4.809778514,15.39129124
Namibia,2013.166667,16.48173667,0.741071572,3.705357858,11.85714514
Nepal,2014,2.355648309,0.962992716,4.814963578,15.40788345
Netherlands,2014,0.746294339,0.9882757,4.941378501,15.8124112
New Caledonia,2009,3.113125,0.951092741,4.755463705,15.21748386
New Zealand,2014,1.149275389,0.98194486,4.909724298,15.71111775
Nicaragua,2014,9.928204118,0.844027705,4.220138526,13.50444328
Niger,2011.5,4.59852815,0.927757026,4.638785132,14.84411242
Nigeria,2017.5,27.6724925,0.565264563,2.826322814,9.044233005
North Macedonia,2014,1.370387361,0.978471186,4.892355929,15.65553897
