INEQ(GINI),ALL 8 ,CRIME MATCH INEQ?!,G.N.I. MATCH?!,HEALTHCARE MATCH?!,HOMICIDE MATCH,UNEMPLOY,TERROR,VACCINE,CRIME,G.N.I,HEALTHCARE,HOMICIDE,UNEMPLOY,TERROR,VACCINE
Albania,7,TRUE,TRUE,TRUE,,,,,Albania,Albania,Albania,Albania,Albania,Albania,Algeria
Algeria,7,TRUE,TRUE,TRUE,,,,,Algeria,Algeria,Algeria,Algeria,Algeria,Algeria,Andorra
Angola,7,TRUE,TRUE,TRUE,,,,,Angola,Angola,Angola,Andorra,Argentina,Angola,Antigua and Barbuda
Argentina,7,TRUE,TRUE,TRUE,,,,,Australia,Armenia,Armenia,Antigua and Barbuda,Austria,Armenia,Australia
Armenia,7,TRUE,TRUE,TRUE,,,,,Austria,Aruba,Australia,Argentina,Azerbaijan,Australia,Austria
Australia,7,TRUE,TRUE,TRUE,,,,,Bahamas,Austria,Azerbaijan,Aruba,Bahrain,Azerbaijan,Bahamas
Austria,7,TRUE,TRUE,TRUE,,,,,Bahrain,Azerbaijan,Bahamas,Australia,Bangladesh,Bahamas,Bahrain
Azerbaijan,7,TRUE,TRUE,TRUE,,,,,Bangladesh,Bahamas,Bahrain,Austria,Barbados,Bahrain,Bangladesh
Bahamas,7,TRUE,TRUE,TRUE,,,,,Barbados,Bahrain,Bangladesh,Azerbaijan,Belarus,Bangladesh,Barbados
Bahrain,7,TRUE,TRUE,TRUE,,,,,Belarus,Bangladesh,Barbados,Bahamas,Belgium,Barbados,Belarus
Bangladesh,7,TRUE,TRUE,TRUE,,,,,Belgium,Barbados,Belarus,Bahrain,Belize,Belarus,Belgium
Barbados,7,TRUE,TRUE,TRUE,,,,,Belize,Belarus,Belgium,Bangladesh,Benin,Belgium,Belize
Belarus,7,TRUE,TRUE,TRUE,,,,,Bolivia,Belgium,Belize,Barbados,Bhutan,Belize,Benin
Belize,7,TRUE,TRUE,TRUE,,,,,Brazil,Benin,Bhutan,Belize,Bosnia and Herzegovina,Bhutan,Bolivia
Bolivia,7,TRUE,TRUE,TRUE,,,,,Cameroon,Bosnia and Herzegovina,Brazil,Bosnia and Herzegovina,Bulgaria,Brazil,Brunei
Botswana,7,TRUE,TRUE,TRUE,,,,,China,Brunei,Burkina Faso,Brunei,Cambodia,Burkina Faso,Burundi
Brazil,7,TRUE,TRUE,TRUE,,,,,Colombia,Bulgaria,Burundi,Bulgaria,Cameroon,Burundi,Cambodia
Brunei,7,TRUE,TRUE,TRUE,,,,,Croatia,Burundi,Cameroon,Cambodia,Cape Verde,Cameroon,Canada
Bulgaria,7,TRUE,TRUE,TRUE,,,,,Cuba,Cambodia,Canada,Cameroon,Central African Republic,Canada,Cape Verde
Cambodia,7,TRUE,TRUE,TRUE,,,,,Denmark,Cape Verde,Chad,Cayman Islands,China,Chile,Colombia
Cameroon,7,TRUE,TRUE,TRUE,,,,,Dominican Republic,Cayman Islands,Chile,Chile,Colombia,China,Comoros
Canada,7,TRUE,TRUE,TRUE,,,,,Ecuador,Central African Republic,China,China,Comoros,Colombia,Congo
Chile,7,TRUE,TRUE,TRUE,,,,,Fiji,Comoros,Costa Rica,Cuba,Cuba,Cuba,Cuba
China,7,TRUE,TRUE,TRUE,,,,,Finland,Congo,Cote d'Ivoire,Cyprus,Cyprus,Cyprus,Cyprus
Colombia,7,TRUE,TRUE,TRUE,,,,,France,Costa Rica,Croatia,Czechia,Czechia,Czechia,Czechia
Costa Rica,7,TRUE,TRUE,TRUE,,,,,Ghana,Curacao,Czechia,Dominican Republic,Djibouti,Djibouti,East Timor
Croatia,7,TRUE,TRUE,TRUE,,,,,Guatemala,Czechia,Denmark,Ecuador,East Timor,Dominican Republic,Egypt
Cyprus,7,TRUE,TRUE,TRUE,,,,,Honduras,Djibouti,Dominican Republic,England and Wales,El Salvador,Egypt,Estonia
Dominican Republic,7,TRUE,TRUE,TRUE,,,,,Iraq,El Salvador,Eritrea,Finland,Fiji,Ethiopia,Germany
Ecuador,7,TRUE,TRUE,TRUE,,,,,Israel,Estonia,Eswatini,French Guiana,France,Fiji,Greece
Egypt,7,TRUE,TRUE,TRUE,,,,,Italy,Eswatini,Ethiopia,French Polynesia,French Polynesia,Finland,Grenada
El Salvador,7,TRUE,TRUE,TRUE,,,,,Ivory Coast,Ethiopia,Fiji,Georgia,Gabon,France,Guatemala
Estonia,7,TRUE,TRUE,TRUE,,,,,Jordan,Finland,Gabon,Gibraltar,Germany,Gabon,Honduras
Fiji,7,TRUE,TRUE,TRUE,,,,,Kuwait,Gambia,Germany,Grenada,Guam,Germany,Iran
France,7,TRUE,TRUE,TRUE,,,,,Latvia,Germany,Greece,Guam,Guinea,Greece,Ireland
Georgia,7,TRUE,TRUE,TRUE,,,,,Luxembourg,Guatemala,Guinea-Bissau,Haiti,Honduras,Guinea,Japan
Germany,7,TRUE,TRUE,TRUE,,,,,Malaysia,Guinea,Guyana,Honduras,Hong Kong,Guinea-Bissau,Jordan
Ghana,7,TRUE,TRUE,TRUE,,,,,Maldives,Guinea-Bissau,Haiti,Hong Kong,Hungary,Guyana,Kazakhstan
Greece,7,TRUE,TRUE,TRUE,,,,,Mauritius,Haiti,Hungary,Iceland,India,Honduras,Kiribati
Guatemala,7,TRUE,TRUE,TRUE,,,,,Monaco,Hungary,Indonesia,Iraq,Iraq,Iceland,Laos
Guyana,7,TRUE,TRUE,TRUE,,,,,Mozambique,Iran,Israel,Italy,Jamaica,Iraq,Libya
Haiti,7,TRUE,TRUE,TRUE,,,,,Myanmar,Iraq,Italy,Jamaica,Japan,Ireland,Lithuania
Honduras,7,TRUE,TRUE,TRUE,,,,,Namibia,Ireland,Jamaica,Japan,Jordan,Israel,Luxembourg
India,7,TRUE,TRUE,TRUE,,,,,Nicaragua,Japan,Kenya,Kiribati,Kyrgyzstan,Jordan,Malta
Iran,7,TRUE,TRUE,TRUE,,,,,North Korea,Kazakhstan,Kuwait,Kuwait,Latvia,Kenya,Mauritania
Iraq,7,TRUE,TRUE,TRUE,,,,,North Macedonia,Kenya,Kyrgyzstan,Latvia,Lebanon,Kosovo,Mauritius
Ireland,7,TRUE,TRUE,TRUE,,,,,Norway,Kiribati,Laos,Lebanon,Lesotho,Kuwait,Mexico
Israel,7,TRUE,TRUE,TRUE,,,,,Pakistan,Kuwait,Lebanon,Liechtenstein,Libya,Laos,Moldova
Italy,7,TRUE,TRUE,TRUE,,,,,Palestine,Kyrgyzstan,Lesotho,Lithuania,Lithuania,Latvia,Monaco
Jamaica,7,TRUE,TRUE,TRUE,,,,,Panama,Laos,Liberia,Luxembourg,Luxembourg,Lebanon,Mongolia
Japan,7,TRUE,TRUE,TRUE,,,,,Papua New Guinea,Latvia,Libya,Macao,Macao,Lesotho,Montenegro
Jordan,7,TRUE,TRUE,TRUE,,,,,Peru,Lesotho,Luxembourg,Malaysia,Malawi,Libya,Mozambique
Kazakhstan,7,TRUE,TRUE,TRUE,,,,,Philippines,Liberia,Madagascar,Maldives,Malaysia,Lithuania,Myanmar
Kenya,7,TRUE,TRUE,TRUE,,,,,Poland,Libya,Malawi,Malta,Maldives,Luxembourg,Namibia
Kuwait,7,TRUE,TRUE,TRUE,,,,,Qatar,Macao,Mali,Mauritius,Mauritania,Madagascar,Netherlands
Latvia,7,TRUE,TRUE,TRUE,,,,,Rwanda,Malaysia,Mauritania,Mexico,Moldova,Maldives,Niue
