country,year,terror,norm_terror,norm_terror_withpts_log16
Lesotho,2019.0,0.0,1.0,16.0
Rhodesia,2019.0,0.0,1.0,16.0
Iceland,2019.0,0.0,1.0,16.0
Solomon Islands,2019.0,0.0,1.0,16.0
Cuba,2019.0,0.0,1.0,16.0
Eswatini,2019.0,0.0,1.0,16.0
Bhutan,2019.0,0.0,1.0,16.0
Bahamas,2019.0,0.0,1.0,16.0
Wallis and Futuna,2019.0,0.0,1.0,16.0
Belize,2019.0,0.0,1.0,16.0
Brunei,2019.0,0.0,1.0,16.0
Uruguay,2019.0,0.0,1.0,16.0
Togo,2019.0,0.0,1.0,16.0
Botswana,2019.0,0.0,1.0,16.0
Qatar,2019.0,0.0,1.0,16.0
United Arab Emirates,2019.0,0.0,1.0,16.0
Barbados,2019.0,0.0,1.0,16.0
Zaire,2019.0,0.0,1.0,16.0
South Yemen,2019.0,0.0,1.0,16.0
Uzbekistan,2019.0,0.0,1.0,16.0
Vanuatu,2019.0,0.0,1.0,16.0
Andorra,2019.0,0.0,1.0,16.0
Antigua and Barbuda,2019.0,0.0,1.0,16.0
Turkmenistan,2019.0,0.0,1.0,16.0
Suriname,2019.0,0.0,1.0,16.0
Yemen Arab Republic,2019.0,0.0,1.0,16.0
Republic of the Congo,2019.0,0.0,1.0,16.0
People's Republic of the Congo,2019.0,0.0,1.0,16.0
Vatican,2019.0,0.0,1.0,16.0
North Korea,2019.0,0.0,1.0,16.0
Grenada,2019.0,0.0,1.0,16.0
Gambia,2019.0,0.0,1.0,16.0
French Polynesia,2019.0,0.0,1.0,16.0
French Guiana,2019.0,0.0,1.0,16.0
Serbia and Montenegro,2019.0,0.0,1.0,16.0
Guinea-Bissau,2019.0,0.0,1.0,16.0
Fiji,2019.0,0.0,1.0,16.0
Seychelles,2019.0,0.0,1.0,16.0
Martinique,2019.0,0.0,1.0,16.0
Singapore,2019.0,0.0,1.0,16.0
Equatorial Guinea,2019.0,0.0,1.0,16.0
Falkland Islands,2019.0,0.0,1.0,16.0
East Timor,2019.0,0.0,1.0,16.0
New Hebrides,2019.0,0.0,1.0,16.0
Guadeloupe,2019.0,0.0,1.0,16.0
Panama,2019.0,0.0,1.0,16.0
Moldova,2019.0,0.0,1.0,16.0
Saint Kitts and Nevis,2019.0,0.0,1.0,16.0
Kuwait,2019.0,0.0,1.0,16.0
Hong Kong,2019.0,0.0,1.0,16.0
Romania,2019.0,0.0,1.0,16.0
Macao,2019.0,0.0,1.0,16.0
Madagascar,2019.0,0.0,1.0,16.0
Luxembourg,2019.0,0.0,1.0,16.0
Namibia,2019.0,0.0,1.0,16.0
Mauritius,2019.0,0.0,1.0,16.0
Slovenia,2019.0,0.0,1.0,16.0
Armenia,2019.0,0.2,0.9998895637769188,15.998233020430702
Macedonia,2019.0,0.2,0.9998895637769188,15.998233020430702
Laos,2019.0,0.2,0.9998895637769188,15.998233020430702
Dominican Republic,2019.0,0.2,0.9998895637769188,15.998233020430702
Croatia,2019.0,0.2,0.9998895637769188,15.998233020430702
Morocco,2019.0,0.2,0.9998895637769188,15.998233020430702
Mauritania,2019.0,0.2,0.9998895637769188,15.998233020430702
Portugal,2019.0,0.2,0.9998895637769188,15.998233020430702
Saint Lucia,2019.0,0.2,0.9998895637769188,15.998233020430702
Hungary,2019.0,0.2,0.9998895637769188,15.998233020430702
El Salvador,2019.0,0.2,0.9998895637769188,15.998233020430702
Slovakia,2019.0,0.2,0.9998895637769188,15.998233020430702
Dominica,2019.0,0.2,0.9998895637769188,15.998233020430702
Guinea,2019.0,0.4,0.9997791275538377,15.996466040861403
Estonia,2019.0,0.4,0.9997791275538377,15.996466040861403
Bulgaria,2019.0,0.4,0.9997791275538377,15.996466040861403
Bosnia and Herzegovina,2019.0,0.4,0.9997791275538377,15.996466040861403
Costa Rica,2019.0,0.4,0.9997791275538377,15.996466040861403
South Korea,2019.0,0.4,0.9997791275538377,15.996466040861403
Jamaica,2019.0,0.4,0.9997791275538377,15.996466040861403
Belarus,2019.0,0.4,0.9997791275538377,15.996466040861403
Lithuania,2019.0,0.4,0.9997791275538377,15.996466040861403
Latvia,2019.0,0.4,0.9997791275538377,15.996466040861403
Cambodia,2019.0,0.4,0.9997791275538377,15.996466040861403
