country,year,terror,norm_terror,norm_terror_withpts_log16
French Polynesia,2016,0.0,1.0,16.0
Barbados,2016,0.0,1.0,16.0
Zaire,2016,0.0,1.0,16.0
Yemen Arab Republic,2016,0.0,1.0,16.0
Luxembourg,2016,0.0,1.0,16.0
Andorra,2016,0.0,1.0,16.0
Macao,2016,0.0,1.0,16.0
Antigua and Barbuda,2016,0.0,1.0,16.0
Wallis and Futuna,2016,0.0,1.0,16.0
Martinique,2016,0.0,1.0,16.0
Mauritius,2016,0.0,1.0,16.0
Vatican,2016,0.0,1.0,16.0
Vanuatu,2016,0.0,1.0,16.0
Hong Kong,2016,0.0,1.0,16.0
Namibia,2016,0.0,1.0,16.0
New Hebrides,2016,0.0,1.0,16.0
Guadeloupe,2016,0.0,1.0,16.0
Grenada,2016,0.0,1.0,16.0
Gambia,2016,0.0,1.0,16.0
Solomon Islands,2016,0.0,1.0,16.0
North Korea,2016,0.0,1.0,16.0
Singapore,2016,0.0,1.0,16.0
Slovenia,2016,0.0,1.0,16.0
French Guiana,2016,0.0,1.0,16.0
Togo,2016,0.0,1.0,16.0
Fiji,2016,0.0,1.0,16.0
People's Republic of the Congo,2016,0.0,1.0,16.0
Falkland Islands,2016,0.0,1.0,16.0
Eswatini,2016,0.0,1.0,16.0
Brunei,2016,0.0,1.0,16.0
Suriname,2016,0.0,1.0,16.0
Botswana,2016,0.0,1.0,16.0
Romania,2016,0.0,1.0,16.0
Equatorial Guinea,2016,0.0,1.0,16.0
Saint Kitts and Nevis,2016,0.0,1.0,16.0
South Yemen,2016,0.0,1.0,16.0
Cuba,2016,0.0,1.0,16.0
East Timor,2016,0.0,1.0,16.0
Serbia and Montenegro,2016,0.0,1.0,16.0
Seychelles,2016,0.0,1.0,16.0
Rhodesia,2016,0.0,1.0,16.0
Dominica,2016,0.090909091,0.9999535790548145,15.999257264877032
Uzbekistan,2016,0.090909091,0.9999535790548145,15.999257264877032
Uruguay,2016,0.090909091,0.9999535790548145,15.999257264877032
Turkmenistan,2016,0.090909091,0.9999535790548145,15.999257264877032
Belize,2016,0.090909091,0.9999535790548145,15.999257264877032
Bahamas,2016,0.090909091,0.9999535790548145,15.999257264877032
Lesotho,2016,0.090909091,0.9999535790548145,15.999257264877032
Panama,2016,0.090909091,0.9999535790548145,15.999257264877032
El Salvador,2016,0.090909091,0.9999535790548145,15.999257264877032
Saint Lucia,2016,0.090909091,0.9999535790548145,15.999257264877032
Guinea-Bissau,2016,0.090909091,0.9999535790548145,15.999257264877032
Qatar,2016,0.090909091,0.9999535790548145,15.999257264877032
Latvia,2016,0.181818182,0.999907158109629,15.998514529754065
Iceland,2016,0.181818182,0.999907158109629,15.998514529754065
Costa Rica,2016,0.181818182,0.999907158109629,15.998514529754065
Lithuania,2016,0.181818182,0.999907158109629,15.998514529754065
Dominican Republic,2016,0.181818182,0.999907158109629,15.998514529754065
Bhutan,2016,0.181818182,0.999907158109629,15.998514529754065
Slovakia,2016,0.181818182,0.999907158109629,15.998514529754065
Moldova,2016,0.181818182,0.999907158109629,15.998514529754065
Portugal,2016,0.272727273,0.9998607371644436,15.997771794631097
Croatia,2016,0.272727273,0.9998607371644436,15.997771794631097
Comoros,2016,0.272727273,0.9998607371644436,15.997771794631097
United Arab Emirates,2016,0.272727273,0.9998607371644436,15.997771794631097
Benin,2016,0.272727273,0.9998607371644436,15.997771794631097
Zambia,2016,0.272727273,0.9998607371644436,15.997771794631097
Western Sahara,2016,0.272727273,0.9998607371644436,15.997771794631097
Jamaica,2016,0.272727273,0.9998607371644436,15.997771794631097
Morocco,2016,0.272727273,0.9998607371644436,15.997771794631097
Vietnam,2016,0.272727273,0.9998607371644436,15.997771794631097
Estonia,2016,0.363636364,0.9998143162192581,15.99702905950813
Hungary,2016,0.363636364,0.9998143162192581,15.99702905950813
Cambodia,2016,0.363636364,0.9998143162192581,15.99702905950813
Mauritania,2016,0.363636364,0.9998143162192581,15.99702905950813
Sierra Leone,2016,0.363636364,0.9998143162192581,15.99702905950813
South Korea,2016,0.363636364,0.9998143162192581,15.99702905950813
Kuwait,2016,0.363636364,0.9998143162192581,15.99702905950813
Gabon,2016,0.454545455,0.9997678952740726,15.996286324385162
Malta,2016,0.454545455,0.9997678952740726,15.996286324385162
Montenegro,2016,0.545454545,0.9997214743293977,15.995543589270364
Armenia,2016,0.545454545,0.9997214743293977,15.995543589270364
Madagascar,2016,0.545454545,0.9997214743293977,15.995543589270364
Poland,2016,0.545454545,0.9997214743293977,15.995543589270364
Belarus,2016,0.545454545,0.9997214743293977,15.995543589270364
Liberia,2016,0.545454545,0.9997214743293977,15.995543589270364
Serbia,2016,0.636363636,0.9996750533842123,15.994800854147396
Djibouti,2016,0.636363636,0.9996750533842123,15.994800854147396
Guinea,2016,0.636363636,0.9996750533842123,15.994800854147396
Trinidad and Tobago,2016,0.636363636,0.9996750533842123,15.994800854147396
Malawi,2016,0.727272727,0.9996286324390268,15.994058119024428
Laos,2016,0.727272727,0.9996286324390268,15.994058119024428
Eritrea,2016,0.727272727,0.9996286324390268,15.994058119024428
Guyana,2016,0.727272727,0.9996286324390268,15.994058119024428
Papua New Guinea,2016,0.727272727,0.9996286324390268,15.994058119024428
Azerbaijan,2016,0.727272727,0.9996286324390268,15.994058119024428
Macedonia,2016,0.818181818,0.9995822114938413,15.99331538390146
Norway,2016,0.818181818,0.9995822114938413,15.99331538390146
Taiwan,2016,0.818181818,0.9995822114938413,15.99331538390146
Angola,2016,0.909090909,0.9995357905486558,15.992572648778493
Denmark,2016,0.909090909,0.9995357905486558,15.992572648778493
Austria,2016,1.0,0.9994893696034703,15.991829913655526
Haiti,2016,1.090909091,0.9994429486582849,15.991087178532558
Switzerland,2016,1.181818182,0.9993965277130994,15.99034444340959
Zimbabwe,2016,1.181818182,0.9993965277130994,15.99034444340959
Bolivia,2016,1.181818182,0.9993965277130994,15.99034444340959
Honduras,2016,1.181818182,0.9993965277130994,15.99034444340959
Bulgaria,2016,1.181818182,0.9993965277130994,15.99034444340959
Albania,2016,1.181818182,0.9993965277130994,15.99034444340959
Guatemala,2016,1.181818182,0.9993965277130994,15.99034444340959
