country,year,male_unemploy,female_unemploy,m_f_unemploy,norm_unemploy,unemploy_norm_withpts,unemploy_norm_withpts_log5
Afghanistan,2023,13.483,27.288,40.771,0.462481164,2.31240582,7.399698622
Albania,2023,11.712,11.422,23.134,0.697675659,3.488378295,11.16281055
Algeria,2023,9.647,20.744,30.391,0.600901466,3.004507328,9.614423449
Angola,2023,14.492,14.749,29.241,0.616237048,3.081185241,9.85979277
Argentina,2023,5.714,6.8,12.514,0.83929643,4.196482151,13.42874288
Armenia,2023,11.328,6.058,17.386,0.774326901,3.871634506,12.38923042
Australia,2023,3.763,3.56,7.323,0.908519916,4.542599581,14.53631866
Austria,2023,5.477,4.979,10.456,0.866740455,4.333702276,13.86784728
Azerbaijan,2023,4.781,6.501,11.282,0.855725506,4.278627532,13.6916081
Bahamas,2023,9.165,9.234,18.399,0.760818253,3.804091267,12.17309205
Bahrain,2023,0.426,3.798,4.224,0.949845977,4.749229887,15.19753564
Bangladesh,2023,3.875,7.529,11.404,0.854098601,4.270493006,13.66557762
Barbados,2023,8.964,6.929,15.893,0.794236488,3.97118244,12.70778381
Belarus,2023,4.247,2.908,7.155,0.910760245,4.553801224,14.57216392
Belgium,2023,5.946,5.01,10.956,0.860072811,4.300364053,13.76116497
Belize,2023,5.372,12.686,18.058,0.765365587,3.826827935,12.24584939
Benin,2023,1.217,1.733,2.95,0.966835136,4.834175679,15.46936217
Bhutan,2023,4.143,7.62,11.763,0.849311232,4.246556162,13.58897972
Bolivia,2023,2.677,3.629,6.306,0.922081905,4.610409527,14.75331049
Bosnia and Herzegovina,2023,8.984,12.449,21.433,0.720358986,3.60179493,11.52574378
Botswana,2023,20.097,27.012,47.109,0.377962101,1.889810506,6.047393618
Brazil,2023,6.607,9.694,16.301,0.78879569,3.94397845,12.62073104
Brunei,2023,4.753,5.993,10.746,0.862873221,4.314366107,13.80597154
Bulgaria,2023,4.398,4.177,8.575,0.891824134,4.459120671,14.26918615
Burkina Faso,2023,4.952,5.709,10.661,0.864006721,4.320033605,13.82410754
Burundi,2023,1.04,0.823,1.863,0.981330595,4.906652976,15.70128952
Cambodia,2023,0.215,0.266,0.481,0.999759965,4.998799824,15.99615944
Cameroon,2023,3.163,4.186,7.349,0.908173199,4.540865994,14.53077118
Canada,2023,5.529,5.186,10.715,0.863286615,4.316433077,13.81258585
Cape Verde,2023,12.452,11.428,23.88,0.687727533,3.438637667,11.00364053
Central African Republic,2023,5.535,7.192,12.727,0.836456014,4.182280068,13.38329622
Chad,2023,1.312,0.744,2.056,0.978756884,4.893784422,15.66011015
Chile,2023,8.786,9.374,18.16,0.764005387,3.820026937,12.2240862
China,2023,5.174,4.058,9.232,0.883062849,4.415314246,14.12900559
Colombia,2023,7.93,11.863,19.793,0.74222886,3.711144301,11.87566176
Comoros,2023,5.312,6.603,11.915,0.847284268,4.236421342,13.55654829
Congo,2023,18.741,21.383,40.124,0.471109096,2.35554548,7.537745536
Costa Rica,2023,7.109,10.167,17.276,0.775793783,3.878968915,12.41270053
Cote d'Ivoire,2023,1.93,3.021,4.951,0.940151222,4.700756111,15.04241955
Croatia,2023,5.572,6.613,12.185,0.84368374,4.218418701,13.49893984
Cuba,2023,1.154,1.178,2.332,0.975076345,4.875381723,15.60122151
Cyprus,2023,6.045,5.869,11.914,0.847297604,4.236488018,13.55676166
Czechia,2023,2.229,3.054,5.283,0.935723906,4.678619531,14.9715825
Democratic Republic of Congo,2023,5.359,3.676,9.035,0.885689901,4.428449506,14.17103842
Denmark,2023,5.001,5.299,10.3,0.86882076,4.344103802,13.90113217
Djibouti,2023,22.16,36.15,58.31,0.228593527,1.142967635,3.657496433
Dominican Republic,2023,3.541,8.503,12.044,0.845564016,4.22782008,13.52902426
East Timor,2023,1.509,1.54,3.049,0.965514942,4.827574711,15.44823908
Ecuador,2023,2.838,4.126,6.964,0.913307285,4.566536425,14.61291656
Egypt,2023,4.877,17.939,22.816,0.701916281,3.509581405,11.2306605
El Salvador,2023,2.546,3.061,5.607,0.931403272,4.657016362,14.90245236
Equatorial Guinea,2023,7.834,9.798,17.632,0.77104642,3.855232101,12.33674272
Eritrea,2023,5.12,6.714,11.834,0.848364427,4.241822134,13.57383083
Estonia,2023,6.112,6.583,12.695,0.836882743,4.184413714,13.39012388
Eswatini,2023,36.098,39.354,75.452,0,0,0
Ethiopia,2023,2.444,4.694,7.138,0.910986945,4.554934724,14.57579112
Fiji,2023,3.709,5.537,9.246,0.882876155,4.414380776,14.12601848
Finland,2023,7.842,6.423,14.265,0.815946339,4.079731694,13.05514142
France,2023,7.467,7.173,14.64,0.810945605,4.054728027,12.97512969
French Polynesia,2023,10.952,12.717,23.669,0.690541279,3.452706397,11.04866047
Gabon,2023,14.618,29.038,43.656,0.424008855,2.120044273,6.784141674
