country,index,year,1_yr_all_hepB,1_yr_1stpolio,1_yr_1stmeasles,1_yr_1rubella,1_yr_dtap,all_vac_avg,norm,norm_vac_withpts_log16
Albania,112.0,2018,98.27272727,98.55555556,92.90909091,92.90909091,98.27272727,96.183838384,0.9508107059084248,15.212971294534796
Algeria,146.0,2018,89.27272727,82.66666667,87.63636364,83.57142857,89.09090909,86.447619048,0.78075024008231,12.49200384131696
Andorra,196.0,2018,96.36363636,99.0,97.72727273,97.72727273,98.09090909,97.78181818199998,0.9787222780957708,15.659556449532333
Angola,213.0,2018,54.09090909,40.83333333,47.36363636,44.66666667,54.09090909,48.209090908,0.11284602761773914,1.8055364418838262
Antigua and Barbuda,260.0,2018,96.54545455,86.88888889,93.0,93.0,96.18181818,93.123232324,0.8973517528680688,14.3576280458891
Argentina,303.0,2018,84.90909091,82.0,87.72727273,87.72727273,84.90909091,85.454545456,0.7634044355326236,12.214470968521978
Armenia,349.0,2018,93.54545455,84.75,95.72727273,95.72727273,93.18181818,92.586363638,0.8879743820757912,14.207590113212659
Australia,380.0,2018,93.81818182,97.88888889,93.90909091,93.90909091,93.90909091,94.686868688,0.9246634556212383,14.794615289939813
Austria,425.0,2018,88.36363636,93.25,95.27272727,95.27272727,88.36363636,92.104545452,0.8795585666214614,14.072937065943382
Azerbaijan,467.0,2018,90.72727273,90.5,95.27272727,95.27272727,90.72727273,92.5,0.8864658868373559,14.183454189397695
Bahamas,500.0,2018,90.72727273,88.22222222,87.63636364,87.63636364,90.72727273,88.989898992,0.825155701444343,13.202491223109488
Bahrain,553.0,2018,98.36363636,98.55555556,99.0,99.0,98.36363636,98.656565656,0.9940013055883639,15.904020889413822
Bangladesh,586.0,2018,97.72727273,75.44444444,96.18181818,96.18181818,97.72727273,92.652525252,0.8891300128713143,14.22608020594103
Barbados,631.0,2018,90.18181818,90.5,89.0,89.0,90.18181818,89.772727272,0.8388291959871798,13.421267135794876
Belarus,676.0,2018,97.54545455,98.0,98.0,98.0,97.72727273,97.854545456,0.9799925898736676,15.67988143797868
Belgium,711.0,2018,97.27272727,99.0,96.0,96.0,98.09090909,97.272727272,0.9698300957902306,15.51728153264369
Belize,752.0,2018,90.18181818,80.0,91.18181818,91.18181818,90.18181818,88.545454544,0.8173926850976136,13.078282961561818
Benin,794.0,2018,72.63636364,60.66666667,60.27272727,53.8,72.63636364,64.002424244,0.3887048113384749,6.219276981415598
Bhutan,839.0,2018,97.81818182,83.0,96.54545455,96.54545455,97.72727273,94.32727272999999,0.9183824697460994,14.69411951593759
Bolivia,879.0,2018,78.54545455,81.75,82.0,82.0,78.54545455,80.56818181999999,0.678055364455169,10.848885831282704
Bosnia and Herzegovina,919.0,2018,80.90909091,81.44444444,69.90909091,69.90909091,77.45454545,75.925252524,0.5969583090554431,9.55133294488709
Botswana,960.0,2018,94.18181818,79.33333333,95.45454545,94.875,94.18181818,91.60530302800001,0.8708384057196141,13.933414491513826
Brazil,1005.0,2018,84.54545455,84.11111111,88.72727273,88.72727273,84.27272727,86.076767678,0.7742726583272173,12.388362533235476
Brunei,1053.0,2018,98.90909091,99.0,97.45454545,97.45454545,99.0,98.363636362,0.9888847721093409,15.822156353749454
Bulgaria,1095.0,2018,91.45454545,94.22222222,92.18181818,92.18181818,91.45454545,92.298989896,0.8829548862382218,14.12727817981155
Burkina Faso,1125.0,2018,91.18181818,84.0,88.27272727,86.77777778,91.18181818,88.282828282,0.8128054482130922,13.004887171409475
Burundi,1166.0,2018,92.72727273,63.88888889,91.18181818,89.28571429,92.72727273,85.962193364,0.7722714132301084,12.356342611681734
Cambodia,1207.0,2018,88.09090909,82.25,83.45454545,83.45454545,88.09090909,85.06818181599999,0.7566559042671324,12.106494468274118
Cameroon,1248.0,2018,72.72727273,64.0,67.36363636,65.14285714,72.72727273,68.392207792,0.46538022396895873,7.44608358350334
Canada,1293.0,2018,73.54545455,94.22222222,90.18181818,90.18181818,91.36363636,87.898989898,0.8061010250553656,12.89761640088585
Cape Verde,1331.0,2018,94.45454545,89.71428571,94.72727273,93.45454545,94.45454545,93.36103895800001,0.9015054706058203,14.424087529693125
Chile,1453.0,2018,94.63636364,98.625,93.45454545,93.45454545,94.63636364,94.96136363600002,0.929458000311824,14.871328004989184
China,1503.0,2018,98.81818182,99.0,98.81818182,98.09090909,98.81818182,98.70909091,0.9949187529932151,15.918700047891441
Colombia,1550.0,2018,90.0,91.55555556,91.81818182,91.81818182,90.18181818,91.074747476,0.8615713050919467,13.785140881471147
Comoros,1586.0,2018,77.36363636,71.0,75.36363636,58.0,77.36363636,71.81818181599999,0.5252209812817425,8.40353570050788
Congo,1622.0,2018,77.72727273,62.375,71.90909091,65.6,77.72727273,71.06772727399999,0.5121129519133044,8.19380723061287
Cook Islands,1683.0,2018,91.09090909,91.33333333,89.63636364,89.63636364,92.63636364,90.86666666800001,0.8579368020146474,13.726988832234358
Costa Rica,1720.0,2018,93.90909091,96.88888889,93.09090909,93.09090909,94.90909091,94.377777778,0.919264630643779,14.708234090300463
Cote d'Ivoire,1760.0,2018,77.81818182,55.33333333,67.54545455,67.5,77.81818182,69.20303030400001,0.4795426877893017,7.672683004628827
Croatia,1794.0,2018,92.54545455,98.0,91.45454545,91.45454545,93.45454545,93.38181818000001,0.901868416843048,14.429894669488768
Cuba,1840.0,2018,98.54545455,99.0,98.90909091,98.90909091,99.0,98.872727274,0.9977769544498151,15.964431271197041
