country,year,equal_rights,country_c,norm_equal_rights,equal_rights_log8
Luxembourg,2021.5,0.9788333333333333,Luxembourg,1.0,8.0
Denmark,2021.5,0.9780000000000001,Denmark,0.9990953500995116,7.9927628007960925
Japan,2021.5,0.9763333333333333,Japan,0.9972860502985345,7.978288402388276
Finland,2021.5,0.9696666666666666,Finland,0.9900488510946263,7.92039080875701
Austria,2021.5,0.9663333333333334,Austria,0.9864302514926724,7.891442011941379
Belgium,2021.5,0.961,Belgium,0.9806404921295458,7.845123937036367
Ireland,2021.5,0.9594999999999999,Ireland,0.9790121223086664,7.832096978469331
Latvia,2021.5,0.9578333333333333,Latvia,0.9772028225076895,7.817622580061516
Germany,2021.5,0.9575,Germany,0.9768409625474941,7.814727700379953
Switzerland,2021.5,0.956,Switzerland,0.9752125927266148,7.801700741812918
Norway,2021.5,0.9556666666666667,Norway,0.9748507327664194,7.798805862131355
Czechia,2021.5,0.9521666666666667,Czechia,0.9710512031843677,7.768409625474941
Sweden,2021.5,0.9491666666666667,Sweden,0.9677944635426091,7.742355708340873
Netherlands,2021.5,0.9226666666666667,Netherlands,0.9390265967070744,7.512212773656596
Italy,2021.5,0.9205000000000001,Italy,0.9366745069658043,7.493396055726435
Costa Rica,2021.5,0.916,Costa Rica,0.9317893975031664,7.454315180025331
Taiwan,2021.5,0.915,Taiwan,0.9307038176225801,7.445630540980641
Poland,2021.5,0.9146666666666667,Poland,0.9303419576623847,7.442735661299078
Estonia,2021.5,0.904,Estonia,0.9187624389361317,7.350099511489054
Seychelles,2021.5,0.902,Seychelles,0.9165912791749593,7.3327302333996744
Armenia,2021.5,0.8986666666666667,Armenia,0.9129726795730053,7.3037814365840426
Tunisia,2021.5,0.8969999999999999,Tunisia,0.9111633797720281,7.289307038176225
Iceland,2021.5,0.8955000000000001,Iceland,0.909535009951149,7.276280079609192
New Zealand,2021.5,0.895,New Zealand,0.9089922200108558,7.271937760086846
Cyprus,2021.5,0.8913333333333333,Cyprus,0.9050117604487063,7.240094083589651
Malta,2021.5,0.8855,Malta,0.8986792111452867,7.189433689162294
Australia,2021.5,0.8806666666666666,Australia,0.8934322417224534,7.147457933779627
Slovenia,2021.5,0.8781666666666667,Slovenia,0.8907182920209878,7.125746336167903
