country,code,gov_edu,time,norm_gov_edu,gov_edu_pts
Kiribati,KIR,13.219,2013,1,8
Micronesia (country),FSM,12.344,2013,0.931019767,7.448158132
Cuba,CUB,10.671696,2013,0.799184429,6.393475432
Namibia,NAM,8.595417,2013,0.635501903,5.084015224
Denmark,DNK,8.49443,2013,0.627540638,5.020325105
Botswana,BWA,8.017206,2013,0.589918898,4.719351181
Sweden,SWE,7.61121,2013,0.557912385,4.463299077
Malta,MLT,7.57924,2013,0.555392044,4.443136351
Iceland,ISL,7.44869,2013,0.545100193,4.360801545
Norway,NOR,7.43906,2013,0.544341016,4.354728131
Lesotho,LSO,7.29,2013,0.532589938,4.260719504
Finland,FIN,7.12404,2013,0.519506556,4.156052445
Latvia,LVA,6.99697,2013,0.509489049,4.075912392
Bolivia,BOL,6.80322,2013,0.494214854,3.953718836
Kyrgyzstan,KGZ,6.7801986,2013,0.492399973,3.939199782
Costa Rica,CRI,6.6874,2013,0.485084237,3.880673893
Sao Tome and Principe,STP,6.68509,2013,0.484902129,3.87921703
Algeria,DZA,6.6590605,2013,0.482850105,3.862800838
Belgium,BEL,6.63053,2013,0.480600916,3.844807325
Puerto Rico,PRI,6.48108,2013,0.468819092,3.750552734
Cyprus,CYP,6.46747,2013,0.467746153,3.741969228
Ukraine,UKR,6.4199,2013,0.463995994,3.71196795
Jamaica,JAM,6.25108,2013,0.450687145,3.605497157
United States,USA,6.229258,2013,0.448966817,3.591734536
Mozambique,MOZ,6.03577,2013,0.433713277,3.469706217
Zimbabwe,ZWE,5.99598,2013,0.43057645,3.444611602
Burundi,BDI,5.9954,2013,0.430530726,3.44424581
Moldova,MDA,5.909755,2013,0.423778941,3.390231528
New Zealand,NZL,5.88856,2013,0.422108043,3.376864341
Honduras,HND,5.87493,2013,0.421033528,3.368268221
Brazil,BRA,5.83885,2013,0.418189177,3.345513416
Israel,ISR,5.78415,2013,0.413876927,3.311015416
Uzbekistan,UZB,5.74191,2013,0.410546956,3.284375644
Senegal,SEN,5.68656,2013,0.406183463,3.249467704
East Timor,TLS,5.6805573,2013,0.405710243,3.245681943
Austria,AUT,5.54711,2013,0.395189985,3.161519877
Netherlands,NLD,5.52656,2013,0.393569935,3.148559477
United Kingdom,GBR,5.5253,2013,0.393470603,3.147764825
Australia,AUS,5.519627,2013,0.393023375,3.144186997
France,FRA,5.4928937,2013,0.390915867,3.127326935
Malaysia,MYS,5.4812,2013,0.389993999,3.119951994
Argentina,ARG,5.43661,2013,0.386478767,3.091830133
Slovenia,SVN,5.40573,2013,0.384044356,3.072354845
South Africa,ZAF,5.35072,2013,0.379707667,3.037661335
Ireland,IRL,5.34579,2013,0.379319013,3.0345521
Tajikistan,TJK,5.2939763,2013,0.375234303,3.001874422
Portugal,PRT,5.27097,2013,0.373420611,2.987364891
Bhutan,BTN,5.25527,2013,0.372182909,2.977463271
Mongolia,MNG,5.24104,2013,0.371061093,2.968488745
Belize,BLZ,5.15144,2013,0.363997517,2.911980138
Barbados,BRB,5.13486,2013,0.36269044,2.901523523
Eswatini,SWZ,5.0846105,2013,0.358729044,2.869832348
Poland,POL,5.02124,2013,0.353733259,2.829866068
Belarus,BLR,5.00942,2013,0.352801434,2.822411473
Germany,DEU,4.93539,2013,0.346965312,2.775722497
Ecuador,ECU,4.92998,2013,0.346538817,2.772310538
Switzerland,CHE,4.91393,2013,0.345273523,2.762188182
Palestine,PSE,4.89467,2013,0.343755169,2.750041354
Estonia,EST,4.84388,2013,0.339751162,2.718009298
Kenya,KEN,4.83721,2013,0.339225336,2.713802687
Ethiopia,ETH,4.8244643,2013,0.338220534,2.705764274
Rwanda,RWA,4.74215,2013,0.331731323,2.653850586
Luxembourg,LUX,4.686608,2013,0.327352695,2.618821556
Djibouti,DJI,4.6478252,2013,0.32429527,2.594362159
Tanzania,TZA,4.6376944,2013,0.323496613,2.587972902
Samoa,WSM,4.6148605,2013,0.321696512,2.5735721
Lithuania,LTU,4.60233,2013,0.320708676,2.565669409
Canada,CAN,4.58901,2013,0.3196586,2.557268799
Ghana,GHA,4.57647,2013,0.318670015,2.549360117
Cape Verde,CPV,4.56157,2013,0.31749538,2.539963038
Chile,CHL,4.54814,2013,0.316436632,2.531493054
Vietnam,VNM,4.52834,2013,0.314875708,2.519005661
Croatia,HRV,4.52116,2013,0.314309675,2.514477404
Mexico,MEX,4.50858,2013,0.313317937,2.506543495
Greece,GRC,4.495119,2013,0.312256745,2.498053959
Dominica,DMA,4.464483,2013,0.30984157,2.478732556
Oman,OMN,4.35384,2013,0.301119078,2.408952625
Fiji,FJI,4.351394,2013,0.300926249,2.407409991
Spain,ESP,4.34962,2013,0.300786396,2.406291171
Turkey,TUR,4.34481,2013,0.300407202,2.403257617
Uruguay,URY,4.23892,2013,0.292059411,2.336475291
Hungary,HUN,4.18922,2013,0.288141334,2.305130673
Italy,ITA,4.14367,2013,0.28455042,2.276403362
China,CHN,4.129804,2013,0.2834573,2.267658403
Egypt,EGY,4.122526,2013,0.282883542,2.26306834
Burkina Faso,BFA,4.08344,2013,0.279802215,2.238417721
Qatar,QAT,4.07384,2013,0.279045403,2.232363228
Slovakia,SVK,4.06895,2013,0.278659902,2.22927922
Bulgaria,BGR,4.05766,2013,0.27776986,2.222158883
Czechia,CZE,4.04676,2013,0.276910564,2.21528451
Maldives,MDV,3.9545004,2013,0.269637319,2.157098556
Malawi,MWI,3.9211698,2013,0.267009717,2.136077732
Saint Lucia,LCA,3.87661,2013,0.263496865,2.107974917
Angola,AGO,3.87,2013,0.262975768,2.103806146
India,IND,3.84467,2013,0.260978889,2.087831112
Thailand,THA,3.8243985,2013,0.259380794,2.075046355
El Salvador,SLV,3.80149,2013,0.257574813,2.060598504
Trinidad and Tobago,TTO,3.7727866,2013,0.255311993,2.042495947
Russia,RUS,3.76383,2013,0.254605904,2.03684723
Zambia,ZMB,3.7182071,2013,0.251009243,2.008073943
Niger,NER,3.68953,2013,0.248748497,1.989987972
Dominican Republic,DOM,3.6281815,2013,0.243912115,1.95129692
Seychelles,SYC,3.6184,2013,0.243140995,1.945127959
Mauritius,MUS,3.56776,2013,0.239148813,1.913190505
Albania,ALB,3.5393,2013,0.236905182,1.895241454
Georgia,GEO,3.4732218,2013,0.231695936,1.853567491
Cote d'Ivoire,CIV,3.4586,2013,0.230543233,1.844345867
Afghanistan,AFG,3.45446,2013,0.230216858,1.841734866
Kazakhstan,KAZ,3.445649,2013,0.229522247,1.836177976
Japan,JPN,3.40875,2013,0.226613331,1.812906647
Indonesia,IDN,3.35904,2013,0.222694465,1.781555722
Benin,BEN,3.32751,2013,0.220208812,1.761670495
Peru,PER,3.29729,2013,0.217826432,1.742611453
Mali,MLI,3.28465,2013,0.216829963,1.734639703
San Marino,SMR,3.2672353,2013,0.215457083,1.723656663
Laos,LAO,3.23381,2013,0.212822014,1.702576114
Nepal,NPL,3.2026863,2013,0.210368391,1.68294713
Togo,TGO,3.17475,2013,0.208166046,1.665328365
Romania,ROU,3.068,2013,0.199750457,1.598003657
Gabon,GAB,3.02971,2013,0.196731882,1.573855057
Guatemala,GTM,2.88809,2013,0.185567333,1.484538662
Singapore,SGP,2.85435,2013,0.182907455,1.46325964
Iran,IRN,2.85279,2013,0.182784473,1.462275784
Chad,TCD,2.85071,2013,0.182620497,1.460963977
Saint Kitts and Nevis,KNA,2.8204825,2013,0.180237526,1.441900206
Paraguay,PRY,2.678712,2013,0.169061112,1.352488895
Cameroon,CMR,2.65548,2013,0.167229627,1.33783702
Armenia,ARM,2.65018,2013,0.166811804,1.334494435
Antigua and Barbuda,ATG,2.64729,2013,0.166583973,1.33267178
Central African Republic,CAF,2.6382143,2013,0.165868494,1.32694795
Guinea,GIN,2.63421,2013,0.165552817,1.324422532
Andorra,AND,2.50616,2013,0.155458052,1.243664417
Bahrain,BHR,2.47689,2013,0.153150565,1.225204518
Azerbaijan,AZE,2.44213,2013,0.150410276,1.203282206
Lebanon,LBN,2.43397,2013,0.149766986,1.198135886
Madagascar,MDG,2.4069006,2013,0.147632982,1.181063854
Bahamas,BHS,2.3859599,2013,0.145982131,1.167857048
Comoros,COM,2.38276,2013,0.145729868,1.165838947
Sierra Leone,SLE,2.3798132,2013,0.145497559,1.163980469
Mauritania,MRT,2.29354,2013,0.13869625,1.109569996
Pakistan,PAK,2.23699,2013,0.134238156,1.073905245
Democratic Republic of Congo,COD,2.06221,2013,0.120459453,0.96367562
Guinea-Bissau,GNB,2.01027,2013,0.116364786,0.930918287
Bangladesh,BGD,1.96616,2013,0.112887394,0.90309915
Uganda,UGA,1.87114,2013,0.105396535,0.843172276
Myanmar,MMR,1.8438118,2013,0.103242128,0.825937025
Gambia,GMB,1.81839,2013,0.101238012,0.809904095
Liberia,LBR,1.69078,2013,0.091177935,0.729423477
Sri Lanka,LKA,1.56459,2013,0.081229802,0.64983842
Cambodia,KHM,1.4820262,2013,0.074720922,0.597767378
Monaco,MCO,1.3344,2013,0.063082877,0.504663015
South Sudan,SSD,1.0245,2013,0.038652049,0.309216392
Nigeria,NGA,0.53420675,2013,0,0
