index,country,year,internet,norm_internet,norm_internet_log8
0,Gibraltar,2019.5,56.50425,1.0,8.0
1,Cayman Islands,2019.8,54.54792,0.965376825511587,7.723014604092696
2,Monaco,2020.0,53.90425714,0.9539852650317646,7.631882120254117
3,Andorra,2020.0,49.0497,0.8680691982525448,6.944553586020358
4,Switzerland,2020.0,46.96264286,0.8311324117566529,6.649059294053223
5,France,2020.0,46.32315714,0.8198147783990862,6.55851822719269
6,Liechtenstein,2020.0,46.31704286,0.8197065677274148,6.557652541819318
7,Saint Kitts and Nevis,2019.5,46.03216667,0.814664822196771,6.517318577574168
8,Denmark,2020.0,44.23521429,0.782862316586721,6.262898532693768
9,South Korea,2020.0,43.39328571,0.7679618447173934,6.143694757739147
10,Norway,2019.5,43.30381667,0.7663784195369633,6.131027356295706
11,Germany,2020.0,42.91968571,0.7595800607455112,6.07664048596409
12,Netherlands,2020.0,42.79784286,0.7574236831120262,6.05938946489621
13,Malta,2020.0,41.36261429,0.73202297402416,5.85618379219328
14,Belgium,2020.0,41.30824286,0.7310607071734371,5.848485657387497
15,Canada,2020.0,40.64005714,0.7192351405388582,5.753881124310865
16,United Kingdom,2020.0,40.44564286,0.7157943920253256,5.726355136202605
17,Sweden,2020.0,39.84355714,0.705138664749998,5.641109317999984
18,Greece,2020.0,39.82191429,0.7047556290801588,5.63804503264127
19,Portugal,2020.0,39.75731429,0.7036123367562912,5.62889869405033
20,Iceland,2020.0,38.40485714,0.6796765182121031,5.4374121456968245
21,Hong Kong,2020.0,38.15512857,0.6752568160893264,5.402054528714611
22,Luxembourg,2019.5,37.31438333,0.6603772869992328,5.2830182959938625
23,Cyprus,2020.0,36.88038571,0.6526963868827821,5.221571095062257
24,Barbados,2019.5,36.82808333,0.6517707381277666,5.214165905022133
27,Bermuda,2019.8,35.72672,0.6322787839330605,5.058230271464484
28,United States,2020.0,35.38952857,0.626311162050818,5.010489296406544
29,Estonia,2020.0,35.31241429,0.6249463917043078,4.999571133634462
30,Faeroe Islands,2019.5,35.14366667,0.6219598923449132,4.975679138759306
31,China,2020.0,35.10725714,0.6213155156240987,4.97052412499279
32,Czechia,2020.0,35.059,0.6204614596220275,4.96369167697622
33,Japan,2020.0,34.90078571,0.6176613793854466,4.941291035083573
34,Australia,2020.0,34.89982857,0.6176444398991483,4.941155519193186
35,New Zealand,2020.0,34.88994286,0.6174694823703716,4.939755858962973
36,Belarus,2020.0,34.30592857,0.6071335836894759,4.857068669515807
37,United Arab Emirates,2020.0,34.21984286,0.6056100367631961,4.844880294105569
39,Spain,2020.0,34.17105714,0.6047466259398162,4.83797300751853
40,Hungary,2020.0,33.71741429,0.5967180440794088,4.77374435263527
