Entity,Code,Year,Legal equality index,norm_lgbt,lgbt_log8
Malta,MLT,2025,100,1,8
Chile,CHL,2025,100,1,8
Germany,DEU,2025,100,1,8
Spain,ESP,2025,99.66,0.996583945,7.972671556
Colombia,COL,2025,97.73,0.977192806,7.81754245
Iceland,ISL,2025,97.62,0.976087612,7.808700894
Brazil,BRA,2025,96.57,0.965538029,7.72430423
Canada,CAN,2025,95.35,0.953280418,7.626243344
Portugal,PRT,2025,93.18,0.931477946,7.451823571
Uruguay,URY,2025,93.18,0.931477946,7.451823571
Denmark,DNK,2025,92.86,0.928262835,7.426102683
Greece,GRC,2025,91.82,0.917813725,7.342509796
Austria,AUT,2025,90.68,0.906359891,7.250879132
Netherlands,NLD,2025,90.46,0.904149503,7.233196021
France,FRA,2025,88.64,0.885863559,7.08690847
Australia,AUS,2025,87.73,0.876720587,7.013764694
Ecuador,ECU,2025,87.5,0.874409726,6.995277806
Argentina,ARG,2025,87.34,0.87280217,6.982417362
New Zealand,NZL,2025,87.05,0.869888476,6.959107807
Norway,NOR,2025,86.82,0.867577615,6.940620918
Belgium,BEL,2025,86.43,0.863659198,6.909273586
Bolivia,BOL,2025,85.24,0.851703004,6.813624033
Ireland,IRL,2025,85,0.849291671,6.794333367
Finland,FIN,2025,85,0.849291671,6.794333367
Andorra,AND,2025,84.21,0.841354366,6.730834924
Slovenia,SVN,2025,83.64,0.835627449,6.685019592
South Africa,ZAF,2025,83.64,0.835627449,6.685019592
Costa Rica,CRI,2025,83.33,0.83251281,6.660102482
Cuba,CUB,2025,82.79,0.82708731,6.616698483
Nepal,NPL,2025,82.58,0.824977394,6.59981915
United Kingdom,GBR,2025,81.59,0.815030644,6.520245152
Luxembourg,LUX,2025,81.31,0.812217422,6.497739375
United States,USA,2025,81.11,0.810207977,6.48166382
Estonia,EST,2025,80.48,0.803878228,6.431025821
Sweden,SWE,2025,80.46,0.803677283,6.429418266
Mexico,MEX,2025,80.16,0.800663117,6.405304933
Croatia,HRV,2025,78.64,0.785391339,6.283130714
Cyprus,CYP,2025,76.84,0.76730634,6.138450718
Israel,ISR,2025,76.36,0.762483673,6.099869386
Switzerland,CHE,2025,75.91,0.757962423,6.063699387
Czechia,CZE,2025,75.46,0.753441174,6.027529388
Italy,ITA,2025,75.04,0.74922134,5.993770722
Taiwan,TWN,2025,72.96,0.728323119,5.826584949
Thailand,THA,2025,69.05,0.689038481,5.512307847
Liechtenstein,LIE,2025,68.57,0.684215814,5.473726515
Montenegro,MNE,2025,67.73,0.675776148,5.406209183
Peru,PER,2025,66.5,0.663418065,5.307344519
Slovakia,SVK,2025,65.8,0.65638501,5.251080076
San Marino,SMR,2025,63.64,0.63468301,5.077464081
Mongolia,MNG,2025,63.42,0.632472621,5.059780971
Moldova,MDA,2025,62.52,0.623430122,4.987440973
Albania,ALB,2025,62.27,0.620918316,4.967346529
Serbia,SRB,2025,62.27,0.620918316,4.967346529
Suriname,SUR,2025,62.11,0.619310761,4.954486085
Latvia,LVA,2025,61.86,0.616798955,4.934391641
Hungary,HUN,2025,61.36,0.611775344,4.894202753
India,IND,2025,61.16,0.6097659,4.878127198
North Macedonia,MKD,2025,60.91,0.607254094,4.858032754
Honduras,HND,2025,60,0.598111122,4.784888978
South Korea,KOR,2025,60,0.598111122,4.784888978
Fiji,FJI,2025,59.76,0.595699789,4.765598312
Bosnia and Herzegovina,BIH,2025,59.7,0.595096956,4.760775646
Botswana,BWA,2025,58.97,0.587762484,4.702099869
Lithuania,LTU,2025,58.18,0.579825178,4.638601427
Japan,JPN,2025,58,0.578016678,4.624133427
Ukraine,UKR,2025,57.27,0.570682206,4.565457651
Marshall Islands,MHL,2025,56.76,0.565558123,4.524464985
Romania,ROU,2025,55.46,0.552496735,4.419973877
Poland,POL,2025,55,0.547875013,4.3830001
Philippines,PHL,2025,54.75,0.545363207,4.362905657
Monaco,MCO,2025,54.6,0.543856124,4.35084899
Lesotho,LSO,2025,54.5,0.542851402,4.342811213
Bhutan,BTN,2025,54.05,0.538330152,4.306641214
Belize,BLZ,2025,53.14,0.52918718,4.233497438
Micronesia (country),FSM,2025,53.14,0.52918718,4.233497438
Sao Tome and Principe,STP,2025,52.94,0.527177735,4.217421883
Vietnam,VNM,2025,52.27,0.520446097,4.163568773
Seychelles,SYC,2025,51.43,0.51200643,4.096051442
Mauritius,MUS,2025,51.28,0.510499347,4.083994775
Bulgaria,BGR,2025,50.7,0.504671958,4.037375666
Cape Verde,CPV,2025,49.47,0.492313875,3.938511002
Namibia,NAM,2025,49.05,0.488094042,3.904752336
Bahamas,BHS,2025,48.72,0.484778459,3.87822767
East Timor,TLS,2025,48.72,0.484778459,3.87822767
Venezuela,VEN,2025,48.64,0.483974681,3.871797448
Congo,COG,2025,48.49,0.482467598,3.859740782
Nauru,NRU,2025,48.44,0.481965237,3.855721893
Guatemala,GTM,2025,48.29,0.480458153,3.843665227
Mozambique,MOZ,2025,48.21,0.479654376,3.837235005
Antigua and Barbuda,ATG,2025,48,0.477544459,3.820355672
Dominica,DMA,2025,47.43,0.471817542,3.77454034
Saint Kitts and Nevis,KNA,2025,47.43,0.471817542,3.77454034
Laos,LAO,2025,47.27,0.470209987,3.761679896
Guinea-Bissau,GNB,2025,46.86,0.466090626,3.728725008
