country,year,lgbt_eindex,country_c,norm_lgbt_eindex,lgbt_eindex_log8
Germany,2025,100.0,Germany,1.0,8.0
Malta,2025,100.0,Malta,1.0,8.0
Chile,2025,100.0,Chile,1.0,8.0
Spain,2025,99.66,Spain,0.9965839445393349,7.972671556314679
Colombia,2025,97.73,Colombia,0.9771928061890888,7.81754244951271
Iceland,2025,97.62,Iceland,0.9760876117753442,7.808700894202754
Brazil,2025,96.57,Brazil,0.9655380287350547,7.724304229880437
Canada,2025,95.35,Canada,0.9532804179644327,7.626243343715462
Uruguay,2025,93.18,Uruguay,0.9314779463478349,7.451823570782679
Portugal,2025,93.18,Portugal,0.9314779463478349,7.451823570782679
Denmark,2025,92.86,Denmark,0.9282628353260324,7.426102682608259
Greece,2025,91.82,Greece,0.9178137245051743,7.342509796041394
Austria,2025,90.68,Austria,0.9063598914900031,7.2508791319200245
Netherlands,2025,90.46,Netherlands,0.9041495026625137,7.23319602130011
France,2025,88.64,France,0.8858635587260123,7.086908469808098
Australia,2025,87.73,Australia,0.8767205867577615,7.013764694062092
Ecuador,2025,87.5,Ecuador,0.874409725710841,6.995277805686728
Argentina,2025,87.34,Argentina,0.8728021701999398,6.982417361599518
New Zealand,2025,87.05,New Zealand,0.8698884758364313,6.95910780669145
Norway,2025,86.82,Norway,0.8675776147895107,6.940620918316085
Belgium,2025,86.43,Belgium,0.863659198231689,6.909273585853512
Bolivia,2025,85.24,Bolivia,0.851703004119361,6.813624032954888
Ireland,2025,85.0,Ireland,0.8492916708530092,6.794333366824073
Finland,2025,85.0,Finland,0.8492916708530092,6.794333366824073
Andorra,2025,84.21,Andorra,0.8413543655179342,6.7308349241434735
South Africa,2025,83.64,South Africa,0.8356274490103487,6.6850195920827895
Slovenia,2025,83.64,Slovenia,0.8356274490103487,6.6850195920827895
Costa Rica,2025,83.33,Costa Rica,0.8325128102079775,6.66010248166382
Cuba,2025,82.79,Cuba,0.8270873103586859,6.616698482869487
Nepal,2025,82.58,Nepal,0.824977393750628,6.599819150005024
United Kingdom,2025,81.59,United Kingdom,0.8150306440269266,6.520245152215413
Luxembourg,2025,81.31,Luxembourg,0.8122174218828494,6.497739375062795
United States,2025,81.11,United States,0.8102079774942228,6.481663819953782
Estonia,2025,80.48,Estonia,0.8038782276700492,6.431025821360394
Sweden,2025,80.46,Sweden,0.8036772832311865,6.429418265849492
Mexico,2025,80.16,Mexico,0.8006631166482467,6.405304933185974
Croatia,2025,78.64,Croatia,0.7853913392946851,6.283130714357481
Cyprus,2025,76.84,Cyprus,0.7673063397970461,6.138450718376369
Israel,2025,76.36,Israel,0.7624836732643424,6.099869386114739
Switzerland,2025,75.91,Switzerland,0.7579624233899327,6.0636993871194615
Czechia,2025,75.46,Czechia,0.7534411735155229,6.027529388124183
Italy,2025,75.04,Italy,0.7492213402994072,5.993770722395258
Taiwan,2025,72.96,Taiwan,0.7283231186576911,5.8265849492615285
Thailand,2025,69.05,Thailand,0.6890384808600422,5.512307846880337
Liechtenstein,2025,68.57,Liechtenstein,0.6842158143273385,5.473726514618708
Montenegro,2025,67.73,Montenegro,0.6757761478951071,5.406209183160857
Peru,2025,66.5,Peru,0.6634180649050537,5.30734451924043
Slovakia,2025,65.8,Slovakia,0.6563850095448608,5.251080076358886
San Marino,2025,63.64,San Marino,0.6346830101476941,5.077464081181553
Mongolia,2025,63.42,Mongolia,0.632472621320205,5.05978097056164
Moldova,2025,62.52,Moldova,0.6234301215713856,4.987440972571084
Albania,2025,62.27,Albania,0.6209183160856023,4.967346528684819
Serbia,2025,62.27,Serbia,0.6209183160856023,4.967346528684819
Suriname,2025,62.11,Suriname,0.6193107605747011,4.954486084597609
Latvia,2025,61.86,Latvia,0.6167989550889179,4.934391640711343
Hungary,2025,61.36,Hungary,0.6117753441173516,4.894202752938813
India,2025,61.16,India,0.609765899728725,4.8781271978298
North Macedonia,2025,60.91,North Macedonia,0.6072540942429417,4.858032753943534
Honduras,2025,60.0,Honduras,0.5981111222746911,4.784888978197529
South Korea,2025,60.0,South Korea,0.5981111222746911,4.784888978197529
Fiji,2025,59.76,Fiji,0.5956997890083392,4.765598312066714
Bosnia and Herzegovina,2025,59.7,Bosnia and Herzegovina,0.5950969556917513,4.76077564553401
Botswana,2025,58.97,Botswana,0.5877624836732643,4.702099869386115
Lithuania,2025,58.18,Lithuania,0.5798251783381895,4.638601426705516
Japan,2025,58.0,Japan,0.5780166783884256,4.624133427107405
Ukraine,2025,57.27,Ukraine,0.5706822063699387,4.56545765095951
Marshall Islands,2025,56.76,Marshall Islands,0.565558123178941,4.524464985431528
Romania,2025,55.46,Romania,0.5524967346528685,4.419973877222948
Poland,2025,55.0,Poland,0.5478750125590275,4.38300010047222
Philippines,2025,54.75,Philippines,0.5453632070732443,4.362905656585954
Monaco,2025,54.6,Monaco,0.5438561237817744,4.350848990254195
Lesotho,2025,54.5,Lesotho,0.542851401587461,4.342811212699688
Bhutan,2025,54.05,Bhutan,0.5383301517130513,4.3066412137044106
Micronesia (country),2025,53.14,"Micronesia, Fed. Sts.",0.5291871797448006,4.2334974379584045
Belize,2025,53.14,Belize,0.5291871797448006,4.2334974379584045
Sao Tome and Principe,2025,52.94,Sao Tome and Principe,0.527177735356174,4.217421882849392
Vietnam,2025,52.27,Vietnam,0.5204460966542751,4.163568773234201
Seychelles,2025,51.43,Seychelles,0.5120064302220436,4.096051441776349
Mauritius,2025,51.28,Mauritius,0.5104993469305737,4.08399477544459
Bulgaria,2025,50.7,Bulgaria,0.5046719582035567,4.037375665628454
Cape Verde,2025,49.47,Cabo Verde,0.49231387521350345,3.9385110017080276
Namibia,2025,49.05,Namibia,0.4880940419973877,3.9047523359791017
East Timor,2025,48.72,Timor-Leste,0.48477845875615394,3.8782276700492315
Bahamas,2025,48.72,Bahamas,0.48477845875615394,3.8782276700492315
Venezuela,2025,48.64,Venezuela,0.48397468100070334,3.8717974480056268
Congo,2025,48.49,Congo Republic,0.4824675977092334,3.8597407816738674
Nauru,2025,48.44,Nauru,0.48196523661207674,3.855721892896614
Guatemala,2025,48.29,Guatemala,0.4804581533206069,3.843665226564855
Mozambique,2025,48.21,Mozambique,0.4796543755651562,3.8372350045212498
Antigua and Barbuda,2025,48.0,Antigua and Barbuda,0.47754445895709835,3.820355671656787
Saint Kitts and Nevis,2025,47.43,St. Kitts and Nevis,0.47181754244951274,3.774540339596102
Dominica,2025,47.43,Dominica,0.47181754244951274,3.774540339596102
Laos,2025,47.27,Laos,0.4702099869386115,3.761679895508892
Guinea-Bissau,2025,46.86,Guinea-Bissau,0.4660906259419271,3.7287250075354166
Singapore,2025,46.67,Singapore,0.46418165377273185,3.713453230181855
Angola,2025,46.19,Angola,0.4593589872400281,3.674871897920225
Georgia,2025,45.58,Georgia,0.45323018185471714,3.625841454837737
Gabon,2025,45.56,Gabon,0.45302923741585455,3.6242338993268364
El Salvador,2025,45.41,El Salvador,0.45152215412438457,3.6121772329950765
Cambodia,2025,45.0,Cambodia,0.4474027931277002,3.5792223450216016
Vanuatu,2025,44.87,Vanuatu,0.44609665427509293,3.5687732342007434
Panama,2025,44.0,Panama,0.43735557118456747,3.4988445694765398
Barbados,2025,43.9,Barbados,0.43635084899025417,3.4908067919220334
Palau,2025,43.75,Palau,0.4348437656987843,3.4787501255902744
Dominican Republic,2025,43.5,Dominican Republic,0.43233196021300113,3.458655681704009
Armenia,2025,43.18,Armenia,0.42911684919119863,3.432934793529589
Equatorial Guinea,2025,42.93,Equatorial Guinea,0.42660504370541547,3.4128403496433237
Haiti,2025,42.5,Haiti,0.4222847382698684,3.378277906158947
China,2025,42.38,China,0.4210790716366925,3.36863257309354
Nicaragua,2025,42.11,Nicaragua,0.41836632171204663,3.346930573696373
Benin,2025,41.91,Benin,0.41635687732342,3.33085501858736
Madagascar,2025,40.0,Madagascar,0.3971666834120366,3.1773334672962927
Rwanda,2025,39.0,Rwanda,0.38711946146890386,3.096955691751231
Niger,2025,38.97,Niger,0.3868180448106099,3.094544358484879
Paraguay,2025,38.57,Paraguay,0.3827991560333568,3.0623932482668543
Kazakhstan,2025,38.52,Kazakhstan,0.38229679493620017,3.0583743594896013
Belarus,2025,37.73,Belarus,0.37435948960112525,2.994875916809002
Djibouti,2025,37.3,Djibouti,0.3700391841655782,2.9603134733246255
Central African Republic,2025,35.9,Central African Republic,0.3559730734451924,2.8477845875615393
North Korea,2025,35.88,North Korea,0.35577212900632976,2.846177032050638
Eswatini,2025,35.86,Eswatini,0.3555711845674671,2.844569476539737
Turkey,2025,35.46,Türkiye,0.351552295790214,2.812418366321712
Indonesia,2025,35.39,Indonesia,0.35084899025419475,2.806791922033558
Tajikistan,2025,35.12,Tajikistan,0.3481362403295489,2.785089922636391
Jordan,2025,35.12,Jordan,0.3481362403295489,2.785089922636391
Kyrgyzstan,2025,33.85,Kyrgyz Republic,0.3353762684617703,2.6830101476941626
Cote d'Ivoire,2025,33.33,Cote d'Ivoire,0.3301517130513413,2.6412137044107302
Russia,2025,31.55,Russia,0.31226765799256506,2.4981412639405205
Bahrain,2025,31.11,Bahrain,0.30784688033758667,2.4627750427006934
Pakistan,2025,30.93,Pakistan,0.3060383803878228,2.448307043102582
Democratic Republic of Congo,2025,30.53,DR Congo,0.3020194916105697,2.4161559328845574
Azerbaijan,2025,29.76,Azerbaijan,0.2942831307143575,2.35426504571486
Burkina Faso,2025,29.47,Burkina Faso,0.291369436350849,2.330955490806792
Trinidad and Tobago,2025,29.29,Trinidad and Tobago,0.2895609364010851,2.316487491208681
Kiribati,2025,28.33,Kiribati,0.27991560333567767,2.2393248266854213
Liberia,2025,27.18,Liberia,0.26836129810107506,2.1468903848086005
Saint Lucia,2025,26.71,St. Lucia,0.2636391037878027,2.1091128303024216
Tuvalu,2025,26.52,Tuvalu,0.2617301316186075,2.09384105294886
Sri Lanka,2025,25.64,Sri Lanka,0.2528885763086507,2.0231086104692055
Jamaica,2025,25.0,Jamaica,0.24645835426504573,1.9716668341203658
Uzbekistan,2025,23.21,Uzbekistan,0.22847382698683816,1.8277906158947053
Sierra Leone,2025,22.44,Sierra Leone,0.22073746609062597,1.7658997287250078
Grenada,2025,22.35,Grenada,0.21983321611574402,1.7586657289259522
Papua New Guinea,2025,22.27,Papua New Guinea,0.21902943836029337,1.752235506882347
Guyana,2025,22.26,Guyana,0.21892896614086207,1.7514317291268966
Samoa,2025,21.47,Samoa,0.21099166080578718,1.6879332864462975
Kenya,2025,20.79,Kenya,0.20415954988445695,1.6332763990756556
Tonga,2025,20.59,Tonga,0.2021501054958304,1.6172008439666432
Turkmenistan,2025,19.87,Turkmenistan,0.19491610569677487,1.559328845574199
Ghana,2025,19.51,Ghana,0.1912991057972471,1.5303928463779768
Lebanon,2025,18.92,Lebanon,0.18537124485079878,1.4829699588063903
Solomon Islands,2025,18.75,Solomon Islands,0.1836632171204662,1.4693057369637297
Guinea,2025,16.92,Guinea,0.16527680096453334,1.3222144077162667
Maldives,2025,15.79,Maldives,0.1539234401687933,1.2313875213503465
Malawi,2025,15.79,Malawi,0.1539234401687933,1.2313875213503465
Zimbabwe,2025,15.26,Zimbabwe,0.14859841253893297,1.1887873003114637
Chad,2025,15.0,Chad,0.14598613483371847,1.1678890786697478
Bangladesh,2025,14.72,Bangladesh,0.1431729126896413,1.1453833015171304
Saint Vincent and the Grenadines,2025,14.71,St. Vincent and the Grenadines,0.14307244047020998,1.1445795237616798
Comoros,2025,13.51,Comoros,0.1310157741384507,1.0481261931076056
Gambia,2025,11.84,Gambia,0.11423691349341906,0.9138953079473525
Myanmar,2025,11.71,Myanmar,0.11293077464081182,0.9034461971264945
Tunisia,2025,10.53,Tunisia,0.10107505274791519,0.8086004219833215
Syria,2025,10.24,Syria,0.0981613583844067,0.7852908670752536
Togo,2025,8.89,Togo,0.08459760876117753,0.6767808700894202
Egypt,2025,8.84,Egypt,0.08409524766402089,0.6727619813121671
Malaysia,2025,8.21,Malaysia,0.07776549783984729,0.6221239827187783
South Sudan,2025,7.37,South Sudan,0.06932583140761579,0.5546066512609263
Qatar,2025,6.83,Qatar,0.06390033155832413,0.511202652466593
Mali,2025,6.67,Mali,0.062292776047422886,0.4983422083793831
Morocco,2025,6.51,Morocco,0.06068522053652165,0.4854817642921732
Ethiopia,2025,6.51,Ethiopia,0.06068522053652165,0.4854817642921732
Burundi,2025,6.32,Burundi,0.058776248367326436,0.4702099869386115
Tanzania,2025,6.22,Tanzania,0.05777152617301316,0.4621722093841053
Iran,2025,6.05,Iran,0.0560634984426806,0.4485079875414448
Sudan,2025,6.05,Sudan,0.0560634984426806,0.4485079875414448
Kuwait,2025,5.64,Kuwait,0.05194413744599618,0.41555309956796943
Zambia,2025,5.5,Zambia,0.0505375263739576,0.4043002109916608
Eritrea,2025,4.87,Eritrea,0.044207776549783986,0.3536622123982719
Nigeria,2025,4.6,Nigeria,0.04149502662513815,0.3319602130011052
Libya,2025,4.29,Libya,0.03838038782276701,0.3070431025821361
Brunei,2025,3.78,Brunei Darussalam,0.03325630463176931,0.2660504370541545
Algeria,2025,3.72,Algeria,0.03265347131518135,0.2612277705214508
Senegal,2025,3.24,Senegal,0.02783080478247765,0.2226464382598212
Cameroon,2025,3.16,Cameroon,0.027027027027027032,0.21621621621621626
Yemen,2025,3.16,Yemen,0.027027027027027032,0.21621621621621626
Iraq,2025,3.08,Iraq,0.02622324927157641,0.2097859941726113
Saudi Arabia,2025,2.93,Saudi Arabia,0.0247161659801065,0.197729327840852
Oman,2025,2.93,Oman,0.0247161659801065,0.197729327840852
Mauritania,2025,2.79,Mauritania,0.023309554908067923,0.18647643926454338
Somalia,2025,1.0,Somalia,0.005325027629860344,0.04260022103888275
Uganda,2025,0.59,Uganda,0.0012056666331759268,0.009645333065407415
Afghanistan,2025,0.51,Afghanistan,0.0004018888777253093,0.0032151110218024744
United Arab Emirates,2025,0.47,United Arab Emirates,0.0,0.0
