country_c,pm25,pol_log32_n,atleast_basicsan,basicsan_log32_n,basicw,norm_water,water_log32_n,calorie,calorie_log32_n,avg_life,lifeexpect_log32_n,pswcl_pts
Norway,6.42853,31.502030163412734,100.00000218333334,31.999999898666672,99.99999857142858,0.9999999777964302,31.999999289485768,1.2,31.512690355329948,82.64,29.633939392,156.6486590988951
Finland,5.52591,31.985359088573546,99.99995586833334,31.999985077867045,100.0,1.0,32.0,0.4,31.83756345177665,81.49,28.741818176,156.56472579421725
Australia,7.241084,31.066929177997924,99.99982628333336,31.999943610668083,99.969854,0.9995314558243192,31.985006586378216,2.5,30.98477157360406,83.06,29.959757568,155.99640851664827
Sweden,6.046158,31.70678016648334,99.58959759833331,31.868670434749905,99.71543285714286,0.995577115458902,31.85846769468486,2.7,30.903553299492387,82.59,29.59515152,155.93262311541048
Switzerland,9.935088,29.62436192079232,99.99999986866666,31.99999915797336,100.0,1.0,32.0,1.1,31.553299492385783,83.34,30.176969696,155.35463026715144
Canada,6.768582,31.3199413911068,98.72907716666666,31.593303903500733,99.22345557142856,0.9879305589741654,31.61377788717329,2.2,31.106598984771573,81.93,29.08315152,154.7167736865524
Luxembourg,9.726578,29.73601346206692,99.97194881666668,31.991022821557767,99.88505657142856,0.9982134918732182,31.94283173994298,1.0,31.593908629441625,81.53,28.77284848,154.0366251330093
Denmark,10.029042,29.57405206079081,100.000000805,31.999999457600016,100.0,1.0,32.0,0.6,31.756345177664976,81.12,28.454787872,153.7851845680558
France,11.28572,28.90113452404973,100.00000163333334,31.99999972266668,100.0,1.0,32.0,1.9,31.228426395939085,82.46,29.49430304,153.6238636826555
Netherlands,11.607704,28.72872068363075,99.99944988666664,31.99982316373775,100.0,1.0,32.0,0.9,31.634517766497463,81.67,28.88145456,153.24451617386597
Japan,11.777876,28.63759811837354,99.945054235,31.98241655563959,99.05699942857144,0.985343414535697,31.530989265142303,5.0,29.96954314720812,84.17,30.82084848,152.94139556636355
United Kingdom,10.188522,29.48865477623624,99.82735911666668,31.944754118714485,100.0,1.0,32.0,2.2,31.106598984771573,81.02,28.377212128,152.9172200077223
Belgium,12.278078,28.36975329439081,99.99991249833332,31.99997119946739,100.0,1.0,32.0,0.5,31.79695431472081,81.28,28.578909088,152.745587896579
Malta,13.289534,27.82814559532869,99.96448533333331,31.98863450695081,100.0,1.0,32.0,1.9,31.228426395939085,82.58,29.587393952,152.63260045021858
Spain,10.15503,29.50658884856068,99.99999993766669,31.99999918005336,99.92583328571428,0.9988472639153462,31.96311244529108,7.1,29.11675126903553,82.9,29.835636352,152.42208809494065
Germany,11.701302,28.678601452130007,100.0000004,31.999999328000012,100.0,1.0,32.0,1.5,31.39086294416244,80.89,28.276363648,152.34582737229243
Estonia,6.378954,31.528576788563708,99.77044845833332,31.926542708503103,99.97212,0.9995666751271152,31.98613360406769,3.3,30.65989847715736,78.06,26.080969696,152.18212127429186
Austria,12.481904,28.260609910131848,99.97264983833333,31.99124714848549,100.0,1.0,32.0,2.6,30.944162436548226,81.58,28.811636352,152.00765584716555
United States,7.824882,30.75432092662854,99.67607904999998,31.896344498591382,99.74156014285714,0.9959831987717056,31.87146236069458,2.2,31.106598984771573,78.38,26.329212128,151.95793889868608
Ireland,8.37472,30.45989734909584,96.08231183333332,30.74633901800819,96.03188928571429,0.9383256430824432,30.026420578638184,0.9,31.634517766497463,81.91,29.067636352,151.93481106423968
Portugal,8.274288,30.51367600524322,99.96299433666668,31.988157388029407,99.22192371428572,0.9879067500860124,31.613016002752392,9.3,28.223350253807105,81.49,28.741818176,151.08001782583213
Cyprus,14.660054,27.094268705262667,99.39975066666666,31.80791941813535,99.76849785714286,0.9964018781697932,31.88486010143338,1.4,31.431472081218278,81.28,28.578909088,150.79742939404966
Italy,15.80656,26.48034533477407,99.98582057066666,31.99546178272679,99.91703,0.9987104388556935,31.958734043382197,5.3,29.84771573604061,82.84,29.789090912,150.07134780892366
Slovenia,16.6441,26.03186501306705,99.28205099333331,31.770255523610277,99.5,0.9922287504862805,31.75132001556097,0.9,31.634517766497463,80.64,28.082424256,149.27038257473578
Czechia,16.594786,26.05827134420904,99.993662645,31.99797124645072,99.8804887142857,0.9981424959580176,31.940559870656568,2.8,30.86294416243655,78.73,26.600727264,147.46047388775287
Costa Rica,16.70266,26.00050769563844,98.60842140666666,31.554694061265984,99.73500814285714,0.9958813643180778,31.86820365817849,6.7,29.279187817258883,79.92,27.523878784,146.2264720163418
South Korea,25.682276,21.19216293301761,99.847806115,31.95129715801757,99.76415914285714,0.9963344437072268,31.88270219863126,5.0,29.96954314720812,83.14,30.021818176,145.01752361287458
Greece,15.424528,26.68491327691698,99.99999938333332,31.99999900266669,99.99999857142858,0.9999999777964302,31.999999289485768,15.5,25.705583756345177,81.08,28.423757568,144.81425289341462
Belarus,15.441196,26.675988007673467,99.53347697733334,31.850711836478872,98.64077857142856,0.978874302268354,31.323977672587333,0.1,31.95939086294416,73.64,22.652121216,144.46218959568384
