country_c,ineq,norm_atk_ineq,atkineq_log16_n,crime_rate,norm_crime_rate,norm_crime_rate_log16,gov,norm_gov,func_gov_pts,terror,norm_terror,terror_log16_n,country,year,uhc,norm_uhc,uhc_log16,acfth_pts
Iceland,0.1067821,0.913763600302386,14.620217604838176,25.4,0.816983895,13.07174231,8.988333333,0.932399723,14.91839557,0.0,1.0,16.0,Iceland,2021.0,88.9183,0.9670082495719252,15.472131993150803,74.08248747798898
Finland,0.119171658,0.8922896573919034,14.276634518270454,26.3,0.803806735,12.86090776,9.345,0.96939834,15.51037344,1.4,0.9992269464384318,15.987631143014909,Finland,2021.0,85.67915,0.9165910859298112,14.66545737487698,73.30100423616234
Netherlands,0.126033301,0.880396857821966,14.086349725151456,26.3,0.803806735,12.86090776,9.05,0.93879668,15.02074689,10.8,0.9940364439536168,15.904583103257869,Netherlands,2021.0,85.213,0.9093354908410466,14.549367853456744,72.42195533186606
Denmark,0.110925282,0.9065825165433254,14.505320264693207,26.3,0.803806735,12.86090776,9.17,0.951244813,15.21991701,0.6,0.9996686913307565,15.994699061292105,Denmark,2021.0,81.96408,0.8587662577705999,13.740260124329598,72.32110422031491
Norway,0.13401004,0.8665713413751468,13.865141462002349,32.6,0.711566618,11.38506589,9.64,1.0,16.0,1.2,0.999337382661513,15.989398122584207,Norway,2021.0,87.03179,0.937644841461006,15.002317463376096,72.24192293796266
Switzerland,0.174857394,0.7957735172848702,12.732376276557924,25.3,0.818448023,13.09516837,9.11,0.945020747,15.12033195,1.2,0.999337382661513,15.989398122584207,Switzerland,2021.0,86.33576,0.9268111787995604,14.828978860792969,71.7662535799351
South Korea,0.16421619,0.8142171621021268,13.027474593634029,24.9,0.824304539,13.18887262,8.213333333,0.852005533,13.63208852,0.4,0.9997791275538377,15.996466040861403,South Korea,2021.0,89.08912,0.969667052002608,15.514672832041729,71.35957460653717
Japan,0.1712348,0.8020523027543646,12.832836844069831,22.6,0.857979502,13.72767204,8.63,0.895228216,14.32365145,0.6,0.9996686913307565,15.994699061292105,Japan,2021.0,83.48831,0.8824908007334821,14.119852811735711,70.99871220709764
Slovenia,0.100301248,0.9249964018163132,14.799942429061012,24.2,0.834553441,13.35285505,6.905,0.716286307,11.46058091,0.0,1.0,16.0,Slovenia,2021.0,84.35354,0.895958050628691,14.335328810059057,69.94870719912007
Estonia,0.149979222,0.8388930898511531,13.42228943761845,23.8,0.840409956,13.4465593,7.978333333,0.827627939,13.24204703,0.4,0.9997791275538377,15.996466040861403,Estonia,2021.0,79.31091,0.8174698355424389,13.079517368679022,69.18687917715887
Luxembourg,0.173506514,0.7981149018604066,12.769838429766503,34.4,0.685212299,10.96339678,8.87,0.920124481,14.7219917,0.0,1.0,16.0,Luxembourg,2021.0,83.11001,0.8766025853048012,14.02564136487682,68.48086827464333
Czechia,0.104786269,0.9172228327425564,14.6755653238809,26.8,0.796486091,12.74377745,6.43,0.667012448,10.67219917,0.6,0.9996686913307565,15.994699061292105,Czechia,2021.0,84.24297,0.8942370356142866,14.307792569828583,68.39403357500159
Austria,0.150497882,0.8379941332273614,13.407906131637782,29.3,0.75988287,12.15812592,7.381666667,0.765733057,12.25172891,1.2,0.999337382661513,15.989398122584207,Austria,2021.0,84.53304,0.8987519567070634,14.380031307313017,68.18719039153501
Germany,0.157467006,0.825915044456634,13.214640711306144,38.9,0.619326501,9.909224012,8.39,0.87033195,13.9253112,23.0,0.9872998343456654,15.796797349530646,Germany,2021.0,87.96261,0.9521329955327076,15.23412792852332,68.08010120136011
Singapore,0.2593509,0.6493269108643239,10.389230573829185,23.5,0.844802343,13.51683748,7.678333333,0.796507607,12.74412172,0.0,1.0,16.0,Singapore,2021.0,88.51465,0.960725463006271,15.371607408100337,68.02179718192951
Canada,0.16135986,0.8191678364807851,13.10668538369256,45.2,0.527086384,8.433382138,8.628333333,0.895055325,14.3208852,10.8,0.9940364439536168,15.904583103257869,Canada,2021.0,91.03792,1.0,16.0,67.76553582495043
Portugal,0.178762098,0.789005770543757,12.624092328700112,31.2,0.732064422,11.71303075,7.321666667,0.75950899,12.15214385,0.2,0.9998895637769188,15.998233020430702,Portugal,2021.0,87.90821,0.9512862629941924,15.22058020790708,67.7080801570379
