country,year,safe,basic_notshared,limited_shared,unimproved,open_def,atleast_basicsan,country_c,norm_basicsan,basicsan_log32_n
Hungary,2019.5,87.6348985,10.349972333333334,2.0151316666666665,3.4816666666666665e-07,0.0,100.0000025,Hungary,1.0,32.0
Norway,2019.5,77.87696483333333,20.174689333333333,1.9483480166666667,9.6e-07,0.0,100.00000218333334,Norway,0.9999999968333335,31.999999898666672
Isle of Man,2019.5,84.82143,15.178572,0.0,0.0,0.0,100.00000200000001,Isle of Man,0.9999999950000003,31.999999840000008
France,2019.5,89.482839,9.165169166666667,1.3519934666666666,4.21e-07,0.0,100.00000163333334,France,0.9999999913333337,31.99999972266668
Bahrain,2019.5,91.47162083333335,8.528380199999999,0.0,0.0,0.0,100.00000103333335,Bahrain,0.9999999853333339,31.999999530666685
Denmark,2019.5,98.52203933333334,1.0751901283333334,0.4027713433333333,5.860999999999999e-07,0.0,100.000000805,Denmark,0.9999999830500005,31.999999457600016
New Zealand,2019.5,88.26101183333333,11.738988833333332,0.0,6.283333333333333e-07,0.0,100.00000066666666,New Zealand,0.9999999816666671,31.99999941333335
Germany,2019.5,96.86543449999999,2.3601203833333333,0.7744455166666667,5.068333333333334e-07,0.0,100.00000039999999,Germany,0.9999999790000005,31.999999328000015
Singapore,2019.5,100.0,0.0,0.0,0.0,0.0,100.0,Singapore,0.9999999750000007,31.999999200000023
Kuwait,2019.5,100.0,0.0,0.0,0.0,0.0,100.0,Kuwait,0.9999999750000007,31.999999200000023
San Marino,2019.5,90.1925,9.8075,0.0,0.0,0.0,100.0,San Marino,0.9999999750000007,31.999999200000023
Monaco,2019.5,100.0,0.0,0.0,0.0,0.0,100.0,Monaco,0.9999999750000007,31.999999200000023
Puerto Rico,2019.5,32.50916,67.49084,0.0,0.0,0.0,100.0,Puerto Rico,0.9999999750000007,31.999999200000023
Spain,2019.5,90.010565,9.908664833333333,0.08077010433333333,1.3265e-06,0.0,99.99999993766667,Spain,0.9999999743766674,31.999999180053358
Switzerland,2019.5,99.699506,0.20036759166666665,0.100126277,6.133333333333333e-07,0.0,99.99999986866666,Switzerland,0.9999999736866674,31.999999157973356
Macao,2019.5,65.60454566666667,34.395453833333335,0.0,0.0,0.0,99.9999995,Macau,0.9999999700000008,31.999999040000027
Greece,2019.5,90.864006,8.127946283333333,1.0080471,1.3411166666666667e-06,0.0,99.99999938333333,Greece,0.9999999688333342,31.999999002666694
Andorra,2019.5,99.99999833333334,0.0,0.0,1.5183333333333331e-06,0.0,99.99999833333334,Andorra,0.9999999583333344,31.999998666666702
Chile,2019.5,95.24976333333332,4.750234183333333,0.0,2.8333333333333336e-07,0.0,99.99999751666665,Chile,0.9999999501666679,31.999998405333372
Finland,2019.5,89.6093725,9.838588666666666,0.5519947016666666,4.43e-05,0.0,99.99995586833334,Finland,0.9999995336833452,31.999985077867045
Belgium,2019.5,92.98662666666667,6.4995730499999995,0.5137127816666667,8.836866666666666e-05,0.0,99.99991249833333,Belgium,0.9999990999833559,31.99997119946739
Australia,2019.5,95.56239916666668,4.437427116666666,0.0,0.000174367,0.0,99.99982628333335,Australia,0.9999982378333776,31.999943610668083
Bulgaria,2019.5,70.95120333333334,15.0787125,13.969830083333333,0.0002549236666666667,0.0,99.99974591666667,Bulgaria,0.9999974341667309,31.99991789333539
Netherlands,2019.5,97.49564166666666,0.19525277,2.30855545,0.0005515183333333333,0.0,99.99944988666665,Netherlands,0.9999944738668047,31.99982316373775
Czechia,2019.5,88.86160183333334,10.275386,0.8566748116666667,0.006336241833333333,0.0,99.993662645,Czechia,0.999936601451585,31.99797124645072
Italy,2019.5,79.02105733333333,20.8641315,0.10063173733333335,0.0141779885,0.0,99.98582057066666,Italy,0.9998581807102122,31.99546178272679
Kyrgyzstan,2019.5,92.37203783333332,5.3987110666666664,2.204309916666667,0.024941349166666665,0.0,99.97505881666666,Kyrgyz Republic,0.9997505631729026,31.992018021532882
Ukraine,2019.5,71.562696,26.153486,2.256990866666667,0.026629644166666664,0.000197141,99.97317286666667,Ukraine,0.9997317036733742,31.991414517547973
Austria,2019.5,99.667801,0.3048488383333333,0.0,0.0273504145,0.0,99.97264983833333,Austria,0.9997264733901715,31.99124714848549
Poland,2019.5,97.75453733333332,1.1757144166666667,1.0423064833333333,0.027441701,0.0,99.97255823333332,Poland,0.9997255573401943,31.991217834886218
Luxembourg,2019.5,94.97776833333334,2.61522815,2.3789523333333333,0.028049697166666665,0.0,99.97194881666667,Luxembourg,0.9997194631736802,31.991022821557767
Malta,2019.5,88.17641733333333,11.788068,0.0,0.0355152225,0.0,99.96448533333333,Malta,0.9996448283422127,31.988634506950806
Portugal,2019.5,91.174845,8.45222655,0.3359227866666667,0.037004267333333334,0.0,99.96299433666668,Portugal,0.999629918375919,31.988157388029407
Slovakia,2019.5,82.49468166666666,15.038505,2.42080835,0.046003118333333336,0.0,99.95399501666667,Slovakia,0.9995399251781686,31.985277605701395
Liechtenstein,2019.5,96.22128,3.7287202,0.0,0.05000000000000001,0.0,99.95000019999999,Liechtenstein,0.9994999770125006,31.98399926440002
Thailand,2019.5,25.7233975,72.78871916666667,1.4371103116666666,0.007116112,0.04365559483333334,99.94922697833334,Thailand,0.9994922447960274,31.983751833472876
Japan,2019.5,99.00366983333333,0.9413844016666667,0.0,0.054945393,0.0,99.945054235,Japan,0.9994505173637371,31.98241655563959
Israel,2019.5,94.37265083333334,5.566592483333333,0.0,0.060757401999999995,0.0,99.93924331666668,Israel,0.9993924081818566,31.98055706181941
Qatar,2019.5,97.77894733333333,2.1576001166666665,0.0,7.58e-15,0.06345426766666666,99.93654745,Qatar,0.9993654495158639,31.979694384507646
Malaysia,2019.5,84.15144500000001,11.735330666666668,3.97859705,0.134626364,0.0,99.86537271666668,Malaysia,0.9986537022003243,31.95691847041038
South Korea,2019.5,99.0455,0.802306115,0.0,0.15219410666666666,0.0,99.847806115,South Korea,0.9984780361880491,31.95129715801757
United Kingdom,2019.5,98.08293516666667,1.0245913833333333,0.7198325666666667,0.17264145333333333,0.0,99.82735911666667,United Kingdom,0.9982735662098277,31.944754118714485
United Arab Emirates,2019.5,98.45973833333333,0.63760976,0.6959450566666666,0.20670920666666667,0.0,99.79329315000001,United Arab Emirates,0.9979329065516775,31.93385300965368
Estonia,2019.5,90.42181599999999,8.64974125,0.6988912083333334,0.22955345166666666,0.0,99.77044845833333,Estonia,0.997704459640722,31.926542708503103
Albania,2019.5,51.378289333333335,47.72189583333333,0.6614227483333334,0.22333345666666668,0.015059577333333332,99.761607915,Albania,0.9976160542095986,31.923713734707157
Saudi Arabia,2019.5,79.83643666666667,15.491224333333333,4.372337616666667,0.30000072666666666,0.0,99.69999861666668,Saudi Arabia,0.9969999612416678,31.90399875973337
United States,2019.5,97.10263233333332,2.5734467166666666,0.0,0.32392139833333333,0.0,99.67607904999998,United States,0.9967607655809808,31.896344498591386
Palestine,2019.5,66.23395366666666,32.1331655,1.2793719433333333,0.21682863,0.1366801175,99.64649111,Palestine,0.9964648861883779,31.886876358028093
Fiji,2019.5,49.00488766666667,44.40265233333333,6.213038699999999,0.32624359883333337,0.05317790416666667,99.6205787,Fiji,0.996205762094856,31.878584387035392
Sweden,2019.5,95.50211233333333,3.388987516666667,0.6984977483333333,0.410401945,0.0,99.58959759833333,Sweden,0.9958959510859345,31.868670434749905
Belarus,2019.5,75.0485225,24.142714166666664,0.3422403106666667,0.46652397333333334,0.0,99.53347697733334,Belarus,0.9953347448899648,31.850711836478872
Reunion,2019.5,76.14462066666667,23.2874265,0.0,0.5679515033333333,0.0,99.43204716666666,Reunion,0.9943204468086555,31.818254297876976
Cyprus,2019.5,76.8097525,22.589998166666664,0.0,0.6002500000000001,0.0,99.39975066666666,Cyprus,0.9939974818167296,31.80791941813535
Lebanon,2019.5,25.758572666666666,72.75798999999999,0.7944883883333334,0.6239939666666667,0.064956635,99.311051055,Lebanon,0.9931104857222378,31.77953554311161
Slovenia,2019.5,83.34109149999999,15.059012333333333,0.8819471600000001,0.7179487233333334,0.0,99.28205099333331,Slovenia,0.9928204851128211,31.770255523610274
Libya,2019.5,23.83045733333333,68.27539999999999,7.146144266666666,1.6466666666666667e-15,0.7479963916666666,99.25200159999999,Libya,0.9925199911870002,31.760639717984006
Turkey,2019.5,73.68746066666667,25.001766,0.4378495233333333,0.70055951,0.172365325,99.12707619,Türkiye,0.9912707371182315,31.72066358778341
Egypt,2019.5,66.29262666666666,30.910627,1.8443191833333332,0.92425799,0.028171011166666666,99.04757285000001,Egypt,0.9904757037381076,31.695222519619442
Croatia,2019.0,77.8090252,18.3423366,2.8700729,0.978563922,0.0,99.02143469999999,Croatia,0.9902143222446419,31.68685831182854
North Macedonia,2019.5,12.226355833333335,85.82542649999999,0.9390404233333333,0.8691007700000001,0.140077289,98.99082275666666,North Macedonia,0.9899082028189616,31.677062490206772
Jordan,2019.5,82.0865125,15.137170666666668,1.6305772,1.0396837733333333,0.10605576983333333,98.85426036666667,Jordan,0.9885425789531023,31.633362526499273
Samoa,2019.5,44.29501283333334,52.73052116666667,1.7962326,1.061280105,0.11695163183333333,98.8217666,Samoa,0.988217641294559,31.62296452142589
Azerbaijan,2018.0,68.80547,27.32108633333333,2.6810937,1.1059681333333333,0.08638241133333334,98.80765003333333,Azerbaijan,0.9880764756314215,31.61844722020549
Canada,2019.5,83.81780333333333,14.911273833333333,0.0,1.27092085,0.0,98.72907716666666,Canada,0.9872907469843979,31.593303903500733
Turks and Caicos Islands,2019.5,34.0142425,59.122276666666664,5.562600883333334,1.2857481833333333,0.015130556666666668,98.69912004999999,Turks and Caicos Islands,0.9869911758252206,31.583717626407058
Costa Rica,2019.5,24.928943500000003,73.00822916666667,0.6712487399999999,1.2223414666666665,0.16923691833333332,98.60842140666666,Costa Rica,0.986084189414562,31.554694061265984
Channel Islands,2017.0,90.0,8.5,0.0,1.5,0.0,98.5,Channel Islands,0.9849999753750007,31.519999212000023
American Samoa,2019.5,37.00977583333333,17.152774333333333,44.33629533333333,0.8461956333333335,0.78595096,98.49884549999999,American Samoa,0.9849884303752892,31.519629772009253
Tunisia,2019.5,79.63486999999999,16.740573,1.9542472,1.41620353,0.25410367500000003,98.32969019999999,Tunisia,0.983296877417578,31.465500077362496
Tonga,2019.5,32.841019499999994,61.809309000000006,3.5478875333333337,1.69834172,0.10344404683333334,98.19821603333334,Tonga,0.98198213578378,31.42342834508096
Mexico,2019.5,56.318308,34.74271316666667,7.0978869499999995,1.0927095666666666,0.7483808516666667,98.15890811666668,Mexico,0.9815890566269404,31.410849812062093
Uzbekistan,2019.5,74.42521083333334,21.575218500000002,2.0565904833333333,1.8934441,0.049538332500000004,98.05701981666668,Uzbekistan,0.9805701736524125,31.3782455568772
Serbia,2019.5,25.97620716666667,71.877279,0.04660970166666667,2.040823683333333,0.059078763166666666,97.90009586833334,Serbia,0.9790009342083101,31.328029894665924
Montenegro,2019.5,52.656929999999996,44.800880500000005,0.41977334000000005,2.0704519666666665,0.051963425,97.87758384,Montenegro,0.9787758139306048,31.320826045779352
Guyana,2019.5,45.567325833333335,43.88971983333334,8.415536,1.7187361166666666,0.40868260166666665,97.87258166666668,Guyana,0.9787257921985221,31.319225350352706
Iraq,2019.5,49.89483766666667,47.73975083333334,0.22768365,2.128109333333333,0.0096178475,97.86227215000001,Iraq,0.9786226970344327,31.315926305101847
Ecuador,2019.5,41.83718583333333,48.51463666666666,7.469441416666666,0.47591466833333373,1.7028214833333333,97.82126391666667,Ecuador,0.9782126147113513,31.302803670763243
Cuba,2019.5,41.306350333333334,49.5995965,6.382694483333334,2.42357335,0.28778610833333335,97.28864131666667,Cuba,0.9728863888445071,31.132364443024226
Venezuela,2019.5,26.525276833333333,70.31260066666667,0.0,0.6482703733333336,3.0166234,96.8378775,Venezuela,0.9683787507905314,30.988120025297004
Hong Kong,2019.5,91.46952083333333,5.047834121666667,0.0,3.4826449833333335,0.0,96.517354955,Hong Kong,0.9651735254206619,30.88555281346118
Algeria,2019.5,62.406718500000004,23.672695833333336,10.2972605,3.4140880333333334,0.20923788166666668,96.37667483333334,Algeria,0.9637667242391653,30.84053517565329
Colombia,2019.5,18.102346666666666,74.477295,3.6396998333333332,0.8372946899999999,2.9433640666666663,96.2193415,Colombia,0.9621933909451653,30.79018851024529
Ireland,2019.5,79.484438,9.823218166666667,6.774655666666667,3.917687266666667,0.0,96.08231183333332,Ireland,0.9608230943127559,30.74633901800819
Dominican Republic,2019.5,44.22011716666666,43.22545416666667,8.600781666666666,1.8387738333333334,2.1148732333333333,96.046353,Dominican Republic,0.9604635059884123,30.734832191629195
Bosnia and Herzegovina,2017.5,52.783885,42.588764,0.59669304,4.0306584999999995,0.0,95.96934204,Bosnia and Herzegovina,0.9596933964076652,30.710188685045285
