country,year,basicw,country_c,norm_water,water_log32_n
Finland,2019.0,100.0,Finland,1.0,32.0
France,2019.0,100.0,France,1.0,32.0
Macao,2019.0,100.0,Macau,1.0,32.0
New Zealand,2019.0,100.0,New Zealand,1.0,32.0
Denmark,2019.0,100.0,Denmark,1.0,32.0
Liechtenstein,2019.0,100.0,Liechtenstein,1.0,32.0
Greenland,2019.0,100.0,Greenland,1.0,32.0
Netherlands,2019.0,100.0,Netherlands,1.0,32.0
Romania,2019.0,100.0,Romania,1.0,32.0
Switzerland,2019.0,100.0,Switzerland,1.0,32.0
United Kingdom,2019.0,100.0,United Kingdom,1.0,32.0
Gibraltar,2019.0,100.0,Gibraltar,1.0,32.0
Singapore,2019.0,100.0,Singapore,1.0,32.0
Monaco,2019.0,100.0,Monaco,1.0,32.0
Germany,2019.0,100.0,Germany,1.0,32.0
San Marino,2019.0,100.0,San Marino,1.0,32.0
Belgium,2019.0,100.0,Belgium,1.0,32.0
French Polynesia,2019.0,100.0,French Polynesia,1.0,32.0
Malta,2019.0,100.0,Malta,1.0,32.0
Hong Kong,2019.0,100.0,Hong Kong,1.0,32.0
Austria,2019.0,100.0,Austria,1.0,32.0
Israel,2019.0,100.0,Israel,1.0,32.0
Iceland,2019.0,100.0,Iceland,1.0,32.0
Faroe Islands,2019.0,100.0,Faroe Islands,1.0,32.0
Kuwait,2019.0,100.0,Kuwait,1.0,32.0
Northern Mariana Islands,2019.0,100.0,Northern Mariana Islands,1.0,32.0
Greece,2019.0,99.99999857142858,Greece,0.9999999777964302,31.999999289485768
Norway,2019.0,99.99999857142858,Norway,0.9999999777964302,31.999999289485768
Andorra,2019.0,99.99999714285715,Andorra,0.9999999555928601,31.999998578971525
Saint Barthelemy,2019.0,99.99650857142856,St. Barths,0.999945734474824,31.99826350319437
Hungary,2019.0,99.99169857142859,Hungary,0.9998709750545026,31.995871201744084
United Arab Emirates,2019.0,99.98963357142857,United Arab Emirates,0.9998388797940108,31.994844153408344
Estonia,2019.0,99.97212,Estonia,0.9995666751271153,31.98613360406769
Qatar,2019.0,99.97053514285714,Qatar,0.9995420424865138,31.98534535956844
Australia,2019.0,99.96985400000001,Australia,0.9995314558243192,31.985006586378216
Cook Islands,2019.0,99.96904714285714,Cook Islands,0.9995189152479605,31.984605287934738
Chile,2019.0,99.95752,Chile,0.9993397546413146,31.97887214852207
Mauritius,2019.0,99.94805685714286,Mauritius,0.9991926737526607,31.974165560085144
Saint Martin (French part),2019.0,99.94035785714286,Saint-Martin,0.9990730120526484,31.97033638568475
Spain,2019.0,99.92583328571429,Spain,0.9988472639153462,31.963112445291078
Bahrain,2019.0,99.92266785714286,Bahrain,0.9987980652448533,31.961538087835304
Italy,2019.0,99.91703,Italy,0.9987104388556935,31.958734043382194
Reunion,2019.0,99.91370071428571,Reunion,0.998658693435717,31.957078189942944
Bermuda,2019.0,99.90314,Bermuda,0.9984945535442024,31.951825713414475
Brunei,2019.0,99.90004642857141,Brunei Darussalam,0.9984464717132822,31.95028709482503
Luxembourg,2019.0,99.88505657142856,Luxembourg,0.9982134918732182,31.94283173994298
Czechia,2019.0,99.8804887142857,Czechia,0.9981424959580177,31.940559870656568
Puerto Rico,2019.0,99.88017571428573,Puerto Rico,0.9981376311558225,31.94040419698632
British Virgin Islands,2019.0,99.86438,British Virgin Islands,0.9978921262818988,31.932548041020762
"Bonaire, Sint Eustatius and Saba",2019.0,99.85937857142858,"Bonaire, Saint Eustatius and Saba",0.9978143915831915,31.93006053066213
Armenia,2019.0,99.8244957142857,Armenia,0.9972722248099744,31.91271119391918
Slovakia,2019.0,99.78759757142858,Slovakia,0.9966987354605031,31.8943595347361
Guadeloupe,2019.0,99.78693785714286,Guadeloupe,0.996688481851859,31.894031419259488
Cyprus,2019.0,99.76849785714286,Cyprus,0.9964018781697931,31.88486010143338
South Korea,2019.0,99.76415914285714,South Korea,0.9963344437072269,31.88270219863126
United States,2019.0,99.74156014285714,United States,0.9959831987717056,31.87146236069458
Costa Rica,2019.0,99.73500814285714,Costa Rica,0.9958813643180778,31.86820365817849
