country,year,avg_life,median_life,avg_med_life,norm_life_expect,norm_with_pts,norm_pts_log5,lifeexpect_log32_n,country_c
Monaco,2018,85.69,85.75,85.72,1.0,5.0,32.0,32.0,Monaco
San Marino,2018,84.62,84.78,84.7,0.974060606,4.87030303,31.16993939,31.169939392,San Marino
Hong Kong,2018,84.53,84.66,84.6,0.971878788,4.85939394,31.10012122,31.100121216,Hong Kong
Japan,2018,84.17,84.19,84.18,0.963151515,4.815757575,30.82084848,30.82084848,Japan
Andorra,2018,83.67,84.24,83.96,0.951030303,4.755151515,30.4329697,30.432969696,Andorra
Saint Barthelemy,2018,83.4,83.6,83.5,0.944484848,4.72242424,30.22351514,30.223515136,St. Barths
Switzerland,2018,83.34,83.41,83.37,0.943030303,4.715151515,30.1769697,30.176969696,Switzerland
Singapore,2018,83.15,83.09,83.12,0.938424242,4.69212121,30.02957574,30.029575744,Singapore
Macao,2018,83.14,83.07,83.11,0.938181818,4.69090909,30.02181818,30.021818176,Macau
South Korea,2018,83.14,83.28,83.21,0.938181818,4.69090909,30.02181818,30.021818176,South Korea
Australia,2018,83.06,82.8,82.93,0.936242424,4.68121212,29.95975757,29.959757568,Australia
Vatican,2018,82.94,82.95,82.94,0.933333333,4.666666665,29.86666666,29.866666656,Vatican
Liechtenstein,2018,82.93,82.89,82.91,0.933090909,4.665454545,29.85890909,29.858909088,Liechtenstein
Spain,2018,82.9,82.95,82.93,0.932363636,4.66181818,29.83563635,29.835636352,Spain
Italy,2018,82.84,82.87,82.85,0.930909091,4.654545455,29.78909091,29.789090912,Italy
Guernsey,2018,82.84,82.84,82.84,0.930909091,4.654545455,29.78909091,29.789090912,Guernsey
Gibraltar,2018,82.74,82.86,82.8,0.928484848,4.64242424,29.71151514,29.711515136,Gibraltar
Norway,2018,82.64,82.63,82.64,0.926060606,4.63030303,29.63393939,29.633939392,Norway
Israel,2018,82.59,82.61,82.6,0.924848485,4.624242425,29.59515152,29.59515152,Israel
Sweden,2018,82.59,82.44,82.51,0.924848485,4.624242425,29.59515152,29.59515152,Sweden
Malta,2018,82.58,82.59,82.59,0.924606061,4.623030305,29.58739395,29.587393952,Malta
French Polynesia,2018,82.54,82.56,82.55,0.923636364,4.61818182,29.55636365,29.556363648,French Polynesia
France,2018,82.46,82.44,82.45,0.92169697,4.60848485,29.49430304,29.49430304,France
Iceland,2018,82.32,82.43,82.38,0.91830303,4.59151515,29.38569696,29.38569696,Iceland
Reunion,2018,82.1,82.03,82.06,0.912969697,4.564848485,29.2150303,29.215030304,Reunion
Canada,2018,81.93,81.92,81.92,0.908848485,4.544242425,29.08315152,29.08315152,Canada
Ireland,2018,81.91,82.05,81.98,0.908363636,4.54181818,29.06763635,29.067636352,Ireland
Qatar,2018,81.83,81.86,81.84,0.906424242,4.53212121,29.00557574,29.005575744,Qatar
New Zealand,2018,81.82,81.83,81.82,0.906181818,4.53090909,28.99781818,28.997818176,New Zealand
United Arab Emirates,2018,81.82,82.08,81.95,0.906181818,4.53090909,28.99781818,28.997818176,United Arab Emirates
Netherlands,2018,81.67,81.65,81.66,0.902545455,4.512727275,28.88145456,28.88145456,Netherlands
Austria,2018,81.58,81.64,81.61,0.900363636,4.50181818,28.81163635,28.811636352,Austria
Luxembourg,2018,81.53,81.52,81.52,0.899151515,4.495757575,28.77284848,28.77284848,Luxembourg
Finland,2018,81.49,81.5,81.49,0.898181818,4.49090909,28.74181818,28.741818176,Finland
Portugal,2018,81.49,81.37,81.43,0.898181818,4.49090909,28.74181818,28.741818176,Portugal
Martinique,2018,81.39,81.94,81.66,0.895757576,4.47878788,28.66424243,28.664242432,Martinique
Belgium,2018,81.28,81.26,81.27,0.893090909,4.465454545,28.57890909,28.578909088,Belgium
Cyprus,2018,81.28,81.45,81.37,0.893090909,4.465454545,28.57890909,28.578909088,Cyprus
Denmark,2018,81.12,81.11,81.11,0.889212121,4.446060605,28.45478787,28.454787872,Denmark
Greece,2018,81.08,81.12,81.1,0.888242424,4.44121212,28.42375757,28.423757568,Greece
Bermuda,2018,81.05,80.99,81.02,0.887515152,4.43757576,28.40048486,28.400484864,Bermuda
United Kingdom,2018,81.02,81.07,81.05,0.886787879,4.433939395,28.37721213,28.377212128,United Kingdom
Guadeloupe,2018,81.02,81.27,81.14,0.886787879,4.433939395,28.37721213,28.377212128,Guadeloupe
Germany,2018,80.89,80.91,80.9,0.883636364,4.41818182,28.27636365,28.276363648,Germany
Slovenia,2018,80.64,80.51,80.58,0.877575758,4.38787879,28.08242426,28.082424256,Slovenia
Isle of Man,2018,80.53,80.51,80.52,0.874909091,4.374545455,27.99709091,27.997090912,Isle of Man
Puerto Rico,2018,80.35,80.32,80.34,0.870545455,4.352727275,27.85745456,27.85745456,Puerto Rico
Taiwan,2018,80.21,80.16,80.18,0.867151515,4.335757575,27.74884848,27.74884848,Taiwan
Bahrain,2018,80.12,80.41,80.26,0.864969697,4.324848485,27.6790303,27.679030304,Bahrain
Jersey,2018,80.05,80.03,80.04,0.863272727,4.316363635,27.62472726,27.624727264,Jersey
Chile,2018,79.97,80.01,79.99,0.861333333,4.306666665,27.56266666,27.562666656,Chile
Costa Rica,2018,79.92,80.09,80.0,0.860121212,4.30060606,27.52387878,27.523878784,Costa Rica
Saint Martin (French part),2018,79.87,80.03,79.95,0.858909091,4.294545455,27.48509091,27.485090912,Saint-Martin
Faroe Islands,2018,79.64,79.69,79.67,0.853333333,4.266666665,27.30666666,27.306666656,Faroe Islands
Kuwait,2018,79.18,79.22,79.2,0.842181818,4.21090909,26.94981818,26.949818176,Kuwait
Maldives,2018,79.14,78.91,79.02,0.841212121,4.206060605,26.91878787,26.918787872,Maldives
Oman,2018,78.89,79.35,79.12,0.835151515,4.175757575,26.72484848,26.72484848,Oman
Cayman Islands,2018,78.85,78.84,78.84,0.834181818,4.17090909,26.69381818,26.693818176,Cayman Islands
Czechia,2018,78.73,78.93,78.83,0.831272727,4.156363635,26.60072726,26.600727264,Czechia
Falkland Islands,2018,78.66,78.56,78.61,0.829575758,4.14787879,26.54642426,26.546424256,Falkland Islands
Albania,2018,78.52,78.64,78.58,0.826181818,4.13090909,26.43781818,26.437818176,Albania
United States,2018,78.38,78.72,78.55,0.822787879,4.113939395,26.32921213,26.329212128,United States
