country,crime_rate,safety,norm_crime_rate,norm_crime_rate_log16,country_c
Venezuela,81.2,18.8,0,0,Venezuela
Papua New Guinea,79.7,20.3,0.021961933,0.351390922,Papua New Guinea
Afghanistan,78.3,21.7,0.042459736,0.679355783,Afghanistan
Haiti,77.9,22.1,0.048316252,0.773060029,Haiti
South Africa,75.4,24.6,0.084919473,1.358711567,South Africa
Honduras,73.4,26.6,0.11420205,1.827232796,Honduras
Trinidad and Tobago,70.8,29.2,0.1522694,2.436310395,Trinidad and Tobago
Syria,69.1,30.9,0.17715959,2.834553441,Syria
Yemen,68.6,31.4,0.184480234,2.951683748,Yemen
Jamaica,68.1,31.9,0.191800878,3.068814056,Jamaica
Peru,67.8,32.2,0.196193265,3.13909224,Peru
Guyana,67.3,32.7,0.203513909,3.256222548,Guyana
Angola,66.5,33.5,0.21522694,3.44363104,Angola
Nigeria,66.2,33.8,0.219619327,3.513909224,Nigeria
Brazil,65.6,34.4,0.2284041,3.654465593,Brazil
Somalia,65.2,34.8,0.234260615,3.748169839,Somalia
Bolivia,64.6,35.4,0.243045388,3.888726208,Bolivia
Argentina,64.2,35.8,0.248901903,3.982430454,Argentina
Namibia,63.9,36.1,0.25329429,4.052708638,Namibia
Mozambique,63.7,36.3,0.256222548,4.099560761,Mozambique
Cameroon,63.5,36.5,0.259150805,4.146412884,Cameroon
Ecuador,62.1,37.9,0.279648609,4.474377745,Ecuador
Puerto Rico,61.7,38.3,0.285505124,4.568081991,Puerto Rico
Bangladesh,61.5,38.5,0.288433382,4.614934114,Bangladesh
El Salvador,61.3,38.7,0.29136164,4.661786237,El Salvador
Colombia,61.2,38.8,0.292825769,4.685212299,Colombia
Zimbabwe,60.9,39.1,0.297218155,4.755490483,Zimbabwe
Dominican Republic,60.5,39.5,0.303074671,4.849194729,Dominican Republic
Libya,60.4,39.6,0.304538799,4.872620791,Libya
Guatemala,59.5,40.5,0.317715959,5.083455344,Guatemala
Chile,59.3,40.7,0.320644217,5.130307467,Chile
Fiji,57.3,42.7,0.349926794,5.598828697,Fiji
Ivory Coast,57.1,42.9,0.352855051,5.64568082,Cote d'Ivoire
Bahamas,56.5,43.5,0.361639824,5.786237189,Bahamas
Kenya,56.4,43.6,0.363103953,5.80966325,Kenya
France,55.3,44.7,0.37920937,6.067349927,France
Maldives,55,45,0.383601757,6.137628111,Maldives
Uganda,55,45,0.383601757,6.137628111,Uganda
Tanzania,54.5,45.5,0.390922401,6.254758419,Tanzania
Kyrgyzstan,54,46,0.398243045,6.371888726,Kyrgyz Republic
Mexico,53.8,46.2,0.401171303,6.418740849,Mexico
Costa Rica,53.7,46.3,0.402635432,6.442166911,Costa Rica
Belize,53,47,0.412884334,6.606149341,Belize
