country,year,gov,country_c,norm_gov,func_gov_pts
Norway,2021.5,9.64,Norway,1,16
Sweden,2021.5,9.523333333,Sweden,0.987897649,15.80636238
Finland,2021.5,9.345,Finland,0.96939834,15.51037344
Denmark,2021.5,9.17,Denmark,0.951244813,15.21991701
New Zealand,2021.5,9.17,New Zealand,0.951244813,15.21991701
Taiwan,2021.5,9.165,Taiwan,0.950726141,15.21161826
Switzerland,2021.5,9.11,Switzerland,0.945020747,15.12033195
Netherlands,2021.5,9.05,Netherlands,0.93879668,15.02074689
Iceland,2021.5,8.988333333,Iceland,0.932399723,14.91839557
Luxembourg,2021.5,8.87,Luxembourg,0.920124481,14.7219917
Uruguay,2021.5,8.81,Uruguay,0.913900415,14.62240664
Japan,2021.5,8.63,Japan,0.895228216,14.32365145
Australia,2021.5,8.63,Australia,0.895228216,14.32365145
Canada,2021.5,8.628333333,Canada,0.895055325,14.3208852
Germany,2021.5,8.39,Germany,0.87033195,13.9253112
South Korea,2021.5,8.213333333,South Korea,0.852005533,13.63208852
Chile,2021.5,8.153333333,Chile,0.845781466,13.53250346
Belgium,2021.5,8.093333333,Belgium,0.8395574,13.4329184
Ireland,2021.5,8.035,Ireland,0.833506224,13.33609959
Estonia,2021.5,7.978333333,Estonia,0.827627939,13.24204703
Mauritius,2021.5,7.918333333,Mauritius,0.821403873,13.14246196
France,2021.5,7.68,France,0.796680498,12.74688797
Malaysia,2021.5,7.68,Malaysia,0.796680498,12.74688797
Singapore,2021.5,7.678333333,Singapore,0.796507607,12.74412172
Israel,2021.5,7.62,Israel,0.790456432,12.6473029
Indonesia,2021.5,7.501666667,Indonesia,0.778181189,12.45089903
United Kingdom,2021.5,7.5,United Kingdom,0.778008299,12.44813278
Austria,2021.5,7.381666667,Austria,0.765733057,12.25172891
India,2021.5,7.381666667,India,0.765733057,12.25172891
Portugal,2021.5,7.321666667,Portugal,0.75950899,12.15214385
Spain,2021.5,7.32,Spain,0.7593361,12.14937759
Costa Rica,2021.5,7.203333333,Costa Rica,0.747233748,11.95573997
South Africa,2021.5,7.141666667,South Africa,0.740836791,11.85338866
Malta,2021.5,7.083333333,Malta,0.734785615,11.75656985
Trinidad and Tobago,2021.5,7.081666667,Trinidad and Tobago,0.734612725,11.7538036
Cape Verde,2021.5,7,Cabo Verde,0.726141079,11.61825726
Jamaica,2021.5,6.963333333,Jamaica,0.722337483,11.55739972
Slovenia,2021.5,6.905,Slovenia,0.716286307,11.46058091
