country,year,terror,norm_terror,norm_terror_withpts_log16
Lesotho,2019,0,1,16
Rhodesia,2019,0,1,16
Iceland,2019,0,1,16
Solomon Islands,2019,0,1,16
Cuba,2019,0,1,16
Eswatini,2019,0,1,16
Bhutan,2019,0,1,16
Bahamas,2019,0,1,16
Wallis and Futuna,2019,0,1,16
Belize,2019,0,1,16
Brunei,2019,0,1,16
Uruguay,2019,0,1,16
Togo,2019,0,1,16
Botswana,2019,0,1,16
Qatar,2019,0,1,16
United Arab Emirates,2019,0,1,16
Barbados,2019,0,1,16
Zaire,2019,0,1,16
South Yemen,2019,0,1,16
Uzbekistan,2019,0,1,16
Vanuatu,2019,0,1,16
Andorra,2019,0,1,16
Antigua and Barbuda,2019,0,1,16
Turkmenistan,2019,0,1,16
Suriname,2019,0,1,16
Yemen Arab Republic,2019,0,1,16
Congo,2019,0,1,16
 Congo,2019,0,1,16
Vatican,2019,0,1,16
North Korea,2019,0,1,16
Grenada,2019,0,1,16
Gambia,2019,0,1,16
French Polynesia,2019,0,1,16
French Guiana,2019,0,1,16
Serbia and Montenegro,2019,0,1,16
Guinea-Bissau,2019,0,1,16
Fiji,2019,0,1,16
Seychelles,2019,0,1,16
Martinique,2019,0,1,16
Singapore,2019,0,1,16
Equatorial Guinea,2019,0,1,16
Falkland Islands,2019,0,1,16
East Timor,2019,0,1,16
New Hebrides,2019,0,1,16
Guadeloupe,2019,0,1,16
Panama,2019,0,1,16
Moldova,2019,0,1,16
Saint Kitts and Nevis,2019,0,1,16
Kuwait,2019,0,1,16
Hong Kong,2019,0,1,16
Romania,2019,0,1,16
Macao,2019,0,1,16
Madagascar,2019,0,1,16
Luxembourg,2019,0,1,16
Namibia,2019,0,1,16
Mauritius,2019,0,1,16
Slovenia,2019,0,1,16
Armenia,2019,0.2,0.999889564,15.99823302
Macedonia,2019,0.2,0.999889564,15.99823302
Laos,2019,0.2,0.999889564,15.99823302
Dominican Republic,2019,0.2,0.999889564,15.99823302
Croatia,2019,0.2,0.999889564,15.99823302
Morocco,2019,0.2,0.999889564,15.99823302
Mauritania,2019,0.2,0.999889564,15.99823302
Portugal,2019,0.2,0.999889564,15.99823302
Saint Lucia,2019,0.2,0.999889564,15.99823302
Hungary,2019,0.2,0.999889564,15.99823302
El Salvador,2019,0.2,0.999889564,15.99823302
Slovakia,2019,0.2,0.999889564,15.99823302
Dominica,2019,0.2,0.999889564,15.99823302
Guinea,2019,0.4,0.999779128,15.99646604
Estonia,2019,0.4,0.999779128,15.99646604
Bulgaria,2019,0.4,0.999779128,15.99646604
Bosnia and Herzegovina,2019,0.4,0.999779128,15.99646604
Costa Rica,2019,0.4,0.999779128,15.99646604
South Korea,2019,0.4,0.999779128,15.99646604
Jamaica,2019,0.4,0.999779128,15.99646604
Belarus,2019,0.4,0.999779128,15.99646604
Lithuania,2019,0.4,0.999779128,15.99646604
Latvia,2019,0.4,0.999779128,15.99646604
Cambodia,2019,0.4,0.999779128,15.99646604
Sierra Leone,2019,0.6,0.999668691,15.99469906
Benin,2019,0.6,0.999668691,15.99469906
Japan,2019,0.6,0.999668691,15.99469906
Georgia,2019,0.6,0.999668691,15.99469906
Vietnam,2019,0.6,0.999668691,15.99469906
Trinidad and Tobago,2019,0.6,0.999668691,15.99469906
Azerbaijan,2019,0.6,0.999668691,15.99469906
Denmark,2019,0.6,0.999668691,15.99469906
Czechia,2019,0.6,0.999668691,15.99469906
Montenegro,2019,0.6,0.999668691,15.99469906
Malta,2019,0.6,0.999668691,15.99469906
Comoros,2019,0.6,0.999668691,15.99469906
Zambia,2019,0.6,0.999668691,15.99469906
Western Sahara,2019,0.6,0.999668691,15.99469906
Albania,2019,0.8,0.999558255,15.99293208
Kazakhstan,2019,0.8,0.999558255,15.99293208
Senegal,2019,0.8,0.999558255,15.99293208
Serbia,2019,0.8,0.999558255,15.99293208
Poland,2019,0.8,0.999558255,15.99293208
Liberia,2019,0.8,0.999558255,15.99293208
Gabon,2019,1,0.999447819,15.9911651
Taiwan,2019,1,0.999447819,15.9911651
Djibouti,2019,1,0.999447819,15.9911651
Kyrgyzstan,2019,1.2,0.999337383,15.98939812
Austria,2019,1.2,0.999337383,15.98939812
Norway,2019,1.2,0.999337383,15.98939812
Switzerland,2019,1.2,0.999337383,15.98939812
Guatemala,2019,1.2,0.999337383,15.98939812
Eritrea,2019,1.4,0.999226946,15.98763114
Guyana,2019,1.4,0.999226946,15.98763114
Finland,2019,1.4,0.999226946,15.98763114
Tajikistan,2019,1.4,0.999226946,15.98763114
Papua New Guinea,2019,1.6,0.99911651,15.98586416
Zimbabwe,2019,1.6,0.99911651,15.98586416
Angola,2019,1.6,0.99911651,15.98586416
Maldives,2019,1.6,0.99911651,15.98586416
Honduras,2019,1.6,0.99911651,15.98586416
Malawi,2019,1.6,0.99911651,15.98586416
Haiti,2019,2.2,0.998785202,15.98056322
Cyprus,2019,2.2,0.998785202,15.98056322
Spain,2019,2.4,0.998674765,15.97879625
Belgium,2019,2.4,0.998674765,15.97879625
Rwanda,2019,2.4,0.998674765,15.97879625
Bolivia,2019,2.4,0.998674765,15.97879625
Nicaragua,2019,2.6,0.998564329,15.97702927
Jordan,2019,2.8,0.998453893,15.97526229
Malaysia,2019,2.8,0.998453893,15.97526229
New Zealand,2019,2.8,0.998453893,15.97526229
Kosovo,2019,2.8,0.998453893,15.97526229
Australia,2019,3,0.998343457,15.97349531
Ghana,2019,3.2,0.99823302,15.97172833
Argentina,2019,3.2,0.99823302,15.97172833
Tanzania,2019,3.6,0.998012148,15.96819437
Paraguay,2019,3.8,0.997901712,15.96642739
Peru,2019,4.2,0.997680839,15.96289343
Ecuador,2019,4.4,0.997570403,15.96112645
Bahrain,2019,4.4,0.997570403,15.96112645
New Caledonia,2019,4.8,0.997349531,15.95759249
Algeria,2019,5.2,0.997128658,15.95405853
Brazil,2019,5.4,0.997018222,15.95229155
Cote d'Ivoire,2019,6,0.996686913,15.94699061
Sweden,2019,6.8,0.996245168,15.93992269
Iran,2019,8.6,0.995251242,15.92401988
Uganda,2019,8.6,0.995251242,15.92401988
Ireland,2019,9.2,0.994919934,15.91871894
China,2019,9.4,0.994809498,15.91695196
Tunisia,2019,9.6,0.994699061,15.91518498
Chad,2019,9.8,0.994588625,15.913418
Italy,2019,9.8,0.994588625,15.913418
Burundi,2019,10,0.994478189,15.91165102
Lebanon,2019,10,0.994478189,15.91165102
Canada,2019,10.8,0.994036444,15.9045831
Netherlands,2019,10.8,0.994036444,15.9045831
Venezuela,2019,11.2,0.993815572,15.90104914
Sri Lanka,2019,13,0.992821645,15.88514633
Russia,2019,15.8,0.991275538,15.86040861
Mexico,2019,23,0.987299834,15.79679735
Germany,2019,23,0.987299834,15.79679735
France,2019,23.8,0.986858089,15.78972943
South Africa,2019,25,0.986195472,15.77912755
Indonesia,2019,28.2,0.984428493,15.75085588
Bangladesh,2019,29.2,0.983876311,15.74202098
Ethiopia,2019,30.6,0.983103258,15.72965213
Niger,2019,30.8,0.982992822,15.72788515
Central African Republic,2019,31.6,0.982551077,15.72081723
Greece,2019,32.6,0.981998896,15.71198233
South Sudan,2019,33.2,0.981667587,15.70668139
Ukraine,2019,35.4,0.980452789,15.68724462
Chile,2019,38,0.979017118,15.66427388
Sudan,2019,44,0.975704031,15.61126449
Kenya,2019,59.6,0.967090006,15.47344009
Israel,2019,66,0.963556046,15.41689674
United States,2019,68.6,0.962120375,15.39392601
Saudi Arabia,2019,69.6,0.961568194,15.38509111
Turkey,2019,75.8,0.958144671,15.33031474
West Bank and Gaza Strip,2019,80.4,0.955604638,15.28967421
Egypt,2019,82,0.954721149,15.27553838
Burkina Faso,2019,85.6,0.952733297,15.24373274
United Kingdom,2019,87.8,0.951518498,15.22429597
Libya,2019,90.6,0.949972391,15.19955826
Mozambique,2019,94.8,0.94765323,15.16245168
Myanmar,2019,105.4,0.94180011,15.06880177
Thailand,2019,111.4,0.938487024,15.01579238
Nepal,2019,117.2,0.935284373,14.96454997
Mali,2019,131.8,0.927222529,14.83556046
Cameroon,2019,136.8,0.924461623,14.79138597
Colombia,2019,160.4,0.911430149,14.58288239
Congo,2019,201.6,0.888680287,14.21888459
Syria,2019,235.6,0.869906129,13.91849807
Somalia,2019,382,0.789066814,12.62506902
Pakistan,2019,401.2,0.778464936,12.45543898
Philippines,2019,432.2,0.761347322,12.18155715
Nigeria,2019,514.2,0.71606847,11.45709553
Yemen,2019,517.6,0.714191055,11.42705687
India,2019,632.6,0.650690226,10.41104362
Iraq,2019,1173.4,0.352070679,5.633130867
Afghanistan,2019,1811,0,0
