country,year,research,country_c,norm_research,research_log8_n
China,2018.0,543087.3800000001,China,1.0,8.0
United States,2018.0,437516.896,United States,0.8056103787709606,6.444883030167685
India,2018.0,125197.602,India,0.23052890748414834,1.8442312598731867
Germany,2018.0,108273.81000000001,Germany,0.19936669819997913,1.594933585599833
United Kingdom,2018.0,101443.07800000001,United Kingdom,0.1867890973793077,1.4943127790344617
Japan,2018.0,101268.906,Japan,0.18646839003928353,1.4917471203142683
Russia,2018.0,76176.554,Russia,0.1402652031615411,1.1221216252923287
Italy,2018.0,75196.726,Italy,0.1384610209074405,1.107688167259524
France,2018.0,67998.036,France,0.12520588964892254,1.0016471171913803
South Korea,2018.0,66818.99,South Korea,0.12303488221703834,0.9842790577363068
Canada,2018.0,62314.969999999994,Canada,0.1147415154668393,0.9179321237347144
Brazil,2018.0,61917.904,Brazil,0.11401038772716798,0.9120831018173439
Spain,2018.0,58182.578,Spain,0.10713243681896734,0.8570594945517387
Australia,2018.0,56478.802,Australia,0.10399523067241669,0.8319618453793335
Iran,2018.0,49254.634,Iran,0.09069318612353554,0.7255454889882843
Turkey,2018.0,36428.335999999996,Türkiye,0.06707579691093345,0.5366063752874676
Poland,2018.0,34808.956,Poland,0.06409399126887652,0.5127519301510122
Netherlands,2018.0,31651.407999999996,Netherlands,0.05827991770895506,0.4662393416716405
Switzerland,2018.0,22405.226000000002,Switzerland,0.041254687278120275,0.3300374982249622
Sweden,2018.0,21050.022,Sweden,0.03875931563382546,0.3100745250706037
Indonesia,2018.0,20686.008,Indonesia,0.03808904738363853,0.30471237906910825
Malaysia,2018.0,20207.314,Malaysia,0.03720761592837861,0.2976609274270289
Mexico,2018.0,17308.77,Mexico,0.03187045303088064,0.2549636242470451
Belgium,2018.0,16391.546,Belgium,0.03018154511659861,0.24145236093278888
Czechia,2018.0,15802.697999999999,Czechia,0.029097284295349773,0.2327782743627982
Portugal,2018.0,15118.490000000002,Portugal,0.027837434677137566,0.22269947741710053
Denmark,2018.0,14588.752000000002,Denmark,0.0268620146045098,0.2148961168360784
South Africa,2018.0,13816.568,South Africa,0.025440172536615853,0.20352138029292682
Egypt,2018.0,13715.810000000001,Egypt,0.02525464426475726,0.2020371541180581
Austria,2018.0,13000.289999999999,Austria,0.023937139063381064,0.1914971125070485
Israel,2018.0,12816.052,Israel,0.023597896941160657,0.18878317552928525
Pakistan,2018.0,12792.704000000002,Pakistan,0.0235549056740518,0.1884392453924144
Norway,2018.0,12103.958,Norway,0.022286700120849868,0.17829360096679894
Thailand,2018.0,12100.696,Thailand,0.022280693717161796,0.17824554973729437
Saudi Arabia,2018.0,11931.388,Saudi Arabia,0.02196894258423106,0.1757515406738485
Singapore,2018.0,11883.176,Singapore,0.021880168600598528,0.17504134880478822
Greece,2018.0,11378.32,Greece,0.020950564388352917,0.16760451510682334
Finland,2018.0,11018.938,Finland,0.02028882515775003,0.16231060126200025
Ukraine,2018.0,10332.314,Ukraine,0.019024526897198645,0.15219621517758916
Romania,2018.0,9591.295999999998,Romania,0.017660071578949842,0.14128057263159874
Argentina,2018.0,8982.988000000001,Argentina,0.01653997856402539,0.1323198285122031
New Zealand,2018.0,8346.632,New Zealand,0.015368240052275961,0.12294592041820769
Colombia,2018.0,7598.360000000001,Colombia,0.013990427759056814,0.11192342207245451
Ireland,2018.0,7538.82,Ireland,0.013880795240482994,0.11104636192386395
Chile,2018.0,7537.9619999999995,Chile,0.013879215383228437,0.1110337230658275
Hungary,2018.0,6872.8820000000005,Hungary,0.012654586638635307,0.10123669310908245
Nigeria,2018.0,5581.9039999999995,Nigeria,0.01027747596407382,0.08221980771259056
Slovakia,2018.0,5400.544,Slovakia,0.009943533176560423,0.07954826541248339
Algeria,2018.0,5308.668,Algeria,0.009774359557539797,0.07819487646031838
Tunisia,2018.0,5308.264,Tunisia,0.009773615662049307,0.07818892529639446
Morocco,2018.0,4867.316000000001,Morocco,0.00896168687803708,0.07169349502429664
Vietnam,2018.0,4855.418,Vietnam,0.00893977878757703,0.07151823030061624
Serbia,2018.0,4851.628,Serbia,0.00893280016404,0.07146240131232
Iraq,2018.0,4618.57,Iraq,0.00850366453230038,0.06802931625840304
Croatia,2018.0,4480.616,Croatia,0.00824964631820343,0.06599717054562744
Bangladesh,2018.0,3721.178,Bangladesh,0.0068512737847693786,0.05481019027815503
Slovenia,2018.0,3547.244,Slovenia,0.0065310046802074286,0.05224803744165943
Bulgaria,2018.0,3370.0020000000004,Bulgaria,0.006204644470985718,0.04963715576788574
United Arab Emirates,2018.0,3354.91,United Arab Emirates,0.0061768551869696596,0.049414841495757277
Jordan,2018.0,2517.0860000000002,Jordan,0.004634148515125678,0.03707318812100542
Philippines,2018.0,2443.624,Philippines,0.0044988810633374695,0.035991048506699756
Lithuania,2018.0,2423.422,Lithuania,0.004461682606161987,0.035693460849295894
