rank,country,dep_rate,country_c,norm_deprate,deprate_log8_n
179,Solomon Islands,2.9,Solomon Islands,1.0,8.0
178,Timor Leste,3.0,Timor-Leste,0.9705882352941176,7.764705882352941
177,Papua New Guinea,3.0,Papua New Guinea,0.9705882352941176,7.764705882352941
174,Vanuatu,3.1,Vanuatu,0.9411764705882353,7.529411764705882
176,Micronesia,3.1,"Micronesia, Fed. Sts.",0.9411764705882353,7.529411764705882
175,Kiribati,3.1,Kiribati,0.9411764705882353,7.529411764705882
173,Tonga,3.2,Tonga,0.9117647058823528,7.2941176470588225
172,Samoa,3.2,Samoa,0.9117647058823528,7.2941176470588225
171,Laos,3.2,Laos,0.9117647058823528,7.2941176470588225
170,Nepal,3.2,Nepal,0.9117647058823528,7.2941176470588225
169,Afghanistan,3.3,Afghanistan,0.8823529411764706,7.0588235294117645
168,Philippines,3.3,Philippines,0.8823529411764706,7.0588235294117645
167,Cambodia,3.4,Cambodia,0.8529411764705882,6.823529411764706
166,Niger,3.4,Niger,0.8529411764705882,6.823529411764706
162,Egypt,3.5,Egypt,0.8235294117647058,6.588235294117647
164,Liberia,3.5,Liberia,0.8235294117647058,6.588235294117647
163,Chad,3.5,Chad,0.8235294117647058,6.588235294117647
165,Fiji,3.5,Fiji,0.8235294117647058,6.588235294117647
161,Burkina Faso,3.6,Burkina Faso,0.7941176470588235,6.352941176470588
160,Mali,3.6,Mali,0.7941176470588235,6.352941176470588
159,Yemen,3.6,Yemen,0.7941176470588235,6.352941176470588
158,Angola,3.6,Angola,0.7941176470588235,6.352941176470588
157,Sudan,3.6,Sudan,0.7941176470588235,6.352941176470588
152,Myanmar,3.7,Myanmar,0.7647058823529411,6.117647058823529
151,Indonesia,3.7,Indonesia,0.7647058823529411,6.117647058823529
154,North Korea,3.7,North Korea,0.7647058823529411,6.117647058823529
155,Guatemala,3.7,Guatemala,0.7647058823529411,6.117647058823529
156,Maldives,3.7,Maldives,0.7647058823529411,6.117647058823529
153,Iraq,3.7,Iraq,0.7647058823529411,6.117647058823529
150,Tajikistan,3.8,Tajikistan,0.7352941176470589,5.882352941176471
149,Rwanda,3.8,Rwanda,0.7352941176470589,5.882352941176471
148,Ivory Coast,3.8,Cote d'Ivoire,0.7352941176470589,5.882352941176471
147,Malaysia,3.8,Malaysia,0.7352941176470589,5.882352941176471
146,DR Congo,3.8,DR Congo,0.7352941176470589,5.882352941176471
136,Nigeria,3.9,Nigeria,0.7058823529411764,5.647058823529411
137,Cameroon,3.9,Cameroon,0.7058823529411764,5.647058823529411
138,Syria,3.9,Syria,0.7058823529411764,5.647058823529411
139,Senegal,3.9,Senegal,0.7058823529411764,5.647058823529411
142,Togo,3.9,Togo,0.7058823529411764,5.647058823529411
141,Benin,3.9,Benin,0.7058823529411764,5.647058823529411
143,Sierra Leone,3.9,Sierra Leone,0.7058823529411764,5.647058823529411
144,Gambia,3.9,Gambia,0.7058823529411764,5.647058823529411
145,Sao Tome and Principe,3.9,Sao Tome and Principe,0.7058823529411764,5.647058823529411
140,Guinea,3.9,Guinea,0.7058823529411764,5.647058823529411
128,Vietnam,4.0,Vietnam,0.6764705882352942,5.411764705882353
129,Zambia,4.0,Zambia,0.6764705882352942,5.411764705882353
130,Somalia,4.0,Somalia,0.6764705882352942,5.411764705882353
133,Honduras,4.0,Honduras,0.6764705882352942,5.411764705882353
132,Jordan,4.0,Jordan,0.6764705882352942,5.411764705882353
131,Zimbabwe,4.0,Zimbabwe,0.6764705882352942,5.411764705882353
134,Guinea Bissau,4.0,Guinea-Bissau,0.6764705882352942,5.411764705882353
135,Seychelles,4.0,Seychelles,0.6764705882352942,5.411764705882353
127,Iceland,4.1,Iceland,0.6470588235294119,5.176470588235295
126,Mauritania,4.1,Mauritania,0.6470588235294119,5.176470588235295
125,Kyrgyzstan,4.1,Kyrgyz Republic,0.6470588235294119,5.176470588235295
124,Malawi,4.1,Malawi,0.6470588235294119,5.176470588235295
123,Sri Lanka,4.1,Sri Lanka,0.6470588235294119,5.176470588235295
122,Mozambique,4.1,Mozambique,0.6470588235294119,5.176470588235295
121,South Korea,4.1,South Korea,0.6470588235294119,5.176470588235295
120,Tanzania,4.1,Tanzania,0.6470588235294119,5.176470588235295
119,Bangladesh,4.1,Bangladesh,0.6470588235294119,5.176470588235295
104,China,4.2,China,0.6176470588235293,4.941176470588235
105,Pakistan,4.2,Pakistan,0.6176470588235293,4.941176470588235
106,Mexico,4.2,Mexico,0.6176470588235293,4.941176470588235
107,Japan,4.2,Japan,0.6176470588235293,4.941176470588235
108,Uzbekistan,4.2,Uzbekistan,0.6176470588235293,4.941176470588235
111,Burundi,4.2,Burundi,0.6176470588235293,4.941176470588235
109,Ghana,4.2,Ghana,0.6176470588235293,4.941176470588235
110,Venezuela,4.2,Venezuela,0.6176470588235293,4.941176470588235
113,Turkmenistan,4.2,Turkmenistan,0.6176470588235293,4.941176470588235
114,Central African Republic,4.2,Central African Republic,0.6176470588235293,4.941176470588235
115,Mongolia,4.2,Mongolia,0.6176470588235293,4.941176470588235
116,Equatorial Guinea,4.2,Equatorial Guinea,0.6176470588235293,4.941176470588235
117,Eswatini,4.2,Eswatini,0.6176470588235293,4.941176470588235
118,Bhutan,4.2,Bhutan,0.6176470588235293,4.941176470588235
112,Nicaragua,4.2,Nicaragua,0.6176470588235293,4.941176470588235
103,Gabon,4.3,Gabon,0.5882352941176471,4.705882352941177
102,Eritrea,4.3,Eritrea,0.5882352941176471,4.705882352941177
101,Haiti,4.3,Haiti,0.5882352941176471,4.705882352941177
92,Kazakhstan,4.4,Kazakhstan,0.5588235294117645,4.470588235294116
93,Bolivia,4.4,Bolivia,0.5588235294117645,4.470588235294116
94,South Sudan,4.4,South Sudan,0.5588235294117645,4.470588235294116
95,El Salvador,4.4,El Salvador,0.5588235294117645,4.470588235294116
91,Madagascar,4.4,Madagascar,0.5588235294117645,4.470588235294116
97,Namibia,4.4,Namibia,0.5588235294117645,4.470588235294116
98,Mauritius,4.4,Mauritius,0.5588235294117645,4.470588235294116
99,Comoros,4.4,Comoros,0.5588235294117645,4.470588235294116
96,Panama,4.4,Panama,0.5588235294117645,4.470588235294116
100,Belize,4.4,Belize,0.5588235294117645,4.470588235294116
90,Kenya,4.4,Kenya,0.5588235294117645,4.470588235294116
88,Turkey,4.4,Türkiye,0.5588235294117645,4.470588235294116
89,Thailand,4.4,Thailand,0.5588235294117645,4.470588235294116
