country,year,lgbt_eindex,country_c,norm_lgbt_eindex,lgbt_log8_n
Germany,2025,100,Germany,1,8
Malta,2025,100,Malta,1,8
Chile,2025,100,Chile,1,8
Spain,2025,99.66,Spain,0.996583945,7.972671556
Colombia,2025,97.73,Colombia,0.977192806,7.81754245
Iceland,2025,97.62,Iceland,0.976087612,7.808700894
Brazil,2025,96.57,Brazil,0.965538029,7.72430423
Canada,2025,95.35,Canada,0.953280418,7.626243344
Uruguay,2025,93.18,Uruguay,0.931477946,7.451823571
Portugal,2025,93.18,Portugal,0.931477946,7.451823571
Denmark,2025,92.86,Denmark,0.928262835,7.426102683
Greece,2025,91.82,Greece,0.917813725,7.342509796
Austria,2025,90.68,Austria,0.906359891,7.250879132
Netherlands,2025,90.46,Netherlands,0.904149503,7.233196021
France,2025,88.64,France,0.885863559,7.08690847
Australia,2025,87.73,Australia,0.876720587,7.013764694
Ecuador,2025,87.5,Ecuador,0.874409726,6.995277806
Argentina,2025,87.34,Argentina,0.87280217,6.982417362
New Zealand,2025,87.05,New Zealand,0.869888476,6.959107807
Norway,2025,86.82,Norway,0.867577615,6.940620918
Belgium,2025,86.43,Belgium,0.863659198,6.909273586
Bolivia,2025,85.24,Bolivia,0.851703004,6.813624033
Ireland,2025,85,Ireland,0.849291671,6.794333367
Finland,2025,85,Finland,0.849291671,6.794333367
Andorra,2025,84.21,Andorra,0.841354366,6.730834924
South Africa,2025,83.64,South Africa,0.835627449,6.685019592
Slovenia,2025,83.64,Slovenia,0.835627449,6.685019592
Costa Rica,2025,83.33,Costa Rica,0.83251281,6.660102482
Cuba,2025,82.79,Cuba,0.82708731,6.616698483
Nepal,2025,82.58,Nepal,0.824977394,6.59981915
United Kingdom,2025,81.59,United Kingdom,0.815030644,6.520245152
Luxembourg,2025,81.31,Luxembourg,0.812217422,6.497739375
United States,2025,81.11,United States,0.810207977,6.48166382
Estonia,2025,80.48,Estonia,0.803878228,6.431025821
Sweden,2025,80.46,Sweden,0.803677283,6.429418266
Mexico,2025,80.16,Mexico,0.800663117,6.405304933
Croatia,2025,78.64,Croatia,0.785391339,6.283130714
Cyprus,2025,76.84,Cyprus,0.76730634,6.138450718
Israel,2025,76.36,Israel,0.762483673,6.099869386
Switzerland,2025,75.91,Switzerland,0.757962423,6.063699387
Czechia,2025,75.46,Czechia,0.753441174,6.027529388
Italy,2025,75.04,Italy,0.74922134,5.993770722
Taiwan,2025,72.96,Taiwan,0.728323119,5.826584949
Thailand,2025,69.05,Thailand,0.689038481,5.512307847
Liechtenstein,2025,68.57,Liechtenstein,0.684215814,5.473726515
Montenegro,2025,67.73,Montenegro,0.675776148,5.406209183
Peru,2025,66.5,Peru,0.663418065,5.307344519
Slovakia,2025,65.8,Slovakia,0.65638501,5.251080076
San Marino,2025,63.64,San Marino,0.63468301,5.077464081
Mongolia,2025,63.42,Mongolia,0.632472621,5.059780971
Moldova,2025,62.52,Moldova,0.623430122,4.987440973
Albania,2025,62.27,Albania,0.620918316,4.967346529
Serbia,2025,62.27,Serbia,0.620918316,4.967346529
Suriname,2025,62.11,Suriname,0.619310761,4.954486085
Latvia,2025,61.86,Latvia,0.616798955,4.934391641
Hungary,2025,61.36,Hungary,0.611775344,4.894202753
India,2025,61.16,India,0.6097659,4.878127198
North Macedonia,2025,60.91,North Macedonia,0.607254094,4.858032754
Honduras,2025,60,Honduras,0.598111122,4.784888978
South Korea,2025,60,South Korea,0.598111122,4.784888978
Fiji,2025,59.76,Fiji,0.595699789,4.765598312
Bosnia and Herzegovina,2025,59.7,Bosnia and Herzegovina,0.595096956,4.760775646
Botswana,2025,58.97,Botswana,0.587762484,4.702099869
Lithuania,2025,58.18,Lithuania,0.579825178,4.638601427
Japan,2025,58,Japan,0.578016678,4.624133427
Ukraine,2025,57.27,Ukraine,0.570682206,4.565457651
Marshall Islands,2025,56.76,Marshall Islands,0.565558123,4.524464985
Romania,2025,55.46,Romania,0.552496735,4.419973877
Poland,2025,55,Poland,0.547875013,4.3830001
Philippines,2025,54.75,Philippines,0.545363207,4.362905657
Monaco,2025,54.6,Monaco,0.543856124,4.35084899
Lesotho,2025,54.5,Lesotho,0.542851402,4.342811213
Bhutan,2025,54.05,Bhutan,0.538330152,4.306641214
Micronesia (country),2025,53.14,"Micronesia, Fed. Sts.",0.52918718,4.233497438
Belize,2025,53.14,Belize,0.52918718,4.233497438
Sao Tome and Principe,2025,52.94,Sao Tome and Principe,0.527177735,4.217421883
Vietnam,2025,52.27,Vietnam,0.520446097,4.163568773
Seychelles,2025,51.43,Seychelles,0.51200643,4.096051442
Mauritius,2025,51.28,Mauritius,0.510499347,4.083994775
Bulgaria,2025,50.7,Bulgaria,0.504671958,4.037375666
Cape Verde,2025,49.47,Cabo Verde,0.492313875,3.938511002
Namibia,2025,49.05,Namibia,0.488094042,3.904752336
East Timor,2025,48.72,Timor-Leste,0.484778459,3.87822767
Bahamas,2025,48.72,Bahamas,0.484778459,3.87822767
Venezuela,2025,48.64,Venezuela,0.483974681,3.871797448
Congo,2025,48.49,Congo Republic,0.482467598,3.859740782
Nauru,2025,48.44,Nauru,0.481965237,3.855721893
Guatemala,2025,48.29,Guatemala,0.480458153,3.843665227
Mozambique,2025,48.21,Mozambique,0.479654376,3.837235005
Antigua and Barbuda,2025,48,Antigua and Barbuda,0.477544459,3.820355672
Saint Kitts and Nevis,2025,47.43,St. Kitts and Nevis,0.471817542,3.77454034
Dominica,2025,47.43,Dominica,0.471817542,3.77454034
Laos,2025,47.27,Laos,0.470209987,3.761679896
Guinea-Bissau,2025,46.86,Guinea-Bissau,0.466090626,3.728725008
Singapore,2025,46.67,Singapore,0.464181654,3.71345323
Angola,2025,46.19,Angola,0.459358987,3.674871898
Georgia,2025,45.58,Georgia,0.453230182,3.625841455
Gabon,2025,45.56,Gabon,0.453029237,3.624233899
El Salvador,2025,45.41,El Salvador,0.451522154,3.612177233
Cambodia,2025,45,Cambodia,0.447402793,3.579222345
Vanuatu,2025,44.87,Vanuatu,0.446096654,3.568773234
Panama,2025,44,Panama,0.437355571,3.498844569
Barbados,2025,43.9,Barbados,0.436350849,3.490806792
Palau,2025,43.75,Palau,0.434843766,3.478750126
Dominican Republic,2025,43.5,Dominican Republic,0.43233196,3.458655682
Armenia,2025,43.18,Armenia,0.429116849,3.432934794
Equatorial Guinea,2025,42.93,Equatorial Guinea,0.426605044,3.41284035
Haiti,2025,42.5,Haiti,0.422284738,3.378277906
China,2025,42.38,China,0.421079072,3.368632573
Nicaragua,2025,42.11,Nicaragua,0.418366322,3.346930574
Benin,2025,41.91,Benin,0.416356877,3.330855019
Madagascar,2025,40,Madagascar,0.397166683,3.177333467
Rwanda,2025,39,Rwanda,0.387119461,3.096955692
Niger,2025,38.97,Niger,0.386818045,3.094544358
Paraguay,2025,38.57,Paraguay,0.382799156,3.062393248
Kazakhstan,2025,38.52,Kazakhstan,0.382296795,3.058374359
Belarus,2025,37.73,Belarus,0.37435949,2.994875917
Djibouti,2025,37.3,Djibouti,0.370039184,2.960313473
Central African Republic,2025,35.9,Central African Republic,0.355973073,2.847784588
North Korea,2025,35.88,North Korea,0.355772129,2.846177032
Eswatini,2025,35.86,Eswatini,0.355571185,2.844569477
Turkey,2025,35.46,Türkiye,0.351552296,2.812418366
Indonesia,2025,35.39,Indonesia,0.35084899,2.806791922
Tajikistan,2025,35.12,Tajikistan,0.34813624,2.785089923
Jordan,2025,35.12,Jordan,0.34813624,2.785089923
Kyrgyzstan,2025,33.85,Kyrgyz Republic,0.335376268,2.683010148
Cote d'Ivoire,2025,33.33,Cote d'Ivoire,0.330151713,2.641213704
Russia,2025,31.55,Russia,0.312267658,2.498141264
Bahrain,2025,31.11,Bahrain,0.30784688,2.462775043
Pakistan,2025,30.93,Pakistan,0.30603838,2.448307043
Democratic Republic of Congo,2025,30.53,DR Congo,0.302019492,2.416155933
Azerbaijan,2025,29.76,Azerbaijan,0.294283131,2.354265046
Burkina Faso,2025,29.47,Burkina Faso,0.291369436,2.330955491
Trinidad and Tobago,2025,29.29,Trinidad and Tobago,0.289560936,2.316487491
Kiribati,2025,28.33,Kiribati,0.279915603,2.239324827
Liberia,2025,27.18,Liberia,0.268361298,2.146890385
Saint Lucia,2025,26.71,St. Lucia,0.263639104,2.10911283
Tuvalu,2025,26.52,Tuvalu,0.261730132,2.093841053
Sri Lanka,2025,25.64,Sri Lanka,0.252888576,2.02310861
Jamaica,2025,25,Jamaica,0.246458354,1.971666834
Uzbekistan,2025,23.21,Uzbekistan,0.228473827,1.827790616
Sierra Leone,2025,22.44,Sierra Leone,0.220737466,1.765899729
Grenada,2025,22.35,Grenada,0.219833216,1.758665729
Papua New Guinea,2025,22.27,Papua New Guinea,0.219029438,1.752235507
Guyana,2025,22.26,Guyana,0.218928966,1.751431729
Samoa,2025,21.47,Samoa,0.210991661,1.687933286
Kenya,2025,20.79,Kenya,0.20415955,1.633276399
Tonga,2025,20.59,Tonga,0.202150105,1.617200844
Turkmenistan,2025,19.87,Turkmenistan,0.194916106,1.559328846
Ghana,2025,19.51,Ghana,0.191299106,1.530392846
Lebanon,2025,18.92,Lebanon,0.185371245,1.482969959
Solomon Islands,2025,18.75,Solomon Islands,0.183663217,1.469305737
Guinea,2025,16.92,Guinea,0.165276801,1.322214408
Maldives,2025,15.79,Maldives,0.15392344,1.231387521
Malawi,2025,15.79,Malawi,0.15392344,1.231387521
Zimbabwe,2025,15.26,Zimbabwe,0.148598413,1.1887873
Chad,2025,15,Chad,0.145986135,1.167889079
Bangladesh,2025,14.72,Bangladesh,0.143172913,1.145383302
Saint Vincent and the Grenadines,2025,14.71,St. Vincent and the Grenadines,0.14307244,1.144579524
Comoros,2025,13.51,Comoros,0.131015774,1.048126193
Gambia,2025,11.84,Gambia,0.114236913,0.913895308
Myanmar,2025,11.71,Myanmar,0.112930775,0.903446197
Tunisia,2025,10.53,Tunisia,0.101075053,0.808600422
Syria,2025,10.24,Syria,0.098161358,0.785290867
Togo,2025,8.89,Togo,0.084597609,0.67678087
Egypt,2025,8.84,Egypt,0.084095248,0.672761981
Malaysia,2025,8.21,Malaysia,0.077765498,0.622123983
South Sudan,2025,7.37,South Sudan,0.069325831,0.554606651
Qatar,2025,6.83,Qatar,0.063900332,0.511202652
Mali,2025,6.67,Mali,0.062292776,0.498342208
Morocco,2025,6.51,Morocco,0.060685221,0.485481764
Ethiopia,2025,6.51,Ethiopia,0.060685221,0.485481764
Burundi,2025,6.32,Burundi,0.058776248,0.470209987
Tanzania,2025,6.22,Tanzania,0.057771526,0.462172209
Iran,2025,6.05,Iran,0.056063498,0.448507988
Sudan,2025,6.05,Sudan,0.056063498,0.448507988
Kuwait,2025,5.64,Kuwait,0.051944137,0.4155531
Zambia,2025,5.5,Zambia,0.050537526,0.404300211
Eritrea,2025,4.87,Eritrea,0.044207777,0.353662212
Nigeria,2025,4.6,Nigeria,0.041495027,0.331960213
Libya,2025,4.29,Libya,0.038380388,0.307043103
Brunei,2025,3.78,Brunei Darussalam,0.033256305,0.266050437
Algeria,2025,3.72,Algeria,0.032653471,0.261227771
Senegal,2025,3.24,Senegal,0.027830805,0.222646438
Cameroon,2025,3.16,Cameroon,0.027027027,0.216216216
Yemen,2025,3.16,Yemen,0.027027027,0.216216216
Iraq,2025,3.08,Iraq,0.026223249,0.209785994
Saudi Arabia,2025,2.93,Saudi Arabia,0.024716166,0.197729328
Oman,2025,2.93,Oman,0.024716166,0.197729328
Mauritania,2025,2.79,Mauritania,0.023309555,0.186476439
Somalia,2025,1,Somalia,0.005325028,0.042600221
Uganda,2025,0.59,Uganda,0.001205667,0.009645333
Afghanistan,2025,0.51,Afghanistan,0.000401889,0.003215111
United Arab Emirates,2025,0.47,United Arab Emirates,0,0
