rank,country,sui_rate,norm_sui,sui_log8_n,country_c
1,Lesotho,72.4,0.0,0.0,Lesotho
2,Guyana,40.3,0.4458333333333333,3.5666666666666664,Guyana
3,Eswatini,29.4,0.5972222222222222,4.777777777777778,Eswatini
4,South Korea,28.6,0.6083333333333333,4.866666666666666,South Korea
5,Kiribati,28.3,0.6125,4.9,Kiribati
6,Micronesia,28.2,0.6138888888888889,4.911111111111111,"Micronesia, Fed. Sts."
7,Lithuania,26.1,0.6430555555555555,5.144444444444444,Lithuania
8,Suriname,25.4,0.6527777777777778,5.222222222222222,Suriname
9,Russia,25.1,0.6569444444444443,5.255555555555555,Russia
10,South Africa,23.5,0.6791666666666667,5.433333333333334,South Africa
11,Ukraine,21.6,0.7055555555555555,5.644444444444444,Ukraine
12,Belarus,21.2,0.711111111111111,5.688888888888888,Belarus
13,Uruguay,21.2,0.711111111111111,5.688888888888888,Uruguay
14,Montenegro,21.0,0.7138888888888888,5.71111111111111,Montenegro
15,Latvia,20.1,0.7263888888888889,5.811111111111111,Latvia
16,Slovenia,19.8,0.7305555555555555,5.844444444444444,Slovenia
17,Belgium,18.3,0.7513888888888889,6.011111111111111,Belgium
18,Vanuatu,18.0,0.7555555555555555,6.044444444444444,Vanuatu
19,Mongolia,17.9,0.7569444444444444,6.055555555555555,Mongolia
20,Kazakhstan,17.6,0.7611111111111111,6.088888888888889,Kazakhstan
21,Hungary,16.6,0.7749999999999999,6.199999999999999,Hungary
22,Croatia,16.4,0.7777777777777778,6.222222222222222,Croatia
23,United States,16.1,0.7819444444444444,6.2555555555555555,United States
24,Botswana,16.1,0.7819444444444444,6.2555555555555555,Botswana
25,Japan,15.3,0.7930555555555555,6.344444444444444,Japan
26,Finland,15.3,0.7930555555555555,6.344444444444444,Finland
27,Estonia,14.9,0.7986111111111112,6.388888888888889,Estonia
28,Sweden,14.7,0.8013888888888889,6.411111111111111,Sweden
29,Moldova,14.7,0.8013888888888889,6.411111111111111,Moldova
30,Solomon Islands,14.7,0.8013888888888889,6.411111111111111,Solomon Islands
31,Austria,14.6,0.8027777777777778,6.4222222222222225,Austria
32,Cuba,14.5,0.8041666666666667,6.433333333333334,Cuba
33,Switzerland,14.5,0.8041666666666667,6.433333333333334,Switzerland
34,Zimbabwe,14.1,0.8097222222222222,6.477777777777778,Zimbabwe
35,Sri Lanka,14.0,0.8111111111111111,6.488888888888889,Sri Lanka
36,France,13.8,0.8138888888888889,6.511111111111111,France
37,Mozambique,13.6,0.8166666666666667,6.533333333333333,Mozambique
38,India,12.7,0.8291666666666667,6.633333333333334,India
39,Samoa,12.6,0.8305555555555556,6.644444444444445,Samoa
40,Australia,12.5,0.8319444444444445,6.655555555555556,Australia
41,Germany,12.3,0.8347222222222223,6.677777777777778,Germany
42,Central African Republic,12.3,0.8347222222222223,6.677777777777778,Central African Republic
43,Slovakia,12.1,0.8375,6.7,Slovakia
44,Iceland,11.9,0.8402777777777778,6.722222222222222,Iceland
45,Canada,11.8,0.8416666666666667,6.733333333333333,Canada
46,Netherlands,11.8,0.8416666666666667,6.733333333333333,Netherlands
47,Norway,11.8,0.8416666666666667,6.733333333333333,Norway
48,Portugal,11.5,0.8458333333333333,6.766666666666667,Portugal
49,Serbia,11.4,0.8472222222222222,6.777777777777778,Serbia
50,Poland,11.3,0.8486111111111111,6.788888888888889,Poland
51,Luxembourg,11.3,0.8486111111111111,6.788888888888889,Luxembourg
52,Singapore,11.2,0.85,6.8,Singapore
53,New Zealand,11.0,0.8527777777777777,6.822222222222222,New Zealand
54,Eritrea,10.9,0.8541666666666666,6.833333333333333,Eritrea
55,Bosnia and Herzegovina,10.9,0.8541666666666666,6.833333333333333,Bosnia and Herzegovina
56,Denmark,10.7,0.8569444444444445,6.855555555555556,Denmark
57,Romania,9.7,0.8708333333333333,6.966666666666667,Romania
58,Bulgaria,9.7,0.8708333333333333,6.966666666666667,Bulgaria
59,Namibia,9.7,0.8708333333333333,6.966666666666667,Namibia
60,Haiti,9.6,0.8722222222222222,6.977777777777778,Haiti
61,Ireland,9.6,0.8722222222222222,6.977777777777778,Ireland
62,Djibouti,9.6,0.8722222222222222,6.977777777777778,Djibouti
63,Mauritius,9.5,0.8736111111111111,6.988888888888889,Mauritius
64,North Korea,9.4,0.875,7.0,North Korea
65,North Macedonia,9.4,0.875,7.0,North Macedonia
66,Georgia,9.2,0.8777777777777778,7.022222222222222,Georgia
67,Nepal,9.0,0.8805555555555555,7.044444444444444,Nepal
68,Cameroon,9.0,0.8805555555555555,7.044444444444444,Cameroon
69,Chile,9.0,0.8805555555555555,7.044444444444444,Chile
70,Fiji,9.0,0.8805555555555555,7.044444444444444,Fiji
71,Pakistan,8.9,0.8819444444444444,7.055555555555555,Pakistan
72,Ivory Coast,8.9,0.8819444444444444,7.055555555555555,Cote d'Ivoire
73,Bahrain,8.9,0.8819444444444444,7.055555555555555,Bahrain
74,Thailand,8.8,0.8833333333333333,7.066666666666666,Thailand
75,Togo,8.8,0.8833333333333333,7.066666666666666,Togo
76,Trinidad and Tobago,8.7,0.8847222222222222,7.0777777777777775,Trinidad and Tobago
77,Argentina,8.4,0.8888888888888888,7.111111111111111,Argentina
78,Gabon,8.4,0.8888888888888888,7.111111111111111,Gabon
79,China,8.1,0.8930555555555556,7.144444444444445,China
80,Costa Rica,8.1,0.8930555555555556,7.144444444444445,Costa Rica
81,Seychelles,8.1,0.8930555555555556,7.144444444444445,Seychelles
82,Uzbekistan,8.0,0.8944444444444445,7.155555555555556,Uzbekistan
83,United Kingdom,7.9,0.8958333333333334,7.166666666666667,United Kingdom
84,Somalia,7.9,0.8958333333333334,7.166666666666667,Somalia
85,Equatorial Guinea,7.9,0.8958333333333334,7.166666666666667,Equatorial Guinea
86,Saint Lucia,7.9,0.8958333333333334,7.166666666666667,St. Lucia
87,Benin,7.8,0.8972222222222223,7.177777777777778,Benin
88,Spain,7.7,0.8986111111111111,7.188888888888889,Spain
89,Ecuador,7.6,0.9,7.2,Ecuador
90,Vietnam,7.5,0.9013888888888889,7.211111111111111,Vietnam
91,Burkina Faso,7.5,0.9013888888888889,7.211111111111111,Burkina Faso
92,Kyrgyzstan,7.4,0.9027777777777778,7.222222222222222,Kyrgyz Republic
93,Zambia,7.3,0.9041666666666667,7.233333333333333,Zambia
94,Morocco,7.2,0.9055555555555556,7.2444444444444445,Morocco
95,Belize,7.1,0.9069444444444444,7.2555555555555555,Belize
96,Guinea,7.0,0.9083333333333333,7.266666666666667,Guinea
97,Guinea Bissau,7.0,0.9083333333333333,7.266666666666667,Guinea-Bissau
98,Brazil,6.9,0.9097222222222222,7.277777777777778,Brazil
99,DR Congo,6.7,0.9125,7.3,DR Congo
100,Italy,6.7,0.9125,7.3,Italy
101,Sierra Leone,6.7,0.9125,7.3,Sierra Leone
102,Ghana,6.6,0.9138888888888889,7.311111111111111,Ghana
103,Chad,6.4,0.9166666666666666,7.333333333333333,Chad
104,United Arab Emirates,6.4,0.9166666666666666,7.333333333333333,United Arab Emirates
105,Burundi,6.2,0.9194444444444445,7.355555555555556,Burundi
106,Bolivia,6.2,0.9194444444444445,7.355555555555556,Bolivia
107,Kenya,6.1,0.9208333333333334,7.366666666666667,Kenya
108,Angola,6.1,0.9208333333333334,7.366666666666667,Angola
109,El Salvador,6.1,0.9208333333333334,7.366666666666667,El Salvador
110,Malta,6.1,0.9208333333333334,7.366666666666667,Malta
111,Saudi Arabia,6.0,0.9222222222222223,7.377777777777778,Saudi Arabia
112,Senegal,6.0,0.9222222222222223,7.377777777777778,Senegal
113,Paraguay,6.0,0.9222222222222223,7.377777777777778,Paraguay
114,Guatemala,5.9,0.9236111111111112,7.388888888888889,Guatemala
115,Yemen,5.8,0.925,7.4,Yemen
116,Qatar,5.8,0.925,7.4,Qatar
117,Malaysia,5.7,0.9263888888888889,7.411111111111111,Malaysia
118,Turkmenistan,5.7,0.9263888888888889,7.411111111111111,Turkmenistan
119,Rwanda,5.6,0.9277777777777778,7.4222222222222225,Rwanda
120,Madagascar,5.5,0.9291666666666667,7.433333333333334,Madagascar
121,Ethiopia,5.4,0.9305555555555556,7.444444444444445,Ethiopia
122,Malawi,5.4,0.9305555555555556,7.444444444444445,Malawi
123,Laos,5.4,0.9305555555555556,7.444444444444445,Laos
124,Comoros,5.4,0.9305555555555556,7.444444444444445,Comoros
125,Mexico,5.3,0.9319444444444445,7.455555555555556,Mexico
126,Niger,5.3,0.9319444444444445,7.455555555555556,Niger
