country,year,access_electricity,norm_access_electricity,norm_with_pts,norm_pts_log5
Isle of Man,2017,100.0,1.0,5.0,32.0
Estonia,2017,100.0,1.0,5.0,32.0
Lithuania,2017,100.0,1.0,5.0,32.0
Liechtenstein,2017,100.0,1.0,5.0,32.0
Latvia,2017,100.0,1.0,5.0,32.0
Kuwait,2017,100.0,1.0,5.0,32.0
Kazakhstan,2017,100.0,1.0,5.0,32.0
Japan,2017,100.0,1.0,5.0,32.0
Italy,2017,100.0,1.0,5.0,32.0
Israel,2017,100.0,1.0,5.0,32.0
Ireland,2017,100.0,1.0,5.0,32.0
Iceland,2017,100.0,1.0,5.0,32.0
Hungary,2017,100.0,1.0,5.0,32.0
Hong Kong,2017,100.0,1.0,5.0,32.0
United Arab Emirates,2017,100.0,1.0,5.0,32.0
United Kingdom,2017,100.0,1.0,5.0,32.0
United States,2017,100.0,1.0,5.0,32.0
Guam,2017,100.0,1.0,5.0,32.0
Greenland,2017,100.0,1.0,5.0,32.0
Greece,2017,100.0,1.0,5.0,32.0
Germany,2017,100.0,1.0,5.0,32.0
French Polynesia,2017,100.0,1.0,5.0,32.0
France,2017,100.0,1.0,5.0,32.0
Finland,2017,100.0,1.0,5.0,32.0
Faeroe Islands,2017,100.0,1.0,5.0,32.0
Luxembourg,2017,100.0,1.0,5.0,32.0
Macao,2017,100.0,1.0,5.0,32.0
Malta,2017,100.0,1.0,5.0,32.0
Qatar,2017,100.0,1.0,5.0,32.0
Sweden,2017,100.0,1.0,5.0,32.0
Spain,2017,100.0,1.0,5.0,32.0
South Korea,2017,100.0,1.0,5.0,32.0
Slovenia,2017,100.0,1.0,5.0,32.0
Slovakia,2017,100.0,1.0,5.0,32.0
Sint Maarten (Dutch part),2017,100.0,1.0,5.0,32.0
Singapore,2017,100.0,1.0,5.0,32.0
San Marino,2017,100.0,1.0,5.0,32.0
Saint Martin (French part),2017,100.0,1.0,5.0,32.0
