country,year,modtosev_food_insecure_pct,norm_pct_foodinsecure,norm_withpts,norm_withpts_log5
Italy,2021.5,2.1,1.0,5.0,32.0
Kazakhstan,2019.5,2.416666667,0.9962309065623396,4.981154532811698,31.879389009994867
Switzerland,2018.5,2.9375,0.9900317397345753,4.950158698672876,31.681015671506408
Luxembourg,2018.5,3.3125,0.9855683396157283,4.927841698078642,31.538186867703306
Japan,2018.5,3.6,0.9821463995246124,4.910731997623062,31.428684784787595
Germany,2018.5,3.7125,0.9808073794889582,4.904036897444791,31.385836143646664
Austria,2018.5,4.275,0.9741122793106879,4.870561396553439,31.171592937942012
Singapore,2018.5,4.7625,0.9683098591561868,4.8415492957809345,30.98591549299798
Norway,2018.5,4.975,0.9657805990888403,4.828902995444201,30.90497917084289
United Kingdom,2018.5,5.0125,0.9653342590769556,4.826671295384778,30.89069629046258
Netherlands,2018.5,5.05,0.9648879190650709,4.824439595325354,30.876413410082268
South Korea,2018.5,5.2625,0.9623586589977243,4.811793294988622,30.79547708792718
Sweden,2018.5,5.3625,0.9611684189660318,4.805842094830159,30.757389406913017
Belgium,2020.5,5.4,0.9607220789541471,4.803610394770735,30.743106526532706
Malta,2018.5,5.725,0.9568537988511464,4.784268994255732,30.619321563236685
Denmark,2018.5,5.8375,0.9555147788154924,4.777573894077462,30.576472922095757
Czechia,2018.5,5.8875,0.9549196587996461,4.77459829399823,30.557429081588676
Mongolia,2020.5,6.0,0.953580638763992,4.76790319381996,30.514580440447745
Indonesia,2018.5,6.075,0.9526879587402226,4.763439793701113,30.486014679687123
Thailand,2020.0,6.16,0.951676254713284,4.75838127356642,30.453640150825088
Poland,2018.5,6.3625,0.9492660186491066,4.7463300932455335,30.376512596771413
Canada,2019.5,6.433333333,0.9484229319639587,4.742114659819793,30.349533822846677
France,2018.5,6.45,0.9482245586213758,4.741122793106879,30.343185875884025
Slovakia,2018.5,6.5625,0.9468855385857217,4.734427692928608,30.300337234743093
Kyrgyzstan,2019.5,6.583333333,0.9466375719164198,4.733187859582099,30.292402301325435
