country,year,avg_life,median_life,avg_med_life,norm_life_expect,norm_with_pts
Monaco,2018,85.69,85.75,85.72,1,5.0000
San Marino,2018,84.62,84.78,84.7,0.974060606,4.8703
Hong Kong,2018,84.53,84.66,84.6,0.971878788,4.8594
Japan,2018,84.17,84.19,84.18,0.963151515,4.8158
Andorra,2018,83.67,84.24,83.96,0.951030303,4.7552
Saint Barthelemy,2018,83.4,83.6,83.5,0.944484848,4.7224
Switzerland,2018,83.34,83.41,83.37,0.943030303,4.7152
Singapore,2018,83.15,83.09,83.12,0.938424242,4.6921
Macao,2018,83.14,83.07,83.11,0.938181818,4.6909
South Korea,2018,83.14,83.28,83.21,0.938181818,4.6909
Australia,2018,83.06,82.8,82.93,0.936242424,4.6812
Vatican,2018,82.94,82.95,82.94,0.933333333,4.6667
Liechtenstein,2018,82.93,82.89,82.91,0.933090909,4.6655
Spain,2018,82.9,82.95,82.93,0.932363636,4.6618
Italy,2018,82.84,82.87,82.85,0.930909091,4.6545
Guernsey,2018,82.84,82.84,82.84,0.930909091,4.6545
Gibraltar,2018,82.74,82.86,82.8,0.928484848,4.6424
Norway,2018,82.64,82.63,82.64,0.926060606,4.6303
Israel,2018,82.59,82.61,82.6,0.924848485,4.6242
Sweden,2018,82.59,82.44,82.51,0.924848485,4.6242
Malta,2018,82.58,82.59,82.59,0.924606061,4.6230
French Polynesia,2018,82.54,82.56,82.55,0.923636364,4.6182
France,2018,82.46,82.44,82.45,0.92169697,4.6085
Iceland,2018,82.32,82.43,82.38,0.91830303,4.5915
Reunion,2018,82.1,82.03,82.06,0.912969697,4.5648
Canada,2018,81.93,81.92,81.92,0.908848485,4.5442
Ireland,2018,81.91,82.05,81.98,0.908363636,4.5418
Qatar,2018,81.83,81.86,81.84,0.906424242,4.5321
New Zealand,2018,81.82,81.83,81.82,0.906181818,4.5309
United Arab Emirates,2018,81.82,82.08,81.95,0.906181818,4.5309
Netherlands,2018,81.67,81.65,81.66,0.902545455,4.5127
Austria,2018,81.58,81.64,81.61,0.900363636,4.5018
Luxembourg,2018,81.53,81.52,81.52,0.899151515,4.4958
Finland,2018,81.49,81.5,81.49,0.898181818,4.4909
Portugal,2018,81.49,81.37,81.43,0.898181818,4.4909
Martinique,2018,81.39,81.94,81.66,0.895757576,4.4788
Belgium,2018,81.28,81.26,81.27,0.893090909,4.4655
Cyprus,2018,81.28,81.45,81.37,0.893090909,4.4655
Denmark,2018,81.12,81.11,81.11,0.889212121,4.4461
Greece,2018,81.08,81.12,81.1,0.888242424,4.4412
Bermuda,2018,81.05,80.99,81.02,0.887515152,4.4376
United Kingdom,2018,81.02,81.07,81.05,0.886787879,4.4339
Guadeloupe,2018,81.02,81.27,81.14,0.886787879,4.4339
Germany,2018,80.89,80.91,80.9,0.883636364,4.4182
Slovenia,2018,80.64,80.51,80.58,0.877575758,4.3879
Isle of Man,2018,80.53,80.51,80.52,0.874909091,4.3745
Puerto Rico,2018,80.35,80.32,80.34,0.870545455,4.3527
Taiwan,2018,80.21,80.16,80.18,0.867151515,4.3358
Bahrain,2018,80.12,80.41,80.26,0.864969697,4.3248
Jersey,2018,80.05,80.03,80.04,0.863272727,4.3164
Chile,2018,79.97,80.01,79.99,0.861333333,4.3067
Costa Rica,2018,79.92,80.09,80,0.860121212,4.3006
Saint Martin (French part),2018,79.87,80.03,79.95,0.858909091,4.2945
Faroe Islands,2018,79.64,79.69,79.67,0.853333333,4.2667
Kuwait,2018,79.18,79.22,79.2,0.842181818,4.2109
Maldives,2018,79.14,78.91,79.02,0.841212121,4.2061
More developed regions,2018,78.94,78.88,78.91,0.836363636,4.1818
Oman,2018,78.89,79.35,79.12,0.835151515,4.1758
Cayman Islands,2018,78.85,78.84,78.84,0.834181818,4.1709
Northern America,2018,78.73,79.04,78.88,0.831272727,4.1564
Czechia,2018,78.73,78.93,78.83,0.831272727,4.1564
Falkland Islands,2018,78.66,78.56,78.61,0.829575758,4.1479
Albania,2018,78.52,78.64,78.58,0.826181818,4.1309
United States,2018,78.38,78.72,78.55,0.822787879,4.1139
Oceania,2018,78.31,78.16,78.24,0.821090909,4.1055
Anguilla,2018,78.21,78.24,78.22,0.818666667,4.0933
Estonia,2018,78.06,78.17,78.12,0.815030303,4.0752
Europe,2018,78.06,78.17,78.12,0.815030303,4.0752
Panama,2018,77.89,77.77,77.83,0.810909091,4.0545
Saudi Arabia,2018,77.84,77.78,77.81,0.80969697,4.0485
Northern Mariana Islands,2018,77.81,77.51,77.66,0.808969697,4.0448
Croatia,2018,77.78,77.63,77.71,0.808242424,4.0412
Wallis and Futuna,2018,77.78,77.63,77.7,0.808242424,4.0412
Lebanon,2018,77.56,78.15,77.86,0.802909091,4.0145
China,2018,77.5,77.71,77.61,0.801454545,4.0073
Turks and Caicos Islands,2018,77.5,77.5,77.5,0.801454545,4.0073
Poland,2018,77.42,77.62,77.52,0.799515152,3.9976
New Caledonia,2018,77.4,77.26,77.33,0.799030303,3.9952
Bonaire Sint Eustatius and Saba,2018,77.35,77.37,77.36,0.797818182,3.9891
Uruguay,2018,77.26,77.35,77.31,0.795636364,3.9782
Cuba,2018,77.24,77.57,77.4,0.795151515,3.9758
Antigua and Barbuda,2018,77.14,77.13,77.14,0.792727273,3.9636
High-and-upper-middle-income countries,2018,77.04,77.05,77.04,0.79030303,3.9515
Bosnia and Herzegovina,2018,76.94,77.12,77.03,0.787878788,3.9394
Slovakia,2018,76.93,77.04,76.98,0.787636364,3.9382
Turkey,2018,76.82,76.59,76.71,0.784969697,3.9248
Thailand,2018,76.69,76.77,76.73,0.781818182,3.9091
French Guiana,2018,76.59,76.68,76.63,0.779393939,3.8970
Saint Pierre and Miquelon,2018,76.58,76.59,76.58,0.779151515,3.8958
British Virgin Islands,2018,76.55,76.62,76.59,0.778424242,3.8921
Kosovo,2018,76.51,76.75,76.63,0.777454545,3.8873
Sri Lanka,2018,76.44,76.28,76.36,0.775757576,3.8788
Guam,2018,76.42,76.45,76.43,0.775272727,3.8764
Curacao,2018,76.41,76.48,76.45,0.775030303,3.8752
Saint Helena,2018,76.31,76.4,76.36,0.772606061,3.8630
Montenegro,2018,76.25,76.56,76.41,0.771151515,3.8558
Tokelau,2018,76.22,76.24,76.23,0.770424242,3.8521
Barbados,2018,76.2,76.18,76.19,0.769939394,3.8497
Argentina,2018,76.18,76.27,76.22,0.769454545,3.8473
Americas,2018,76.17,76.43,76.3,0.769212121,3.8461
Colombia,2018,75.96,76.23,76.09,0.764121212,3.8206
Iran,2018,75.93,76.16,76.04,0.763393939,3.8170
Mayotte,2018,75.92,76.22,76.07,0.763151515,3.8158
Hungary,2018,75.92,76.01,75.97,0.763151515,3.8158
North Macedonia,2018,75.83,75.63,75.73,0.760969697,3.8048
Ecuador,2018,75.8,76.22,76.01,0.760242424,3.8012
Jordan,2018,75.78,75.58,75.68,0.759757576,3.7988
Sint Maarten (Dutch part),2018,75.62,75.69,75.66,0.755878788,3.7794
Malaysia,2018,75.52,75.46,75.49,0.753454545,3.7673
Aruba,2018,75.49,75.54,75.52,0.752727273,3.7636
Montserrat,2018,75.49,75.46,75.47,0.752727273,3.7636
Peru,2018,75.44,75.95,75.69,0.751515152,3.7576
Serbia,2018,75.43,75.65,75.54,0.751272727,3.7564
Algeria,2018,75.25,75.31,75.28,0.746909091,3.7345
Upper-middle-income countries,2018,75.16,75.1,75.13,0.744727273,3.7236
Lithuania,2018,75.1,74.82,74.96,0.743272727,3.7164
Tunisia,2018,75.09,75.01,75.05,0.743030303,3.7152
Grenada,2018,74.99,75.02,75.01,0.740606061,3.7030
Brazil,2018,74.97,75.08,75.03,0.740121212,3.7006
Latvia,2018,74.82,74.8,74.81,0.736484848,3.6824
Romania,2018,74.81,75.02,74.91,0.736242424,3.6812
Brunei,2018,74.79,74.91,74.85,0.735757576,3.6788
Cape Verde,2018,74.63,74.42,74.53,0.731878788,3.6594
United States Virgin Islands,2018,74.6,74.61,74.61,0.731151515,3.6558
Latin America and the Caribbean,2018,74.47,74.71,74.59,0.728,3.6400
Cook Islands,2018,74.4,74.44,74.42,0.72630303,3.6315
Bulgaria,2018,74.39,74.8,74.59,0.726060606,3.6303
Mauritius,2018,74.39,74.61,74.5,0.726060606,3.6303
Vietnam,2018,74.24,74.1,74.17,0.722424242,3.6121
Palestine,2018,73.96,74.92,74.44,0.715636364,3.5782
Armenia,2018,73.92,74.49,74.21,0.714666667,3.5733
Belarus,2018,73.64,74.15,73.9,0.707878788,3.5394
Mexico,2018,73.62,74.3,73.96,0.707393939,3.5370
Morocco,2018,73.6,73.38,73.49,0.706909091,3.5345
Bahamas,2018,73.46,74.03,73.75,0.703515152,3.5176
Georgia,2018,73.44,73.43,73.44,0.703030303,3.5152
Asia,2018,73.42,73.49,73.46,0.702545455,3.5127
Dominican Republic,2018,73.13,73.11,73.12,0.695515152,3.4776
Nicaragua,2018,73.01,73.18,73.1,0.692606061,3.4630
North Korea,2018,72.96,72.97,72.97,0.691393939,3.4570
Ukraine,2018,72.89,73.28,73.09,0.68969697,3.4485
Paraguay,2018,72.85,73.45,73.15,0.688727273,3.4436
Trinidad and Tobago,2018,72.78,72.88,72.83,0.687030303,3.4352
American Samoa,2018,72.73,72.75,72.74,0.685818182,3.4291
Azerbaijan,2018,72.47,72.57,72.52,0.679515152,3.3976
Venezuela,2018,72.47,72.57,72.52,0.679515152,3.3976
No income group available,2018,72.46,72.57,72.51,0.679272727,3.3964
Kazakhstan,2018,72.36,72.55,72.45,0.676848485,3.3842
Seychelles,2018,72.3,72.25,72.27,0.675393939,3.3770
Saint Lucia,2018,72.28,72.65,72.47,0.674909091,3.3745
Libya,2018,72.19,72.34,72.27,0.672727273,3.3636
Tonga,2018,72.16,72.13,72.14,0.672,3.3600
World,2018,71.97,71.92,71.94,0.667393939,3.3370
Belize,2018,71.95,71.84,71.9,0.666909091,3.3345
Russia,2018,71.84,71.91,71.87,0.664242424,3.3212
Bangladesh,2018,71.72,71.42,71.57,0.661333333,3.3067
Small Island Developing States (SIDS),2018,71.71,71.78,71.74,0.661090909,3.3055
Bhutan,2018,71.65,71.71,71.68,0.659636364,3.2982
Uzbekistan,2018,71.64,71.68,71.66,0.659393939,3.2970
Jamaica,2018,71.6,71.61,71.6,0.658424242,3.2921
Honduras,2018,71.51,71.62,71.56,0.656242424,3.2812
Suriname,2018,71.33,71.25,71.29,0.651878788,3.2594
Middle-income countries,2018,71.19,71.15,71.17,0.648484848,3.2424
El Salvador,2018,71.15,71.14,71.14,0.647515152,3.2376
Saint Kitts and Nevis,2018,71.09,71.23,71.16,0.646060606,3.2303
Samoa,2018,71.07,71.06,71.07,0.645575758,3.2279
Guatemala,2018,70.94,71.21,71.07,0.642424242,3.2121
Dominica,2018,70.74,71.19,70.97,0.637575758,3.1879
Saint Vincent and the Grenadines,2018,70.53,70.7,70.61,0.632484848,3.1624
Vanuatu,2018,70.51,70.4,70.45,0.632,3.1600
Egypt,2018,70.4,70.44,70.42,0.629333333,3.1467
Iraq,2018,70.39,69.98,70.18,0.629090909,3.1455
Moldova,2018,70.3,70.24,70.27,0.626909091,3.1345
Tajikistan,2018,70.25,69.98,70.11,0.62569697,3.1285
Low-and-middle-income countries,2018,70.18,70.22,70.2,0.624,3.1200
Greenland,2018,70.17,70.16,70.16,0.623757576,3.1188
Western Sahara,2018,70.08,70.14,70.11,0.621575758,3.1079
Kyrgyzstan,2018,70.01,69.91,69.96,0.619878788,3.0994
Mongolia,2018,69.92,70.03,69.98,0.61769697,3.0885
India,2018,69.89,70.07,69.98,0.616969697,3.0848
Cambodia,2018,69.77,69.84,69.8,0.614060606,3.0703
Indonesia,2018,69.67,69.73,69.7,0.611636364,3.0582
Solomon Islands,2018,69.58,69.5,69.54,0.609454545,3.0473
Philippines,2018,69.37,69.49,69.43,0.604363636,3.0218
Turkmenistan,2018,69.29,69.19,69.24,0.602424242,3.0121
Niue,2018,69.12,69.14,69.13,0.59830303,2.9915
Palau,2018,68.96,68.99,68.98,0.594424242,2.9721
Nepal,2018,68.75,68.74,68.74,0.589333333,2.9467
Syria,2018,68.4,67.37,67.88,0.580848485,2.9042
Guyana,2018,68.04,68.07,68.05,0.572121212,2.8606
Lower-middle-income countries,2018,67.85,67.91,67.88,0.567515152,2.8376
Laos,2018,67.5,67.59,67.54,0.559030303,2.7952
Sao Tome and Principe,2018,67.33,67.6,67.47,0.554909091,2.7745
Yemen,2018,67.19,67.11,67.15,0.551515152,2.7576
Mauritania,2018,67.08,66.82,66.95,0.548848485,2.7442
Senegal,2018,67.07,67.06,67.06,0.548606061,2.7430
Gabon,2018,66.92,67.04,66.98,0.544969697,2.7248
Low-and-Lower-middle-income countries,2018,66.82,66.82,66.82,0.542545455,2.7127
Eritrea,2018,66.72,66.94,66.83,0.540121212,2.7006
Fiji,2018,66.69,66.92,66.81,0.539393939,2.6970
Bolivia,2018,66.52,67.39,66.96,0.535272727,2.6764
Rwanda,2018,66.29,66.35,66.32,0.52969697,2.6485
Pakistan,2018,66.19,65.94,66.07,0.527272727,2.6364
East Timor,2018,66.13,66.2,66.17,0.525818182,2.6291
Micronesia (country),2018,65.95,65.88,65.91,0.521454545,2.6073
Tuvalu,2018,65.92,65.82,65.87,0.520727273,2.6036
Myanmar,2018,65.88,65.91,65.9,0.519757576,2.5988
Marshall Islands,2018,65.72,65.48,65.6,0.515878788,2.5794
Kiribati,2018,65.72,65.83,65.78,0.515878788,2.5794
Uganda,2018,65.44,65.78,65.61,0.509090909,2.5455
Botswana,2018,65.34,65.42,65.38,0.506666667,2.5333
Tanzania,2018,65.25,65.49,65.37,0.504484848,2.5224
Comoros,2018,65.24,65.2,65.22,0.504242424,2.5212
Sudan,2018,64.96,65.12,65.04,0.497454545,2.4873
Ethiopia,2018,64.92,65.26,65.09,0.496484848,2.4824
Papua New Guinea,2018,64.86,64.92,64.89,0.495030303,2.4752
South Africa,2018,64.58,65.15,64.86,0.488242424,2.4412
Congo,2018,64.1,64.19,64.14,0.476606061,2.3830
Malawi,2018,64.07,64.46,64.26,0.475878788,2.3794
Ghana,2018,63.97,64.14,64.05,0.473454545,2.3673
Djibouti,2018,63.86,63.83,63.85,0.470787879,2.3539
Gambia,2018,63.85,63.85,63.85,0.470545455,2.3527
Haiti,2018,63.6,63.77,63.69,0.464484848,2.3224
Madagascar,2018,63.23,63.36,63.3,0.455515152,2.2776
Afghanistan,2018,62.79,62.41,62.6,0.444848485,2.2242
Kenya,2018,62.46,62.53,62.49,0.436848485,2.1842
Angola,2018,62.32,62.62,62.47,0.433454545,2.1673
Zambia,2018,62.31,62.14,62.22,0.433212121,2.1661
Namibia,2018,62.08,61.66,61.87,0.427636364,2.1382
Africa,2018,61.79,61.79,61.79,0.420606061,2.1030
Equatorial Guinea,2018,61.73,61.92,61.82,0.419151515,2.0958
Burundi,2018,61.49,61.81,61.65,0.413333333,2.0667
Guinea-Bissau,2018,61.34,61.34,61.34,0.40969697,2.0485
Nauru,2018,61.28,61.24,61.26,0.408242424,2.0412
Cameroon,2018,60.95,61.15,61.05,0.400242424,2.0012
Liberia,2018,60.77,61,60.88,0.395878788,1.9794
Togo,2018,60.48,60.6,60.54,0.388848485,1.9442
Mozambique,2018,60.35,60.27,60.31,0.38569697,1.9285
Zimbabwe,2018,60.25,60.26,60.26,0.383272727,1.9164
Democratic Republic of Congo,2018,59.71,59.93,59.82,0.370181818,1.8509
Benin,2018,59.67,59.61,59.64,0.369212121,1.8461
