country,year,maternal_mortality,norm_maternal_mortality,norm_with_pts
Afghanistan,2015,759.7566645,0.642452858,3.212264289
Albania,2015,7.074423473,0.004645823,0.023229116
Algeria,2015,90.72289009,0.075527767,0.377638836
Angola,2015,278.9193218,0.235001449,1.175007244
Antigua and Barbuda,2015,24.75694145,0.019629616,0.098148078
Argentina,2015,42.25245982,0.034454948,0.172274742
Armenia,2015,27.27586209,0.021764096,0.108820478
Australia,2015,5.115907364,0.002986218,0.01493109
Austria,2015,5.644910764,0.003434484,0.017172422
Azerbaijan,2015,29.801529,0.023904292,0.119521462
Bahamas,2015,85.204948,0.07085198,0.354259898
Bahrain,2015,16.27599127,0.012443037,0.062215187
Bangladesh,2015,210.9088467,0.177370809,0.886854043
Barbados,2015,48.61896491,0.03984979,0.199248951
Belarus,2015,1.591842573,0,0
Belgium,2015,5.191142573,0.003049971,0.015249854
Belize,2015,58.09497991,0.047879565,0.239397826
Benin,2015,581.3707164,0.491292373,2.456461864
Bhutan,2015,77.47411155,0.064301032,0.321505161
Bolivia,2015,170.6110809,0.143223333,0.716116665
Bosnia and Herzegovina,2015,6.785232945,0.004400769,0.022003847
Botswana,2015,168.5700255,0.141493786,0.707468928
Brazil,2015,62.04416218,0.051226019,0.256130094
Brunei,2015,43.95438545,0.035897124,0.179485621
Bulgaria,2015,7.602148745,0.005093007,0.025465033
Burkina Faso,2015,304.62978,0.256787948,1.28393974
Burundi,2015,531.0626018,0.448662339,2.243311695
Cambodia,2015,225.6727809,0.189881455,0.949407273
Cameroon,2015,466.2929845,0.393777933,1.968889667
Canada,2015,11.70236964,0.008567447,0.042837236
Cape Verde,2015,45.70207327,0.037378078,0.186890389
Central African Republic,2015,926.1239509,0.783428983,3.917144913
Chad,2015,1157.823127,0.979765971,4.898829856
Chile,2015,17.02710073,0.013079512,0.065397559
China,2015,25.72148609,0.02044695,0.102234752
Colombia,2015,69.71189609,0.057723495,0.288617473
Comoros,2015,266.8816645,0.224800992,1.124004961
Congo,2015,358.1148364,0.302110055,1.510550276
Costa Rica,2015,21.65457682,0.017000737,0.085003686
Cote d'Ivoire,2015,544.1788509,0.459776772,2.298883858
Croatia,2015,5.797891291,0.003564117,0.017820584
Cuba,2015,40.14973327,0.032673142,0.163365711
Cyprus,2015,44.50976791,0.036367744,0.181838718
Czechia,2015,3.458190464,0.001581504,0.007907519
Democratic Republic of Congo,2015,571.0071891,0.482510539,2.412552693
Denmark,2015,5.453942791,0.003272662,0.016363311
Djibouti,2015,250.8430245,0.211210187,1.056050937
Dominica,2013,270.694215,0.228031667,1.140158335
Dominican Republic,2015,99.09396945,0.082621243,0.413106215
East Timor,2015,284.5272227,0.239753466,1.198767328
Ecuador,2015,70.24056409,0.058171477,0.290857384
Egypt,2015,25.03522618,0.019865428,0.099327141
El Salvador,2015,40.76936209,0.033198203,0.165991013
Equatorial Guinea,2015,200.6604064,0.168686497,0.843432483
Eritrea,2015,391.8934682,0.330733354,1.653666772
Estonia,2015,6.371958255,0.004050569,0.020252845
Eswatini,2015,397.5497636,0.33552638,1.677631899
Ethiopia,2015,427.5193218,0.36092195,1.804609752
Fiji,2015,38.69497691,0.031440412,0.157202062
Finland,2015,7.478784955,0.004988471,0.024942353
France,2015,8.286672418,0.005673057,0.028365287
Gabon,2015,208.5507682,0.175372623,0.876863113
Gambia,2015,537.2967564,0.45394503,2.26972515
Georgia,2015,30.78513,0.024737775,0.123688876
Germany,2015,5.056319282,0.002935724,0.014678622
Ghana,2015,286.2629745,0.241224305,1.206121525
Greece,2015,5.152601518,0.003017312,0.01508656
Grenada,2015,23.90102545,0.01890433,0.094521652
Guatemala,2015,106.9413805,0.089270973,0.446354867
Guinea,2015,638.6611727,0.539839096,2.699195478
Guinea-Bissau,2015,724.3903718,0.612484208,3.062421042
Guyana,2015,127.924642,0.107051746,0.535258731
Haiti,2015,379.9724991,0.320631777,1.603158885
Honduras,2015,67.32860864,0.055703947,0.278519736
Hong Kong,2013.166667,1.764560967,0.000146358,0.00073179
Hungary,2015,14.79108245,0.011184757,0.055923786
Iceland,2015,3.028399564,0.001217308,0.00608654
India,2015,136.5186391,0.114334118,0.571670589
Indonesia,2015,194.9043655,0.163808949,0.819044746
Iran,2015,22.11404082,0.017390077,0.086950387
Iraq,2015,93.68051382,0.078033995,0.390169976
Ireland,2015,6.098669664,0.00381899,0.01909495
Israel,2015,2.839775509,0.001057472,0.00528736
Italy,2015,6.089443936,0.003811172,0.019055862
Jamaica,2015,92.74741227,0.077243305,0.386216523
Japan,2015,5.019968364,0.002904921,0.014524607
Jordan,2015,44.33312009,0.036218056,0.181090279
Kazakhstan,2015,14.31835618,0.010784179,0.053920894
Kenya,2015,497.3024782,0.420054723,2.100273616
Kiribati,2015,115.8428556,0.096813896,0.484069478
Kuwait,2015,7.129259473,0.00469229,0.023461451
Kyrgyzstan,2015,58.52682227,0.048245499,0.241227497
Laos,2015,198.6324609,0.166968059,0.834840293
Latvia,2015,22.29838964,0.017546291,0.087731453
Lebanon,2015,19.34009945,0.015039498,0.07519749
Lesotho,2015,771.7372045,0.652604914,3.263024572
Liberia,2015,664.2864809,0.561553441,2.807767203
Libya,2015,67.96134718,0.056240116,0.281200582
Lithuania,2015,8.306173191,0.005689582,0.02844791
Luxembourg,2015,7.070531555,0.004642525,0.023212627
Madagascar,2015,449.3847655,0.379450266,1.897251328
Malawi,2015,438.0572745,0.369851589,1.849257945
Malaysia,2015,22.619202,0.01781814,0.089090701
Maldives,2015,53.23908464,0.043764782,0.218823911
Mali,2015,494.1829155,0.417411272,2.087056359
Malta,2015,4.327891482,0.00231847,0.01159235
Mauritania,2015,507.55066,0.428738816,2.143694081
Mauritius,2015,52.78217236,0.043377604,0.216888022
Mayotte,2014,18.5444288,0.014365264,0.071826318
Mexico,2015,52.29716964,0.042966623,0.214833116
Micronesia (country),2015,59.88734364,0.049398376,0.246991882
Moldova,2015,15.821392,0.01205782,0.060289098
Mongolia,2015,49.91599173,0.040948863,0.204744317
Montenegro,2015,6.2496058,0.00394689,0.019734451
Morocco,2015,96.82571555,0.080699173,0.403495863
Mozambique,2015,218.6940427,0.183967819,0.919839096
Myanmar,2015,246.7842191,0.207770841,1.038854207
Namibia,2015,302.4202718,0.254915658,1.274578288
Nepal,2015,245.6821045,0.206836933,1.034184664
Netherlands,2015,5.228522382,0.003081646,0.015408228
New Zealand,2015,8.337075445,0.005715768,0.028578839
Nicaragua,2015,83.31174418,0.069247719,0.346238594
Niger,2015,495.7380845,0.418729089,2.093645446
Nigeria,2015,1108.942782,0.938345799,4.691728994
North Korea,2015,107.6224769,0.08984812,0.449240601
North Macedonia,2015,4.132354455,0.002152776,0.010763881
Norway,2015,2.648812045,0.000895654,0.004478268
Oman,2015,16.12273264,0.012313169,0.061565847
Pakistan,2015,194.73423,0.16366478,0.8183239
Palestine,2015,28.69966718,0.022970598,0.11485299
Panama,2015,50.79666973,0.041695131,0.208475657
Papua New Guinea,2015,225.06068,0.189362773,0.946813866
Paraguay,2015,79.082962,0.065664338,0.32832169
Peru,2015,68.036718,0.056303984,0.281519921
Philippines,2015,91.71140818,0.076365417,0.381827083
Poland,2015,2.145171445,0.000468879,0.002344396
Portugal,2015,10.31922314,0.007395398,0.03697699
Puerto Rico,2015,20.15505145,0.015730071,0.078650356
Qatar,2015,7.855075909,0.005307332,0.026536658
Reunion,2013,15.736252,0.011985674,0.059928369
Romania,2015,15.128373,0.01147057,0.05735285
Russia,2015,11.09504724,0.008052815,0.040264075
Rwanda,2015,310.2147036,0.261520494,1.307602472
Saint Lucia,2015,71.06519364,0.05887025,0.294351252
Saint Vincent and the Grenadines,2015,46.66081655,0.038190497,0.190952483
Samoa,2015,59.85280609,0.04936911,0.24684555
Sao Tome and Principe,2015,153.7587,0.128942981,0.644714906
Saudi Arabia,2015,15.85439818,0.012085788,0.060428942
Senegal,2015,330.5082173,0.278716789,1.393583946
Serbia,2015,12.38478314,0.00914571,0.045728549
Seychelles,2015,5.335739609,0.003172499,0.015862496
Sierra Leone,2015,584.8540018,0.494244035,2.471220177
Singapore,2015,7.347188491,0.004876959,0.024384793
Slovakia,2015,5.020881109,0.002905695,0.014528474
Slovenia,2015,4.987587836,0.002877483,0.014387414
Solomon Islands,2015,135.610475,0.113564559,0.567822793
Somalia,2015,765.3897218,0.647226192,3.236130958
South Africa,2015,149.2187145,0.125095893,0.625479467
South Korea,2015,7.245307973,0.004790627,0.023953136
South Sudan,2015,1181.7015,1,5
Spain,2015,3.865384418,0.001926551,0.009632757
Sri Lanka,2015,31.94248118,0.02571849,0.128592451
Sudan,2015,312.8421164,0.263746908,1.318734542
Suriname,2015,117.3981333,0.098131805,0.490659025
Sweden,2015,4.637072,0.002580463,0.012902316
Switzerland,2015,7.285692618,0.004824848,0.024124241
Syria,2015,28.46918273,0.02277529,0.113876452
Tajikistan,2015,21.95257873,0.017253258,0.086266289
Tanzania,2015,340.3510073,0.287057362,1.435286808
Thailand,2015,30.66696109,0.024637641,0.123188207
Togo,2015,462.0342218,0.390169148,1.950845739
Tonga,2015,95.88846382,0.079904965,0.399524827
Trinidad and Tobago,2015,33.92810264,0.027401064,0.137005319
Tunisia,2015,40.601916,0.033056312,0.165281562
Turkey,2015,19.30018136,0.015005672,0.075028361
Turkmenistan,2015,6.190614364,0.003896902,0.01948451
Uganda,2015,318.9333345,0.268908478,1.344542391
Ukraine,2015,13.29737164,0.009919018,0.049595091
United Arab Emirates,2015,9.024212091,0.006298033,0.031490165
United Kingdom,2015,8.855726182,0.006155262,0.030776308
United States,2015,17.61066659,0.013574013,0.067870066
Uruguay,2015,17.54796718,0.013520883,0.067604415
Uzbekistan,2015,32.52366936,0.026210977,0.131054884
Vanuatu,2015,92.56453445,0.077088338,0.385441689
Venezuela,2015,150.7934058,0.126430254,0.632151268
Vietnam,2015,53.02289318,0.043581586,0.21790793
Yemen,2015,166.5495791,0.139781702,0.69890851
Zambia,2015,178.8520436,0.150206551,0.751032753
Zimbabwe,2015,447.8974764,0.378189968,1.890949841
