country_c_x,gdp,country,year_x,access_electricity,norm_access_electricity,norm_with_pts,norm_pts_log5,country_c_y,renew,year_y,happiness,norm_hap,happiness_log4_n,country_c
Luxembourg,134529.65,Luxembourg,2017,100.0,1.0,5.0,32.0,Luxembourg,78.23778,2022.0,7.24,0.9056168954012314,3.622467581604925,Luxembourg
Singapore,125350.603,Singapore,2017,100.0,1.0,5.0,32.0,Singapore,3.08136044,2022.0,6.506399999999999,0.7794517249681834,3.117806899872733,Singapore
Ireland,111456.132,Ireland,2017,100.0,1.0,5.0,32.0,Ireland,37.8059352,2022.0,6.952800000000001,0.8562239878925463,3.424895951570185,Ireland
Norway,89001.76999999999,Norway,2017,100.0,1.0,5.0,32.0,Norway,98.489598,2022.0,7.3272,0.9206136277645924,3.6824545110583697,Norway
Switzerland,81101.412,Switzerland,2017,100.0,1.0,5.0,32.0,Switzerland,61.21777540000001,2022.0,7.263599999999999,0.9096756440683792,3.638702576273517,Switzerland
United States,71120.3782,United States,2017,100.0,1.0,5.0,32.0,United States,19.8307548,2022.0,6.8542000000000005,0.8392666735459018,3.357066694183607,United States
Netherlands,69406.99,Netherlands,2017,100.0,1.0,5.0,32.0,Netherlands,27.229992600000003,2022.0,7.381399999999999,0.9299349912289752,3.7197399649159006,Netherlands
Denmark,69255.06,Denmark,2017,100.0,1.0,5.0,32.0,Denmark,77.99924999999999,2022.0,7.5892,0.9656726172049668,3.862690468819867,Denmark
United Arab Emirates,67903.803,United Arab Emirates,2017,100.0,1.0,5.0,32.0,United Arab Emirates,3.199399992,2022.0,6.640000000000001,0.8024283699652599,3.20971347986104,United Arab Emirates
Austria,64226.011600000005,Austria,2017,100.0,1.0,5.0,32.0,Austria,78.4279168,2022.0,7.0486,0.8726997557871565,3.490799023148626,Austria
Hong Kong,64221.2358,Hong Kong,2017,100.0,1.0,5.0,32.0,Hong Kong,0.527890722,2022.0,5.4034,0.5897568190417224,2.3590272761668896,Hong Kong
Iceland,64112.233400000005,Iceland,2017,100.0,1.0,5.0,32.0,Iceland,100.0,2022.0,7.536199999999999,0.9565576307914558,3.8262305231658233,Iceland
Germany,62804.47,Germany,2017,100.0,1.0,5.0,32.0,Germany,40.8693732,2022.0,6.9106,0.8489663949368828,3.395865579747531,Germany
Sweden,62282.4438,Sweden,2017,100.0,1.0,5.0,32.0,Sweden,63.7428414,2022.0,7.366200000000001,0.9273208819179308,3.7092835276717233,Sweden
Belgium,62049.161,Belgium,2017,100.0,1.0,5.0,32.0,Belgium,23.8854642,2022.0,6.8604,0.8403329549754067,3.361331819901627,Belgium
