index,country_c,dep_rate,deprate_log8_n,school,school_log8_n,equal_rights,equal_rights_log8,country_x,year,lgbt_eindex,norm_lgbt_eindex,lgbt_log8_n,sui_rate,sui_log8_n,dsels_pts
40,Iceland,4.1,5.176470588235295,10.691128333333332,6.35030525367449,0.8955000000000001,7.276280079609192,Iceland,2025,97.62,0.976087612,7.808700894,11.9,6.722222222222222,33.3339790377412
83,Netherlands,4.7,3.76470588235294,11.669952,7.086766834080095,0.9226666666666667,7.512212773656596,Netherlands,2025,90.46,0.904149503,7.233196021,11.8,6.733333333333333,32.33021484442296
96,Ireland,4.8,3.5294117647058822,11.784788333333331,7.173169064037058,0.9595,7.832096978469331,Ireland,2025,85.0,0.849291671,6.794333367,9.6,6.977777777777778,32.30678895199005
116,Denmark,5.0,3.0588235294117645,11.297682666666669,6.806673421037833,0.978,7.9927628007960925,Denmark,2025,92.86,0.928262835,7.426102683,10.7,6.855555555555556,32.13991798980125
93,Norway,4.7,3.76470588235294,11.227795333333331,6.754090573166698,0.9556666666666668,7.798805862131355,Norway,2025,86.82,0.867577615,6.940620918,11.8,6.733333333333333,31.99155656898433
129,Germany,5.2,2.588235294117646,11.346022666666665,6.843044173001812,0.9575,7.814727700379953,Germany,2025,100.0,1.0,8.0,12.3,6.677777777777778,31.923784945277188
76,United Kingdom,4.5,4.235294117647058,11.491761,6.9526968989701725,0.8028333333333334,6.471503528134613,United Kingdom,2025,81.59,0.815030644,6.520245152,7.9,7.166666666666667,31.346406363418513
127,Malta,5.1,2.8235294117647065,10.155582666666666,5.94736361925749,0.8855,7.189433689162294,Malta,2025,100.0,1.0,8.0,6.1,7.366666666666667,31.326993386851157
51,Japan,4.2,4.941176470588235,12.106581,7.415284108785943,0.9763333333333332,7.978288402388276,Japan,2025,58.0,0.578016678,4.624133427,15.3,6.344444444444444,31.303326853206897
130,Spain,5.2,2.588235294117646,10.652553666666668,6.321281885171666,0.878,7.124298896327121,Spain,2025,99.66,0.996583945,7.972671556,7.7,7.188888888888889,31.19537652050532
121,Austria,5.1,2.8235294117647065,11.283931,6.796326742150273,0.9663333333333334,7.891442011941379,Austria,2025,90.68,0.906359891,7.250879132,14.6,6.422222222222223,31.184399520078586
95,Belgium,4.8,3.5294117647058822,11.187880666666668,6.724058995983035,0.961,7.845123937036367,Belgium,2025,86.43,0.863659198,6.909273586,18.3,6.011111111111111,31.018979394836393
80,Israel,4.6,4.0,10.917979,6.520986456202353,0.8570000000000001,6.941921476388639,Israel,2025,76.36,0.762483673,6.099869386,5.3,7.455555555555556,31.01833287414655
104,Sweden,4.9,3.2941176470588225,11.653310666666668,7.07424598577607,0.9491666666666668,7.742355708340873,Sweden,2025,80.46,0.803677283,6.429418266,14.7,6.411111111111111,30.951248718286877
94,France,4.8,3.5294117647058822,11.247191166666669,6.768683892225477,0.8498333333333333,6.879681563235028,France,2025,88.64,0.885863559,7.08690847,13.8,6.511111111111111,30.7757968012775
126,Cyprus,5.1,2.8235294117647065,10.901393333333331,6.508507491194272,0.8913333333333333,7.240094083589651,Cyprus,2025,76.84,0.76730634,6.138450718,3.6,7.644444444444445,30.355026148993076
86,Canada,4.7,3.76470588235294,11.749544666666663,7.146651921740108,0.6136666666666667,4.8286593088474765,Canada,2025,95.35,0.953280418,7.626243344,11.8,6.733333333333333,30.099593790273858
115,Luxembourg,5.0,3.0588235294117645,9.878471,5.738866314858266,0.9788333333333332,8.0,Luxembourg,2025,81.31,0.812217422,6.497739375,11.3,6.788888888888889,30.08431810815892
117,Italy,5.1,2.8235294117647065,10.834244333333332,6.4579849503661935,0.9205,7.493396055726435,Italy,2025,75.04,0.74922134,5.993770722,6.7,7.3,30.068681139857336
4,Nepal,3.2,7.2941176470588225,7.0754132,3.62986093661044,0.684,5.439478921657319,Nepal,2025,82.58,0.824977394,6.59981915,9.0,7.044444444444444,30.007721099771025
138,Finland,5.6,1.647058823529412,11.945446,7.294047014915111,0.9696666666666666,7.92039080875701,Finland,2025,85.0,0.849291671,6.794333367,15.3,6.344444444444444,30.00027445864598
135,New Zealand,5.4,2.117647058823528,11.324592666666668,6.826920358053777,0.895,7.271937760086846,New Zealand,2025,87.05,0.869888476,6.959107807,11.0,6.822222222222222,29.997835206186373
109,Switzerland,5.0,3.0588235294117645,11.058734,6.626889749389983,0.956,7.801700741812918,Switzerland,2025,75.91,0.757962423,6.063699387,14.5,6.433333333333334,29.984446740947998
108,Chile,5.0,3.0588235294117645,9.555414,5.4957999926152485,0.7915000000000001,6.373077618961463,Chile,2025,100.0,1.0,8.0,9.0,7.044444444444444,29.97214558543292
90,Costa Rica,4.7,3.76470588235294,8.691248,4.845606214342495,0.916,7.454315180025331,Costa Rica,2025,83.33,0.83251281,6.660102482,8.1,7.144444444444445,29.86917420316521
39,Seychelles,4.0,5.411764705882353,9.838298666666669,5.708640870681995,0.902,7.332730233399674,Seychelles,2025,51.43,0.51200643,4.096051442,8.1,7.144444444444445,29.693631696408467
140,Portugal,5.7,1.4117647058823524,11.444579666666668,6.917197921477486,0.8691666666666666,7.047584584765696,Portugal,2025,93.18,0.931477946,7.451823571,11.5,6.766666666666667,29.5950374497922
81,Singapore,4.6,4.0,12.883721,8.0,0.859,6.959290754478017,Singapore,2025,46.67,0.464181654,3.71345323,11.2,6.8,29.47274398447802
125,Slovenia,5.1,2.8235294117647065,11.531996333333334,6.982969744002336,0.8781666666666667,7.125746336167903,Slovenia,2025,83.64,0.835627449,6.685019592,19.8,5.844444444444444,29.46170952837939
45,South Korea,4.1,5.176470588235295,12.057239,7.378159457494948,0.8303333333333333,6.710331101863578,South Korea,2025,60.0,0.598111122,4.784888978,28.6,4.866666666666666,28.916516792260488
88,Colombia,4.7,3.76470588235294,8.534304333333333,4.727522656778347,0.6016666666666667,4.7244436403112,Colombia,2025,97.73,0.977192806,7.81754245,3.9,7.611111111111111,28.6453257405536
103,Latvia,4.9,3.2941176470588225,11.268725333333334,6.784886081604549,0.9578333333333332,7.817622580061516,Latvia,2025,61.86,0.616798955,4.934391641,20.1,5.811111111111111,28.642129060835998
