country,year,happiness,norm_hap,happiness_log4_n,country_c
Finland,2022.0,7.7888,1.0,4.0,Finland
Denmark,2022.0,7.5892,0.9656726172049668,3.862690468819867,Denmark
Iceland,2022.0,7.536199999999999,0.9565576307914558,3.8262305231658233,Iceland
Netherlands,2022.0,7.381399999999999,0.9299349912289752,3.7197399649159006,Netherlands
Sweden,2022.0,7.366200000000001,0.9273208819179308,3.7092835276717233,Sweden
Norway,2022.0,7.3272,0.9206136277645924,3.6824545110583697,Norway
Israel,2022.0,7.3138000000000005,0.9183090840298559,3.6732363361194236,Israel
Switzerland,2022.0,7.263599999999999,0.9096756440683793,3.6387025762735172,Switzerland
Luxembourg,2022.0,7.24,0.9056168954012314,3.6224675816049254,Luxembourg
New Zealand,2022.0,7.116200000000001,0.884325662986276,3.537302651945104,New Zealand
Australia,2022.0,7.094200000000001,0.8805420837202904,3.5221683348811617,Australia
Austria,2022.0,7.0486,0.8726997557871565,3.490799023148626,Austria
Canada,2022.0,6.9584,0.8571870807966153,3.4287483231864613,Canada
Ireland,2022.0,6.952800000000001,0.8562239878925463,3.424895951570185,Ireland
Germany,2022.0,6.9106,0.8489663949368828,3.395865579747531,Germany
Costa Rica,2022.0,6.897799999999999,0.846765039727582,3.387060158910328,Costa Rica
Czechia,2022.0,6.865399999999999,0.8411928593540396,3.3647714374161586,Czechia
Belgium,2022.0,6.8604,0.8403329549754067,3.361331819901627,Belgium
United Kingdom,2022.0,6.856,0.8395762391222096,3.3583049564888383,United Kingdom
United States,2022.0,6.8542000000000005,0.8392666735459018,3.357066694183607,United States
Belize,2024.0,6.711,0.8146390121418499,3.2585560485673994,Belize
Slovenia,2022.0,6.655200000000001,0.8050424792763046,3.2201699171052183,Slovenia
France,2022.0,6.648000000000001,0.8038042169710727,3.215216867884291,France
United Arab Emirates,2022.0,6.640000000000001,0.8024283699652599,3.2097134798610396,United Arab Emirates
Lithuania,2022.0,6.622199999999999,0.7993671103773259,3.1974684415093035,Lithuania
Taiwan,2022.0,6.560599999999999,0.7887730884325661,3.1550923537302644,Taiwan
Saudi Arabia,2022.0,6.5348,0.7843359818388194,3.1373439273552775,Saudi Arabia
Uruguay,2022.0,6.5342,0.7842327933133836,3.1369311732535343,Uruguay
Singapore,2022.0,6.506399999999999,0.7794517249681834,3.1178068998727335,Singapore
Mexico,2022.0,6.486400000000001,0.7760121074536511,3.1040484298146045,Mexico
Kosovo,2022.0,6.483,0.7754273724761804,3.1017094899047217,Kosovo
Spain,2022.0,6.458,0.7711278505830151,3.0845114023320606,Spain
Romania,2022.0,6.452,0.7700959653286554,3.0803838613146217,Romania
Kuwait,2022.0,6.4479999999999995,0.7694080418257487,3.077632167302995,Kuwait
Italy,2022.0,6.4188,0.7643862002545315,3.057544801018126,Italy
Malta,2022.0,6.402200000000001,0.7615313177174698,3.0461252708698794,Malta
Estonia,2022.0,6.37,0.7559935335190725,3.02397413407629,Estonia
Slovakia,2022.0,6.3338,0.749767825817769,2.999071303271076,Slovakia
Poland,2022.0,6.332800000000001,0.7495958449420426,2.9983833797681703,Poland
Panama,2022.0,6.3038,0.7446083995459702,2.978433598183881,Panama
Brazil,2022.0,6.3027999999999995,0.7444364186702438,2.977745674680975,Brazil
Guatemala,2022.0,6.2992,0.7438172875176279,2.9752691500705115,Guatemala
Bahrain,2022.0,6.2912,0.742441440511815,2.96976576204726,Bahrain
Serbia,2022.0,6.2834,0.7410999896811475,2.96439995872459,Serbia
Chile,2022.0,6.2798,0.7404808585285316,2.9619234341141265,Chile
El Salvador,2022.0,6.2528,0.7358373748839127,2.9433494995356506,El Salvador
Kazakhstan,2022.0,6.2192,0.7300588174594983,2.920235269837993,Kazakhstan
Nicaragua,2022.0,6.202,0.7271007463970006,2.9084029855880025,Nicaragua
Oman,2024.0,6.197,0.7262408420183674,2.9049633680734694,Oman
Latvia,2022.0,6.1732,0.722147697176074,2.888590788704296,Latvia
Uzbekistan,2022.0,6.1288,0.7145117462938121,2.8580469851752484,Uzbekistan
Cyprus,2022.0,6.1168,0.7124479757850927,2.8497919031403707,Cyprus
Argentina,2022.0,6.101,0.709730677948612,2.838922711794448,Argentina
Japan,2022.0,6.063,0.7031954046710004,2.8127816186840016,Japan
Hungary,2022.0,6.0102,0.694114814432635,2.77645925773054,Hungary
Portugal,2022.0,5.9912,0.6908471777938292,2.763388711175317,Portugal
Croatia,2022.0,5.9887999999999995,0.6904344236920853,2.761737694768341,Croatia
Thailand,2022.0,5.9834000000000005,0.6895057269631616,2.7580229078526464,Thailand
Honduras,2022.0,5.9792000000000005,0.68878340728511,2.75513362914044,Honduras
South Korea,2022.0,5.9654,0.6864100712000825,2.74564028480033,South Korea
Mauritius,2022.0,5.934,0.6810098717022667,2.7240394868090667,Mauritius
Jamaica,2022.0,5.9148,0.6777078388883154,2.7108313555532617,Jamaica
Trinidad and Tobago,2024.0,5.905,0.6760224263061947,2.7040897052247788,Trinidad and Tobago
Philippines,2022.0,5.8924,0.6738554672720393,2.695421869088157,Philippines
Greece,2022.0,5.8624,0.6686960410002407,2.674784164000963,Greece
Bosnia and Herzegovina,2022.0,5.8454,0.6657723661128881,2.6630894644515526,Bosnia and Herzegovina
Colombia,2022.0,5.8244,0.6621607677226291,2.6486430708905164,Colombia
Paraguay,2022.0,5.823600000000001,0.662023183022048,2.648092732088192,Paraguay
Moldova,2022.0,5.8153999999999995,0.6606129398410895,2.642451759364358,Moldova
Vietnam,2022.0,5.8108,0.6598218278127472,2.639287311250989,Vietnam
Malaysia,2022.0,5.8073999999999995,0.6592370928352765,2.636948371341106,Malaysia
Kyrgyzstan,2022.0,5.7938,0.6568981529253947,2.6275926117015787,Kyrgyz Republic
Mongolia,2022.0,5.7614,0.6513259725518522,2.605303890207409,Mongolia
Peru,2022.0,5.7426,0.6480927320881917,2.592370928352767,Peru
Bolivia,2022.0,5.7304,0.645994565404327,2.583978261617308,Bolivia
China,2022.0,5.7272,0.6454442266020017,2.581776906408007,China
Ecuador,2022.0,5.7092,0.6423485708389226,2.5693942833556904,Ecuador
Dominican Republic,2022.0,5.704,0.6414542702851441,2.5658170811405765,Dominican Republic
Montenegro,2022.0,5.6868,0.6384961992226463,2.5539847968905853,Montenegro
Belarus,2020.5,5.6775,0.6368967770783889,2.5475871083135555,Belarus
Russia,2022.0,5.6654,0.6348158084820967,2.539263233928387,Russia
Libya,2022.0,5.6065000000000005,0.6246861349017989,2.4987445396071957,Libya
Northern Cyprus,2020.5,5.5015,0.6066281429505038,2.4265125718020153,Cyprus
Bulgaria,2022.0,5.424,0.5932996250816909,2.3731985003267635,Bulgaria
Indonesia,2022.0,5.4094,0.5907887042960822,2.363154817184329,Indonesia
Hong Kong,2022.0,5.4033999999999995,0.5897568190417224,2.3590272761668896,Hong Kong
Armenia,2022.0,5.3946,0.5882433873353282,2.352973549341313,Armenia
Tajikistan,2022.0,5.372999999999999,0.5845286004196332,2.3381144016785327,Tajikistan
Nepal,2022.0,5.295,0.5711140921129569,2.2844563684518278,Nepal
North Macedonia,2022.0,5.2852,0.5694286795308361,2.2777147181233444,North Macedonia
Turkmenistan,2020.5,5.27,0.5668145702197914,2.2672582808791657,Turkmenistan
Venezuela,2022.0,5.2636,0.5657138926151412,2.2628555704605646,Venezuela
Albania,2022.0,5.2616,0.5653699308636878,2.2614797234547512,Albania
Algeria,2022.0,5.2546,0.5641660647336015,2.256664258934406,Algeria
South Africa,2022.0,5.212000000000001,0.5568396794276477,2.2273587177105907,South Africa
Maldives,2020.0,5.198,0.554431947167475,2.2177277886699,Maldives
Congo,2022.0,5.187,0.5525401575344822,2.2101606301379286,Congo Republic
Cote d'Ivoire,2022.0,5.1552,0.5470711656863756,2.1882846627455024,Cote d'Ivoire
Laos,2022.0,5.1442,0.5451793760533827,2.180717504213531,Laos
Georgia,2022.0,5.1116,0.539572799504695,2.15829119801878,Georgia
Mozambique,2022.0,5.0404,0.5273277611529598,2.109311044611839,Mozambique
Azerbaijan,2022.0,5.0280000000000005,0.5251951982939497,2.1007807931757987,Azerbaijan
Gabon,2022.0,5.014200000000001,0.5228218622089225,2.09128744883569,Gabon
Cameroon,2022.0,4.9848,0.5177656244625597,2.0710624978502388,Cameroon
Guinea,2022.0,4.9798,0.5169057200839265,2.067622880335706,Guinea
Iraq,2022.0,4.9756,0.5161834004058748,2.0647336016234994,Iraq
Senegal,2022.0,4.9716000000000005,0.5154954769029684,2.0619819076118735,Senegal
Ukraine,2022.0,4.9166,0.5060365287380042,2.024146114952017,Ukraine
Turkey,2022.0,4.9086,0.5046606817321913,2.018642726928765,Türkiye
Iran,2022.0,4.9002,0.5032160423760877,2.012864169504351,Iran
Morocco,2022.0,4.8595999999999995,0.4962336188215869,1.9849344752863476,Morocco
Nigeria,2022.0,4.8116,0.4879785367867093,1.9519141471468373,Nigeria
Niger,2022.0,4.771800000000001,0.4811336979327899,1.9245347917311597,Niger
Palestine,2022.0,4.7134,0.4710900147903552,1.884360059161421,Palestine
Pakistan,2022.0,4.686,0.46637773879544586,1.8655109551817834,Pakistan
Namibia,2022.0,4.6814,0.46558662676710344,1.8623465070684138,Namibia
Gambia,2022.0,4.680400000000001,0.46541464589137693,1.8616585835655077,Gambia
Ghana,2022.0,4.6388,0.4582602414611494,1.8330409658445976,Ghana
